Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
spark-nlp,1.2.4,2017-12-23,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.2.5,2018-01-08,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.2.6,2018-01-12,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.3.0,2018-01-27,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.4.0,2018-02-21,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.4.1,2018-02-25,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.4.2,2018-03-12,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.5.0,2018-03-30,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.5.1,2018-04-16,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.5.2,2018-04-30,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.5.3,2018-05-02,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.5.4,2018-05-18,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.6.0,2018-07-07,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.6.1,2018-08-09,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.6.2,2018-08-20,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.6.3,2018-09-17,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.7.0,2018-10-16,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.7.1,2018-10-19,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.7.2,2018-10-20,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.7.3,2018-11-11,0,1,1,0,0,0,1,1,1,1
spark-nlp,1.8.0,2018-12-23,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.8.1,2019-01-26,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.8.2,2019-02-08,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.8.3,2019-02-24,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.0.0,2019-03-21,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.0.1,2019-03-24,0,1,1,0,0,0,1,1,0,1
spark-nlp,1.8.4,2019-03-31,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.0.2,2019-04-29,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.0.3,2019-04-29,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.0.4,2019-05-22,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.0.5,2019-05-29,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.0.6,2019-05-29,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.0.7,2019-06-02,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.0.8,2019-06-05,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.1.0-rc1,2019-06-28,0,1,1,0,0,0,0,1,0,1
spark-nlp,2.1.0-rc2,2019-06-29,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.0.9,2019-07-02,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.1.0,2019-07-13,0,1,1,0,0,0,1,1,1,1
spark-nlp,2.2.0-rc1,2019-08-16,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.1.1,2019-08-18,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.2.0-rc2,2019-08-18,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.2.0-rc3,2019-08-20,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.2.0,2019-08-23,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.2.1,2019-08-28,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.2.2,2019-09-26,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.3.0,2019-10-25,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.3.1,2019-10-29,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.3.2,2019-11-08,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.3.3,2019-11-21,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.3.4,2019-11-27,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.3.5,2019-12-21,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.3.6,2020-01-17,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.4.0,2020-02-03,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.4.1,2020-02-17,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.4.2,2020-03-04,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.4.3,2020-03-09,0,1,1,0,0,0,0,1,0,1
spark-nlp,2.4.4,2020-03-16,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.4.5,2020-04-02,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.5.0,2020-05-10,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.5.1,2020-05-26,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.5.2,2020-06-11,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.5.3,2020-07-03,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.5.4,2020-07-20,0,0,1,1,0,0,0,0,1,0
spark-nlp,2.5.5,2020-08-04,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.6.0,2020-09-02,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.6.1,2020-09-11,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.6.2,2020-10-01,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.6.3,2020-10-28,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.6.4,2020-11-24,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.6.5,2020-12-15,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.7.0,2021-01-04,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.7.1,2021-01-08,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.7.2,2021-01-25,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.7.3,2021-02-05,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.7.4,2021-02-19,0,1,1,0,0,0,1,1,0,1
spark-nlp,2.7.5,2021-03-05,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.0.0,2021-03-22,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.0.1,2021-04-02,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.0.2,2021-04-21,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.0.3,2021-05-06,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.1.0,2021-06-07,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.1.1,2021-06-23,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.1.2,2021-07-07,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.1.3,2021-07-20,0,1,1,0,0,0,1,1,1,1
spark-nlp,3.2.0,2021-08-10,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.2.1,2021-08-11,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.2.2,2021-09-01,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.2.3,2021-09-15,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.3.0,2021-09-29,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.3.1,2021-10-18,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.3.2,2021-11-03,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.3.3,2021-11-22,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.3.4,2021-11-25,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.4.0,2022-01-05,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.4.1,2022-02-08,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.4.2,2022-03-10,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.4.3,2022-04-12,0,1,1,0,0,0,1,1,0,1
spark-nlp,3.4.4,2022-05-06,0,1,1,0,0,0,1,1,1,1
spark-nlp,4.0.0,2022-06-15,0,1,1,0,0,0,1,1,0,1
spark-nlp,4.0.1,2022-07-01,0,1,1,0,0,0,1,1,0,1
spark-nlp,4.0.2,2022-07-19,0,1,1,0,0,0,1,1,0,1
spark-nlp,4.1.0,2022-08-24,0,1,1,0,0,0,1,1,0,1
spark-nlp,4.2.0,2022-09-27,0,1,1,0,0,0,1,1,0,1
spark-nlp,4.2.2,2022-10-27,0,1,1,0,0,0,1,1,0,1
spark-nlp,4.2.3,2022-11-10,0,1,1,0,0,0,1,1,0,1
spark-nlp,4.2.1,2022-11-28,0,1,1,0,0,0,1,1,0,1
spark-nlp,4.2.4,2022-11-28,0,1,1,0,0,0,1,1,0,1
spark-nlp,4.2.5,2022-12-16,0,1,1,0,0,0,1,1,0,1
spark-nlp,4.2.6,2022-12-21,0,1,1,0,0,0,1,1,0,1
spark-nlp,4.2.7,2023-01-12,0,1,1,0,0,0,1,1,0,1
spark-nlp,4.2.8,2023-01-24,0,1,1,0,0,0,1,1,0,1
spark-nlp,4.3.0,2023-02-09,0,1,1,0,0,0,1,1,0,1
spark-nlp,4.3.1,2023-02-24,0,1,1,0,0,0,1,1,0,1
spark-nlp,4.3.2,2023-03-14,0,1,1,0,0,0,1,1,0,1
spark-nlp,4.4.0,2023-04-11,0,1,1,0,0,0,1,1,0,1
spark-nlp,4.4.1,2023-04-25,0,1,1,0,0,0,1,1,0,1
spark-nlp,4.4.2,2023-05-10,0,1,1,0,0,0,1,1,0,1
spark-nlp,4.4.3,2023-05-26,0,1,1,0,0,0,1,1,0,1
spark-nlp,4.4.4,2023-06-09,0,1,1,0,0,0,1,1,0,1
spark-nlp,5.0.0,2023-07-03,0,1,1,0,0,0,1,1,0,1
spark-nlp,5.0.1,2023-07-18,0,1,1,0,0,0,1,1,0,1
spark-nlp,5.0.2,2023-08-02,0,1,1,0,0,0,1,1,0,1
spark-nlp,5.1.0,2023-08-28,0,1,1,0,0,0,1,1,0,1
spark-nlp,5.1.1,2023-09-11,0,1,1,0,0,0,1,1,0,1
spark-nlp,5.1.2,2023-09-26,0,1,1,0,0,0,1,1,0,1
spark-nlp,5.1.3,2023-10-10,0,1,1,0,0,0,1,1,0,1
spark-nlp,5.1.4,2023-10-26,1,1,1,1,0,0,1,1,0,1
spark-nlp,5.2.0,2023-12-08,0,1,1,0,0,0,1,1,0,1
spark-nlp,5.2.2,2024-01-01,0,1,1,0,0,0,1,1,0,1
spark-nlp,5.2.3,2024-01-18,0,1,1,0,0,0,1,1,0,1
