Release,Published_at
0.20.1,2024-10-28T13:15:26Z
0.20.0,2024-10-17T09:07:42Z
0.19.0,2024-09-06T07:13:12Z
0.18.0,2024-07-01T11:13:28Z
0.17.0,2024-05-13T10:35:25Z
0.16.1,2024-02-21T15:16:39Z
0.16.0,2023-11-14T09:13:13Z
0.15.2,2023-10-12T18:55:08Z
0.15.1,2023-10-02T14:14:45Z
0.15.0,2023-09-19T07:38:43Z
0.14.1,2023-08-08T09:51:08Z
0.14.0,2023-08-02T09:46:06Z
0.13.0,2023-06-30T08:04:35Z
0.12.0,2023-06-14T10:46:58Z
0.11.0,2023-05-23T07:15:49Z
0.10.3,2023-04-21T07:57:44Z
0.10.2,2023-04-15T08:05:41Z
0.10.1,2023-03-25T19:09:06Z
0.10.0,2023-03-15T10:38:55Z
0.9.0,2023-02-07T15:32:12Z
0.8.0,2022-11-22T11:45:49Z
0.7.0,2022-11-03T13:09:08Z
0.6.1,2022-09-25T12:42:07Z
0.6.0,2022-09-19T09:00:08Z
0.5.0,2022-09-06T12:41:01Z
0.4.0,2022-08-31T08:59:20Z
0.3.0,2022-08-26T10:12:03Z
0.2.1,2022-08-04T08:44:31Z
0.2.0,2022-08-01T16:55:20Z
0.1.12,2022-07-13T08:00:49Z
0.1.11,2022-06-23T08:11:56Z
0.1.10,2022-06-21T11:01:29Z
0.1.9,2022-05-29T16:50:31Z
0.1.8,2022-04-19T12:11:06Z
0.1.7,2022-03-22T11:24:13Z
0.1.6,2022-03-09T06:49:18Z
0.1.5,2022-02-24T09:02:18Z
0.1.4,2022-02-16T10:32:52Z
0.1.3,2022-01-24T10:17:29Z
0.1.2,2022-01-09T10:25:41Z
0.1.1,2022-01-02T22:17:34Z
