Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
talos,v0.1.8,2018-05-11,0,1,1,1,0,0,1,1,0,1
talos,v.0.1.9.5,2018-07-28,1,1,1,1,0,0,1,1,0,1
talos,v.0.4.4,2018-10-05,1,0,1,1,0,0,1,1,0,1
talos,v.0.4.7,2019-02-21,0,1,1,0,0,0,0,1,0,1
talos,v.0.4.8,2019-02-22,0,1,1,0,0,0,1,1,0,1
talos,v.0.4.9,2019-03-02,0,1,1,0,0,0,1,1,0,1
talos,v.0.5,2019-05-27,0,1,1,0,0,0,0,1,0,1
talos,v.0.6.3,2019-08-16,0,1,1,0,0,0,1,1,0,1
talos,v0.6.4,2020-01-25,1,1,1,0,0,1,0,1,0,1
talos,v0.6.6,2020-01-25,1,1,1,0,0,1,0,1,0,1
talos,v0.6.7,2020-11-09,0,1,1,0,0,0,0,1,0,1
talos,v1.0,2020-11-09,0,1,1,0,0,0,0,1,0,1
talos,v1.0.2,2022-01-28,0,1,1,0,0,0,1,1,0,1
talos,v1.2.3,2022-04-15,0,1,1,0,0,0,1,1,0,1
talos,v1.3,2022-05-28,1,1,1,0,0,1,0,1,0,1
