Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
tensor2tensor,v1.0.3,2017-06-20,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.0.4,2017-06-21,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.0.5,2017-06-22,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.0.6,2017-06-23,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.0.7,2017-06-24,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.0.8,2017-06-27,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.0.9,2017-06-29,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.0.10,2017-07-01,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.0.11,2017-07-06,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.0.12,2017-07-08,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.0.13,2017-07-12,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.0.14,2017-07-15,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.1.0,2017-07-19,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.1.1,2017-07-20,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.1.2,2017-07-27,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.1.3,2017-07-28,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.1.4,2017-08-02,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.1.5,2017-08-03,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.1.6,2017-08-04,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.1.7,2017-08-09,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.1.8,2017-08-11,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.1.9,2017-08-17,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.2.0,2017-08-26,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.2.1,2017-08-30,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.2.2,2017-09-09,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.2.3,2017-09-22,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.2.4,2017-09-30,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.2.5,2017-10-16,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.2.6,2017-10-27,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.2.7,2017-11-03,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.2.8,2017-11-11,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.2.9,2017-11-14,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.3.0,2017-11-29,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.3.2,2017-12-04,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.4.0,2017-12-21,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.4.1,2017-12-22,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.4.2,2018-01-13,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.4.3,2018-02-02,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.4.4,2018-02-08,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.5.0,2018-02-12,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.5.1,2018-02-12,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.5.2,2018-02-17,0,1,1,0,0,0,1,1,0,1
tensor2tensor,v1.5.3,2018-02-26,0,1,1,0,0,0,1,1,0,1
