Release,published_at
5.5.0,2024-11-10T19:29:48Z
5.4.1,2024-06-11T18:25:20Z
5.4.0,2024-06-06T13:35:20Z
5.4.0-rc2,2024-05-19T10:02:04Z
5.4.0-rc1,2024-05-12T13:46:44Z
5.3.4,2024-01-18T09:12:03Z
5.3.3,2023-10-05T19:05:14Z
5.3.2,2023-07-11T11:58:19Z
5.3.1,2023-04-01T19:55:17Z
5.3.0,2022-12-22T14:16:22Z
5.3.0-rc1,2022-12-13T21:42:21Z
5.2.0,2022-07-06T20:22:26Z
5.1.0,2022-03-01T16:33:53Z
5.0.1,2022-01-07T12:48:14Z
5.0.0,2021-11-30T17:53:43Z
5.0.0-rc3,2021-11-22T21:09:11Z
4.1.3,2021-11-15T17:36:40Z
5.0.0-rc2,2021-11-14T19:10:13Z
4.1.2,2021-11-14T19:42:02Z
5.0.0-rc1,2021-10-29T20:43:28Z
5.0.0-beta-20210916,2021-09-16T04:48:35Z
5.0.0-beta-20210815,2021-08-15T15:12:21Z
5.0.0-alpha-20210401,2021-04-01T20:23:57Z
5.0.0-alpha-20201231,2020-12-31T18:52:20Z
5.0.0-alpha-20201224,2020-12-24T08:37:16Z
4.1.1 Release,2019-12-26T15:43:01Z
4.1.0 Release,2019-07-07T13:43:22Z
4.0.0 Release,2018-10-29T09:00:45Z
3.05.02 Release,2018-06-19T09:16:51Z
3.05.01 Release,2017-06-01T18:10:17Z
3.05.00 Release,2017-02-16T18:05:57Z
3.04.01 release,2016-02-16T21:32:43Z
3.04.00 release,2015-07-24T06:31:40Z
