Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
text,v0.1.1,2017-08-15,1,1,1,1,0,0,0,1,0,1
text,v0.2.0,2017-10-20,1,1,1,1,0,0,1,1,0,1
text,v0.2.1,2017-12-28,1,1,1,1,0,0,1,0,0,1
text,v0.2.3,2018-04-09,1,1,1,1,1,0,1,0,0,1
text,0.3.1,2018-10-12,1,1,1,0,1,1,0,1,0,1
text,0.4.0,2019-11-27,0,1,1,0,0,0,0,1,0,1
text,0.5.0,2020-01-14,0,1,1,0,0,0,1,1,0,1
text,0.6.0,2020-04-21,0,1,1,1,0,0,0,1,0,1
text,v0.7.0-rc3,2020-07-28,1,0,1,1,0,0,1,1,0,1
text,v0.8.0-rc2,2020-10-27,0,1,1,0,0,0,1,1,0,1
text,v0.8.1,2020-12-10,1,1,1,1,0,0,1,1,0,1
text,v0.9.0-rc5,2021-03-04,0,1,1,0,0,0,1,1,0,1
text,v0.9.1-rc1,2021-03-25,1,1,1,1,0,0,1,1,0,1
text,v0.10.0,2021-06-15,1,1,1,1,0,0,1,1,0,1
text,v0.10.1,2021-09-27,0,1,1,0,0,0,1,1,0,1
text,v0.11.0-rc3,2021-10-21,1,0,1,1,0,0,1,0,0,1
text,v0.11.2,2022-01-27,0,1,1,0,0,0,1,1,0,1
text,v0.12.0,2022-03-10,1,0,1,1,0,0,1,1,0,1
text,v0.13.0,2022-06-28,0,1,1,0,0,0,1,1,0,1
text,v0.13.1,2022-08-05,1,1,1,1,0,0,1,1,0,1
text,v0.14.0,2022-10-28,0,1,1,0,0,0,1,1,0,1
text,v0.14.1,2022-12-16,1,1,1,1,0,0,1,1,0,1
text,v0.15.1,2023-03-15,0,1,1,0,0,0,1,1,0,1
text,v0.15.2,2023-05-08,0,1,1,1,0,0,1,1,0,1
text,v0.16.0,2023-10-04,0,1,1,0,0,0,1,1,0,1
text,v0.16.1,2023-11-15,0,1,1,0,0,0,1,1,0,1
text,v0.16.2,2023-12-15,0,1,1,0,0,0,1,1,0,1
text,v0.17.0,2024-01-30,0,1,1,0,0,0,1,1,0,1
text,v0.17.1,2024-02-22,0,1,1,0,0,0,1,1,0,1
text,v0.17.2,2024-03-28,0,1,1,0,0,0,0,1,0,1
