Release,Published_at
release-v8.3.4,2025-01-13T12:46:29Z
release-v8.3.3,2024-12-16T12:34:51Z
release-v8.3.2,2024-10-01T10:34:44Z
release-v8.3.1,2024-09-30T19:08:58Z
release-v9.1.1,2024-09-12T21:25:50Z
release-v9.1.0,2024-09-02T10:34:29Z
release-v8.3.0,2024-07-31T10:46:43Z
v8.2.5,2024-06-19T15:15:43Z
v8.2.4,2024-06-04T21:15:11Z
v9.0.0,2024-04-19T11:40:18Z
v8.2.3,2024-02-07T18:33:24Z
v8.2.2,2023-12-14T15:50:47Z
v8.2.1,2023-09-22T09:35:25Z
v8.2.0,2023-08-11T09:46:01Z
v8.1.12,2023-08-11T07:56:32Z
v8.1.11,2023-08-07T06:19:52Z
v8.1.10,2023-05-03T13:38:28Z
v8.1.9,2023-03-07T10:44:59Z
v8.1.8,2023-03-02T06:51:10Z
v8.1.7,2023-01-13T08:04:39Z
v8.1.6,2022-12-20T13:27:58Z
v8.1.5,2022-10-19T09:30:10Z
v7.4.6,2022-10-18T13:20:07Z
v8.1.4,2022-10-12T16:12:49Z
v8.1.3,2022-10-07T11:35:15Z
v8.1.2,2022-09-27T09:44:51Z
v8.1.1,2022-09-09T14:32:10Z
v8.1.0,2022-07-08T13:54:53Z
v8.0.17,2022-06-02T14:05:08Z
v8.0.16,2022-05-19T11:42:59Z
v8.0.15,2022-03-15T13:36:11Z
v8.0.14,2022-03-14T08:16:16Z
v8.0.12,2021-10-28T09:23:53Z
v8.0.11,2021-10-20T07:16:04Z
v8.0.10,2021-09-07T18:01:21Z
v8.0.9,2021-09-03T10:51:58Z
v8.0.8,2021-07-19T09:15:18Z
v8.0.7,2021-07-01T12:13:50Z
v8.0.6,2021-07-01T11:50:41Z
v8.0.5,2021-06-16T13:07:40Z
v8.0.4,2021-06-11T07:37:53Z
v8.0.3,2021-04-19T13:57:59Z
v8.0.2,2021-03-09T14:57:52Z
v8.0.1,2021-03-09T14:55:44Z
v8.0.0,2021-01-24T02:41:41Z
v7.4.5,2020-12-11T09:45:43Z
v7.4.4,2020-12-10T12:30:24Z
v7.4.3,2020-12-10T12:30:10Z
v7.4.2,2020-12-10T12:29:59Z
v7.4.1,2020-05-24T10:24:22Z
v7.3.1,2019-10-30T16:55:18Z
v7.3.0,2019-10-28T13:11:22Z
v7.2.0,2019-10-20T16:47:14Z
v7.1.1,2019-09-10T18:09:54Z
v7.1.0,2019-08-23T18:31:21Z
v7.0.8,2019-07-11T20:57:37Z
v7.0.7,2019-07-11T18:48:38Z
v7.0.6,2019-07-11T12:53:25Z
v7.0.5,2019-07-10T11:56:13Z
v7.0.4,2019-07-10T09:45:06Z
v7.0.3,2019-03-14T23:42:03Z
v7.0.2,2019-02-23T12:06:11Z
v7.0.1,2019-02-23T11:52:05Z
v7.0.0,2019-02-15T11:23:40Z
v6.12.1,2018-11-30T17:21:45Z
v6.12.0,2018-10-15T11:52:36Z
v6.10.3,2018-07-21T13:55:24Z
v6.11.2,2018-05-22T09:26:51Z
v6.11.1,2018-05-20T16:56:19Z
v6.10.2,2017-12-06T11:42:20Z
v6.10.1,2017-11-15T13:57:47Z
v6.10.0,2017-10-28T17:04:14Z
v6.9.0,2017-10-03T19:01:26Z
v6.8.2,2017-09-26T14:32:55Z
v6.8.1,2017-09-15T20:46:37Z
v6.8.0,2017-07-25T17:23:13Z
v6.7.3,2017-06-05T09:20:41Z
v6.7.2,2017-06-03T08:31:14Z
v6.7.1,2017-06-02T16:45:47Z
v6.7.0,2017-06-01T11:32:38Z
v6.6.0,2017-05-13T19:56:48Z
v6.5.1,2017-03-20T12:01:54Z
v6.5.0,2017-03-11T18:36:20Z
v6.3.0,2017-01-25T09:34:48Z
v6.2.0,2017-01-15T02:32:12Z
v6.1.3,2017-01-09T23:46:24Z
v6.0.0,2016-12-31T00:14:57Z
