Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
thinc,v6.0.0,2016-12-31,0,1,1,0,0,0,1,1,1,1
thinc,v6.1.3,2017-01-09,0,1,1,0,0,0,1,1,1,1
thinc,v6.2.0,2017-01-15,0,1,1,0,0,0,1,1,1,1
thinc,v6.3.0,2017-01-25,0,1,1,0,0,0,1,1,1,1
thinc,v6.5.0,2017-03-11,0,1,1,0,0,0,1,1,0,1
thinc,v6.5.1,2017-03-20,0,1,1,0,0,0,1,1,0,1
thinc,v6.6.0,2017-05-13,0,1,1,0,0,0,1,1,0,1
thinc,v6.7.0,2017-06-01,0,1,1,0,0,0,1,1,0,1
thinc,v6.7.1,2017-06-02,0,1,1,0,0,0,1,1,0,1
thinc,v6.7.2,2017-06-03,0,1,1,0,0,0,1,1,0,1
thinc,v6.7.3,2017-06-05,0,1,1,0,0,0,1,1,0,1
thinc,v6.8.0,2017-07-25,0,1,1,0,0,0,1,1,0,1
thinc,v6.8.1,2017-09-15,0,1,1,0,0,0,1,1,0,1
thinc,v6.8.2,2017-09-26,0,1,1,0,0,0,0,1,0,1
thinc,v6.9.0,2017-10-03,0,1,1,0,0,0,1,1,0,1
thinc,v6.10.0,2017-10-28,0,1,1,0,0,0,1,1,0,1
thinc,v6.10.1,2017-11-15,0,1,1,0,0,0,1,1,0,1
thinc,v6.10.2,2017-12-06,0,1,1,0,0,0,1,1,1,1
thinc,v6.11.1,2018-05-20,0,1,1,0,0,0,1,1,0,1
thinc,v6.11.2,2018-05-22,0,1,1,1,0,0,1,1,0,1
thinc,v6.10.3,2018-07-21,0,1,1,1,0,0,1,1,0,1
thinc,v6.12.0,2018-10-15,0,1,1,0,0,0,1,1,0,1
thinc,v6.12.1,2018-11-30,0,1,1,0,0,0,1,1,0,1
thinc,v7.0.0,2019-02-15,0,1,1,0,0,0,1,1,0,1
thinc,v7.0.1,2019-02-23,0,1,1,0,0,0,1,1,0,1
thinc,v7.0.2,2019-02-23,0,1,1,0,0,0,1,1,0,1
thinc,v7.0.3,2019-03-14,0,1,1,0,0,0,1,1,0,1
thinc,v7.0.4,2019-07-10,0,1,1,0,0,0,1,1,0,1
thinc,v7.0.5,2019-07-10,0,1,1,0,0,0,1,1,0,1
thinc,v7.0.6,2019-07-11,0,1,1,0,0,0,1,1,0,1
thinc,v7.0.7,2019-07-11,0,1,1,0,0,0,1,1,0,1
thinc,v7.0.8,2019-07-11,0,1,1,0,0,0,1,1,0,1
thinc,v7.1.0,2019-08-23,0,1,1,0,0,0,1,1,0,1
thinc,v7.1.1,2019-09-10,0,1,1,0,0,0,1,1,0,1
thinc,v7.2.0,2019-10-20,0,1,1,0,0,0,1,1,0,1
thinc,v7.3.0,2019-10-28,0,1,1,0,0,0,1,1,0,1
thinc,v7.3.1,2019-10-30,0,1,1,1,0,0,0,0,1,1
thinc,v7.4.1,2020-05-24,0,1,1,0,0,0,1,1,1,1
thinc,v7.4.5,2020-12-11,0,1,1,0,0,0,1,1,0,1
thinc,v8.0.0,2021-01-24,0,1,1,0,0,0,1,1,0,1
thinc,v8.0.1,2021-03-09,1,1,1,0,0,1,0,1,0,1
thinc,v8.0.2,2021-03-09,1,1,1,0,0,1,0,1,0,1
thinc,v8.0.3,2021-04-19,0,1,1,0,0,0,1,1,0,1
thinc,v8.0.5,2021-06-16,0,1,1,0,0,0,1,1,0,1
thinc,v8.0.6,2021-07-01,0,1,1,0,0,0,0,1,0,1
thinc,v8.0.7,2021-07-01,0,1,1,0,0,0,0,1,0,1
thinc,v8.0.8,2021-07-19,0,1,1,0,0,0,1,1,0,1
thinc,v8.0.9,2021-09-03,0,1,1,0,0,0,1,1,0,1
thinc,v8.0.10,2021-09-07,0,1,1,0,0,0,1,1,0,1
thinc,v8.0.11,2021-10-20,0,1,1,0,0,0,1,1,0,1
thinc,v8.0.12,2021-10-28,1,1,1,1,0,0,1,1,0,1
thinc,v8.0.14,2022-03-14,0,1,1,0,0,0,0,1,0,1
thinc,v8.0.15,2022-03-15,0,1,1,0,0,0,1,1,0,1
thinc,v8.0.16,2022-05-19,0,1,1,0,0,0,1,1,0,1
thinc,v8.0.17,2022-06-02,0,1,1,0,0,0,1,1,0,1
thinc,v8.1.0,2022-07-08,0,1,1,1,0,0,1,1,0,1
thinc,v8.1.1,2022-09-09,0,1,1,0,0,0,1,1,0,1
thinc,v8.1.2,2022-09-27,0,1,1,0,0,0,1,1,0,1
thinc,v8.1.3,2022-10-07,0,1,1,0,0,0,1,1,0,1
thinc,v8.1.4,2022-10-12,0,1,1,0,0,0,1,1,0,1
thinc,v7.4.6,2022-10-18,0,1,1,0,0,0,0,1,0,1
thinc,v8.1.5,2022-10-19,1,1,1,1,0,0,1,1,0,1
thinc,v8.1.6,2022-12-20,0,1,1,0,0,0,1,1,0,1
thinc,v8.1.7,2023-01-13,0,1,1,0,0,0,1,1,0,1
thinc,v8.1.8,2023-03-02,0,1,1,0,0,0,1,1,0,1
thinc,v8.1.9,2023-03-07,0,1,1,0,0,0,1,1,0,1
thinc,v8.1.10,2023-05-03,0,1,1,0,0,0,1,1,0,1
thinc,v8.1.11,2023-08-07,0,1,1,0,0,0,1,1,0,1
thinc,v8.1.12,2023-08-11,0,1,1,0,0,0,0,1,0,1
thinc,v8.2.0,2023-08-11,0,1,1,0,0,0,0,1,0,1
thinc,v8.2.1,2023-09-22,0,1,1,0,0,0,0,1,0,1
thinc,v8.2.2,2023-12-14,0,1,1,0,0,0,1,1,0,1
thinc,v8.2.3,2024-02-07,0,1,1,0,0,0,1,1,0,1
thinc,v9.0.0,2024-04-19,1,1,1,0,0,1,0,1,0,1
thinc,release-v9.1.0,2024-09-02,0,1,1,0,0,0,0,1,0,1
thinc,release-v9.1.1,2024-09-12,0,1,1,0,0,0,0,1,0,1
thinc,release-v8.3.1,2024-09-30,0,1,1,0,0,0,1,1,0,1
thinc,release-v8.3.2,2024-10-01,0,1,1,0,0,0,0,1,0,1
