Release,Published_at
v0.6.3,2023-12-12T14:35:12Z
v0.6.2,2023-08-21T13:24:24Z
v0.6.1,2023-07-05T12:11:29Z
v0.6.0,2023-07-03T19:34:15Z
v0.5.3.2,2023-01-20T13:21:39Z
v0.5.3.1,2023-01-20T13:05:03Z
v0.5.3,2023-01-18T14:02:42Z
v0.5.2,2021-08-16T07:09:52Z
v0.5.1.0,2021-05-17T21:36:57Z
v0.5.1,2021-05-17T21:19:10Z
v0.5.0.5,2021-01-25T15:19:11Z
v0.5.0.3,2021-01-25T14:32:00Z
v0.5.0.2,2021-01-24T21:17:55Z
v0.5.0.1,2021-01-24T21:05:22Z
v0.5.0,2021-01-24T20:42:25Z
v0.4.1,2020-06-18T15:54:49Z
v0.4.0.1,2020-06-15T19:54:40Z
v0.3.1,2020-05-02T12:38:05Z
v0.2.0,2019-08-27T15:56:43Z
v0.1.24,2018-09-26T12:41:12Z
v0.1.14,2018-04-27T08:09:45Z
