Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
tslearn,v0.1.14,2018-04-27,0,0,1,1,0,0,1,1,0,1
tslearn,v0.1.24,2018-09-26,0,0,1,1,0,1,0,1,1,1
tslearn,v0.2.0,2019-08-27,0,0,1,1,0,0,0,1,1,1
tslearn,v0.3.1,2020-05-02,0,1,1,0,0,0,1,1,1,1
tslearn,v0.4.0.1,2020-06-15,0,1,1,0,0,0,1,1,0,1
tslearn,v0.4.1,2020-06-18,1,1,1,1,0,0,1,1,0,1
tslearn,v0.5.0,2021-01-24,0,1,1,0,0,0,1,1,0,1
tslearn,v0.5.0.1,2021-01-24,0,1,1,0,0,0,1,1,0,1
tslearn,v0.5.0.2,2021-01-24,0,1,1,0,0,0,1,1,0,1
tslearn,v0.5.0.3,2021-01-25,0,1,1,0,0,0,0,1,0,1
tslearn,v0.5.0.5,2021-01-25,0,1,1,0,0,0,0,1,0,1
tslearn,v0.5.1,2021-05-17,0,1,1,0,0,0,1,1,0,1
tslearn,v0.5.1.0,2021-05-17,0,1,1,0,0,0,1,1,0,1
tslearn,v0.5.2,2021-08-16,1,1,1,0,0,1,0,1,0,1
tslearn,v0.5.3.1,2023-01-20,1,1,1,0,0,1,1,1,0,1
tslearn,v0.5.3.2,2023-01-20,1,1,1,0,0,1,1,1,0,1
tslearn,v0.6.0,2023-07-03,0,1,1,0,0,0,1,1,0,1
tslearn,v0.6.1,2023-07-05,0,1,1,0,0,0,1,1,0,1
tslearn,v0.6.2,2023-08-21,0,1,1,0,0,0,1,1,0,1
