Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
underthesea,v1.1.0,2017-05-30,0,1,1,0,0,0,0,1,0,1
underthesea,v1.1.3,2017-08-23,0,1,1,0,0,0,0,1,0,1
underthesea,v1.1.4,2017-09-12,0,1,1,0,0,0,0,1,0,1
underthesea,v1.1.5,2017-10-06,0,1,1,0,0,0,1,1,0,1
underthesea,v1.1.6,2017-12-30,0,1,1,0,0,0,1,1,0,1
underthesea,v1.1.7,2018-04-11,0,1,1,0,0,0,1,1,0,1
underthesea,v1.1.8,2018-06-20,0,1,1,1,0,0,1,1,0,1
underthesea,v1.1.9,2019-01-01,0,1,1,0,0,0,0,1,0,1
underthesea,1.1.16,2019-06-17,0,1,1,0,0,0,0,1,0,1
underthesea,v1.1.17,2019-08-29,0,1,1,0,0,0,0,1,0,1
underthesea,v1.2.0,2020-10-28,0,1,1,0,0,0,0,1,0,1
underthesea,v1.2.1,2020-10-29,0,1,1,0,0,0,0,1,0,1
underthesea,v1.2.2,2020-11-04,0,1,1,0,0,0,0,1,0,1
underthesea,v1.2.3,2020-11-28,0,1,1,0,0,0,0,1,0,1
underthesea,v1.3.0,2020-12-19,0,1,1,0,0,0,0,1,0,1
underthesea,v1.3.1,2021-01-11,0,1,1,0,0,0,0,1,0,1
underthesea,open-data,2021-08-04,0,1,1,0,0,0,1,1,0,1
underthesea,v1.3.3,2021-10-30,0,1,1,0,0,0,1,1,0,1
underthesea,resources,2020-11-29,1,0,1,1,0,0,0,1,1,1
underthesea,open-data-voice-ipa,2022-08-21,0,1,1,0,0,0,1,1,0,1
underthesea,draft-2,2022-09-05,0,1,1,0,0,0,0,1,0,1
underthesea,draft-3,2022-09-05,0,1,1,0,0,0,0,1,0,1
underthesea,draft-4,2022-09-05,0,1,1,0,0,0,0,1,0,1
underthesea,draft-5,2022-09-05,0,1,1,0,0,0,0,1,0,1
underthesea,raft-5,2022-09-05,0,1,1,0,0,0,0,1,0,1
underthesea,v1.3.5,2022-10-31,0,1,1,0,0,0,1,1,0,1
underthesea,v1.4.0,2022-12-11,0,1,1,0,0,0,1,1,0,1
underthesea,v6.0.0,2023-01-01,0,1,1,0,0,0,0,1,0,1
underthesea,v6.0.1,2023-01-08,0,1,1,0,0,0,1,1,0,1
underthesea,v6.0.2,2023-01-19,0,1,1,0,0,0,0,1,0,1
underthesea,v6.0.3,2023-01-25,0,1,1,0,0,0,0,1,0,1
underthesea,v6.1.0,2023-02-08,0,1,1,0,0,0,0,1,0,1
underthesea,v6.1.1,2023-02-10,0,1,1,0,0,0,1,1,0,1
underthesea,v6.1.2,2023-02-15,0,1,1,0,0,0,1,1,0,1
underthesea,v6.1.3,2023-02-25,0,1,1,0,0,0,0,1,0,1
underthesea,v6.1.4,2023-02-26,0,1,1,0,0,0,0,1,0,1
underthesea,v6.2.0,2023-03-04,0,1,1,0,0,0,0,1,0,1
underthesea,v6.3.0,2023-06-28,0,1,1,0,0,0,0,1,0,1
underthesea,v6.4.0,2023-07-14,0,1,1,0,0,0,0,1,0,1
underthesea,v6.5.0,2023-07-14,0,1,1,0,0,0,0,1,0,1
underthesea,v6.6.0,2023-07-27,0,1,1,0,0,0,0,1,0,1
underthesea,v6.7.0,2023-07-28,0,1,1,1,0,0,1,1,0,1
underthesea,v6.8.0,2023-09-22,0,1,1,0,0,0,1,1,0,1
