Release,Published_at
v0.2.23,2025-01-30T02:32:07Z
v0.2.22,2025-01-28T12:40:25Z
v0.2.21,2025-01-19T07:16:20Z
v0.2.20,2025-01-07T06:25:15Z
v0.2.19,2024-11-21T22:03:52Z
v0.2.18,2024-11-13T00:02:41Z
v0.2.17,2024-11-10T08:00:05Z
v0.2.16,2024-11-09T22:41:21Z
v0.2.15,2024-11-09T09:05:30Z
v0.2.14,2024-11-08T11:26:08Z
v0.2.13,2024-11-08T10:50:43Z
v0.2.12,2024-11-04T09:55:29Z
v0.2.11,2024-10-18T07:14:18Z
v0.2.10,2024-10-18T07:12:56Z
v0.2.9,2024-09-25T06:52:31Z
v0.2.8,2024-09-12T23:36:36Z
v0.2.7,2024-08-29T20:39:57Z
v0.2.6,2024-08-29T20:28:40Z
v0.2.5,2024-08-29T14:08:00Z
v0.2.4,2024-08-29T03:50:45Z
v0.2.3,2024-06-29T04:32:29Z
v0.2.2,2024-06-27T07:00:40Z
v0.2.1,2024-06-07T20:32:25Z
v0.2.0,2024-06-01T03:38:24Z
v0.1.34,2024-06-01T03:19:10Z
v0.1.33,2024-06-01T02:56:13Z
v0.1.32,2024-05-29T00:47:16Z
v0.1.31,2024-05-25T07:53:28Z
v0.1.30,2024-05-17T10:36:14Z
v0.1.29,2024-05-04T04:25:19Z
v0.1.28,2024-04-14T03:55:51Z
v0.1.27,2024-04-02T21:23:29Z
v0.1.26,2024-03-23T02:23:12Z
v0.1.25,2024-03-01T22:37:45Z
v0.1.24,2024-02-17T00:30:47Z
v0.1.23,2024-01-25T19:06:14Z
v0.1.22,2024-01-23T09:09:25Z
v0.1.21,2024-01-17T21:41:09Z
v0.1.20,2024-01-16T23:55:20Z
v0.1.19,2024-01-14T07:54:33Z
v0.1.18,2024-01-12T22:42:48Z
v0.1.17,2023-12-20T19:35:39Z
v0.1.16,2023-12-16T08:35:27Z
v0.1.15,2023-12-15T22:03:07Z
v0.1.14,2023-12-14T18:24:59Z
v0.1.13,2023-11-30T04:14:48Z
v0.1.12,2023-11-29T23:45:05Z
v0.1.11,2023-11-28T02:52:38Z
v0.1.10,2023-11-13T05:38:24Z
v0.1.9,2023-11-07T03:00:09Z
v0.1.8,2023-11-07T00:02:03Z
v0.1.7,2023-10-12T15:21:08Z
v0.1.6,2023-10-11T00:07:34Z
v0.1.5,2023-09-25T20:51:00Z
v0.1.4,2023-09-19T18:31:20Z
v0.1.3,2023-09-19T17:45:56Z
v0.1.2,2023-09-07T22:45:39Z
v0.1.1,2023-09-07T20:56:10Z
v0.1.0,2023-08-15T10:01:57Z
v0.0.16,2023-06-06T05:45:39Z
v0.0.15,2023-06-05T23:13:08Z
v0.0.14,2023-06-05T22:50:39Z
v0.0.13,2023-05-28T01:59:53Z
v0.0.12,2023-05-26T21:57:05Z
v0.0.11,2023-05-23T23:50:59Z
v0.0.10,2023-05-04T21:35:22Z
v0.0.9,2023-05-01T18:51:52Z
v0.0.8,2023-05-01T17:34:17Z
v0.0.7,2023-04-26T22:14:59Z
v0.0.6,2023-04-24T08:51:27Z
v0.0.5,2023-04-15T02:16:00Z
v0.0.4,2023-04-15T01:54:19Z
v0.0.3,2023-04-15T01:49:31Z
v0.0.2,2023-04-14T20:35:20Z
v0.0.1,2023-04-14T19:33:52Z
v0.0.0,2023-04-14T07:48:47Z
