Release,Published_at
v0.21.0,2025-01-29T17:46:46Z
v0.20.0,2024-10-17T16:22:28Z
v0.19.1,2024-09-04T20:08:34Z
v0.19.0,2024-07-24T19:00:42Z
v0.18.1,2024-06-05T19:23:45Z
v0.18.0,2024-04-24T16:20:12Z
v0.17.2,2024-03-28T15:37:14Z
v0.17.1,2024-02-22T21:54:54Z
v0.17.0,2024-01-30T18:31:39Z
v0.16.2,2023-12-15T02:04:19Z
v0.16.1,2023-11-15T22:18:12Z
v0.16.0,2023-10-04T17:32:50Z
v0.15.2,2023-05-08T20:12:27Z
v0.15.1,2023-03-15T19:37:56Z
v0.14.1,2022-12-16T00:34:17Z
v0.14.0,2022-10-28T16:48:51Z
v0.13.1,2022-08-05T20:19:15Z
v0.13.0,2022-06-28T16:45:08Z
v0.12.0,2022-03-10T18:28:39Z
v0.11.3,2022-01-27T22:31:01Z
v0.11.2,2021-12-16T10:07:38Z
v0.11.1,2021-10-21T16:58:04Z
v0.11.0,2021-10-21T15:46:14Z
v0.10.1,2021-09-27T04:40:36Z
v0.10.0,2021-06-15T14:55:18Z
v0.9.1,2021-03-25T17:51:25Z
v0.9.0,2021-03-04T20:54:36Z
v0.8.2,2020-12-10T17:10:41Z
v0.8.1,2020-10-27T21:22:05Z
v0.8.0,2020-10-27T16:17:12Z
v0.7.0,2020-07-28T15:04:20Z
v0.6.1,2020-06-22T18:20:05Z
v0.6.0,2020-04-21T14:31:00Z
v0.5.0,2020-01-15T22:11:49Z
v0.4.2,2019-11-07T16:33:55Z
v0.4.1,2019-10-30T15:18:42Z
v0.4.0,2019-08-08T15:09:09Z
v0.3.0,2019-05-22T19:45:45Z
v0.2.2,2019-02-26T17:13:20Z
v0.2.1,2018-04-24T18:16:46Z
v0.2.0,2017-11-27T18:09:09Z
v0.1.9,2017-09-11T16:15:34Z
v0.1.8,2017-04-03T04:53:18Z
v0.1.7,2017-04-03T04:41:57Z
v0.1.6,2017-04-03T04:40:39Z
v0.1.5,2017-04-03T04:35:26Z
