Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
vision,v0.1.5,2017-04-03,1,1,1,0,0,0,1,0,0,1
vision,v0.1.6,2017-04-03,1,1,1,0,0,0,1,0,0,1
vision,v0.1.7,2017-04-03,1,1,1,0,0,0,1,0,0,1
vision,v0.1.8,2017-04-03,1,1,1,0,0,0,1,0,0,1
vision,v0.1.9,2017-09-11,1,1,1,1,1,0,1,1,0,1
vision,v0.2.0,2017-11-27,1,1,1,0,0,1,1,1,0,1
vision,v0.2.1,2018-04-24,1,1,1,0,1,1,0,0,0,1
vision,v0.2.2,2019-02-26,1,0,1,1,1,0,0,1,0,1
vision,v0.3.0,2019-05-22,1,0,1,1,1,0,0,1,0,1
vision,v0.4.0,2019-08-08,1,1,1,1,1,0,0,0,0,1
vision,v0.4.1,2019-10-30,0,1,1,0,0,0,1,1,0,1
vision,v0.4.2,2019-11-07,0,1,1,1,1,0,1,0,0,1
vision,v0.5.0,2020-01-15,1,0,1,1,1,0,0,1,0,1
vision,v0.6.0,2020-04-21,1,1,1,0,1,0,1,1,0,1
vision,v0.6.1,2020-06-22,0,1,1,0,0,0,1,1,0,1
vision,v0.7.0,2020-07-28,0,1,1,1,1,0,0,1,0,1
vision,v0.8.0,2020-10-27,0,0,1,0,1,0,0,0,0,1
vision,v0.8.1,2020-10-27,0,0,1,0,1,0,0,0,0,1
vision,v0.8.2,2020-12-10,0,1,1,1,1,0,0,1,0,1
vision,v0.9.0,2021-03-04,0,1,1,0,0,0,1,1,0,1
vision,v0.9.1,2021-03-25,0,0,1,1,1,0,0,1,0,1
vision,v0.10.0,2021-06-15,0,1,1,1,1,0,0,1,0,1
vision,v0.10.1,2021-09-27,0,1,1,0,0,0,1,1,0,1
vision,v0.11.0,2021-10-21,0,0,1,0,1,0,0,0,0,1
vision,v0.11.1,2021-10-21,0,0,1,0,1,0,0,0,0,1
vision,v0.11.2,2021-12-16,0,0,1,0,1,0,1,0,0,1
vision,v0.11.3,2022-01-27,0,0,1,0,1,0,0,0,0,1
vision,v0.12.0,2022-03-10,0,0,1,1,1,0,0,1,0,1
vision,v0.13.0,2022-06-28,0,1,1,0,0,0,1,1,0,1
vision,v0.13.1,2022-08-05,0,0,1,1,1,0,0,1,0,1
vision,v0.14.0,2022-10-28,0,1,1,0,0,0,1,1,0,1
vision,v0.14.1,2022-12-16,0,0,1,1,1,0,0,0,0,1
vision,v0.15.1,2023-03-15,0,1,1,0,0,0,1,1,0,1
vision,v0.15.2,2023-05-08,0,0,1,1,1,0,0,1,0,1
vision,v0.16.0,2023-10-04,0,1,1,0,0,0,1,1,0,1
vision,v0.16.1,2023-11-15,0,1,1,0,0,0,1,1,0,1
vision,v0.16.2,2023-12-15,0,1,1,0,0,0,1,1,0,1
vision,v0.17.0,2024-01-30,0,1,1,0,0,0,1,1,0,1
vision,v0.17.1,2024-02-22,0,1,1,0,0,0,1,1,0,1
vision,v0.17.2,2024-03-28,0,1,1,0,0,0,1,1,0,1
vision,v0.18.0,2024-04-24,1,1,1,1,0,0,1,1,0,1
vision,v0.18.1,2024-06-05,1,1,1,1,0,0,1,1,0,1
vision,v0.19.0,2024-07-24,0,1,1,0,0,0,1,1,0,1
vision,v0.19.1,2024-09-04,0,1,1,0,0,0,1,1,0,1
vision,v0.20.0,2024-10-17,0,1,1,1,0,0,1,0,0,1
