Release,Published_at
9.10.0,2024-08-01T19:02:07Z
9.9.0,2023-07-19T14:18:35Z
9.8.0,2023-03-14T17:30:13Z
9.7.0,2023-02-02T19:56:35Z
9.6.0,2022-11-08T18:53:36Z
9.5.0,2022-10-14T11:04:45Z
9.4.0,2022-10-13T16:48:26Z
9.3.0,2022-08-10T13:59:34Z
9.2.0,2022-07-12T20:47:33Z
9.1.0,2022-04-06T14:28:10Z
9.0.1,2022-02-01T22:21:46Z
9.0.0,2022-01-28T20:00:57Z
8.11.0,2021-07-14T17:10:52Z
8.10.2,2021-06-11T15:27:10Z
8.10.1,2021-04-13T13:08:53Z
8.10.0,2021-04-01T15:12:34Z
8.9.2,2021-03-04T18:13:37Z
8.9.1,2021-01-27T21:17:28Z
8.9.0,2020-11-12T14:24:26Z
8.8.1,2020-03-03T19:38:46Z
8.8.0,2019-12-07T15:16:04Z
8.7.0,2019-06-07T02:59:26Z
8.6.1,2018-07-21T12:52:45Z
8.6.0,2018-07-05T20:32:58Z
8.5.0,2017-12-03T16:36:26Z
8.4.0,2017-07-22T14:24:28Z
8.2.0,2016-06-21T18:44:10Z
7.10,2015-02-14T20:39:48Z
7.9,2015-01-11T18:55:38Z
7.8,2014-12-07T02:48:07Z
