Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
vowpal_wabbit,7.8,2014-12-07,0,1,1,0,0,0,1,1,0,1
vowpal_wabbit,7.9,2015-01-11,0,1,1,0,0,0,1,1,0,1
vowpal_wabbit,7.10,2015-02-14,0,0,1,1,0,1,0,0,1,1
vowpal_wabbit,8.2.0,2016-06-21,0,0,1,1,0,1,0,1,1,1
vowpal_wabbit,8.4.0,2017-07-22,0,0,1,1,1,0,0,0,0,1
vowpal_wabbit,8.5.0,2017-12-03,0,0,1,1,1,0,0,1,1,1
vowpal_wabbit,8.6.0,2018-07-05,0,1,1,0,0,0,1,1,0,1
vowpal_wabbit,8.6.1,2018-07-21,0,0,1,0,0,1,0,0,1,1
vowpal_wabbit,8.7.0,2019-06-07,1,0,1,1,0,0,0,0,0,1
vowpal_wabbit,8.8.0,2019-12-07,1,1,1,1,0,0,1,1,0,1
vowpal_wabbit,8.8.1,2020-03-03,0,0,1,1,1,0,0,1,0,1
vowpal_wabbit,8.9.0,2020-11-12,1,0,1,0,0,0,1,0,0,1
vowpal_wabbit,8.9.1,2021-01-27,0,1,1,0,0,0,1,1,0,1
vowpal_wabbit,8.9.2,2021-03-04,0,1,1,0,0,0,1,1,0,1
vowpal_wabbit,8.10.0,2021-04-01,0,1,1,0,0,0,1,1,0,1
vowpal_wabbit,8.10.1,2021-04-13,1,0,1,1,0,0,1,1,0,1
vowpal_wabbit,8.10.2,2021-06-11,0,1,1,0,0,0,1,1,0,1
vowpal_wabbit,8.11.0,2021-07-14,0,0,1,1,0,0,0,1,1,1
vowpal_wabbit,9.0.0,2022-01-28,0,1,1,0,0,0,1,1,0,1
vowpal_wabbit,9.0.1,2022-02-01,0,1,1,0,0,0,1,1,0,1
vowpal_wabbit,9.1.0,2022-04-06,1,0,1,1,0,0,0,1,0,1
vowpal_wabbit,9.2.0,2022-07-12,0,1,1,0,0,0,1,1,0,1
vowpal_wabbit,9.3.0,2022-08-10,0,1,1,0,0,0,1,1,0,1
vowpal_wabbit,9.4.0,2022-10-13,0,1,1,0,0,0,1,1,0,1
vowpal_wabbit,9.5.0,2022-10-14,0,1,1,0,0,0,1,1,0,1
vowpal_wabbit,9.6.0,2022-11-08,0,0,1,1,0,0,0,1,0,1
vowpal_wabbit,9.7.0,2023-02-02,0,1,1,0,0,0,1,1,0,1
vowpal_wabbit,9.8.0,2023-03-14,1,0,1,0,0,0,1,1,0,1
vowpal_wabbit,9.9.0,2023-07-19,1,1,1,1,0,0,1,1,0,1
