Release,Published_at
v3.0.0,2025-03-15T13:44:01Z
v3.0.0rc1,2025-02-26T07:04:52Z
v2.1.4,2025-02-06T18:23:31Z
v2.1.3,2024-11-26T10:21:16Z
v2.1.2,2024-10-23T14:31:13Z
v2.1.1,2024-07-30T22:22:27Z
v2.1.0,2024-06-20T07:46:36Z
v2.1.0rc1,2024-05-31T17:39:49Z
v2.0.3,2023-12-19T10:07:53Z
v2.0.2,2023-11-09T20:24:31Z
v2.0.1,2023-10-24T08:56:42Z
v2.0.0,2023-09-12T03:10:42Z
v2.0.0rc1,2023-08-17T08:31:29Z
v1.7.6,2023-06-19T01:38:37Z
v1.7.5,2023-03-30T18:30:05Z
v1.7.4,2023-02-16T15:22:41Z
v1.7.3,2023-01-06T19:03:48Z
v1.7.2,2022-12-08T19:41:14Z
v1.7.1,2022-11-03T23:39:57Z
v1.7.0,2022-10-31T19:29:16Z
v1.7.0rc1,2022-10-20T09:20:39Z
v1.6.2,2022-08-23T13:05:54Z
v1.6.1,2022-05-09T09:08:07Z
v1.6.0,2022-04-16T04:02:39Z
v1.6.0rc1,2022-03-30T17:28:25Z
v1.5.2,2022-01-17T15:58:16Z
v1.5.1,2021-11-23T09:49:14Z
v1.5.0,2021-10-17T17:08:49Z
v1.5.0rc1,2021-09-26T05:35:27Z
v1.4.2,2021-05-13T11:35:17Z
v1.4.1,2021-04-20T00:37:45Z
v1.4.0,2021-04-11T00:43:19Z
v1.3.3,2021-01-20T13:52:38Z
v1.3.2,2021-01-13T14:21:24Z
v1.3.1,2020-12-22T13:38:41Z
v1.3.0,2020-12-09T00:29:06Z
v1.3.0rc1,2020-11-23T16:19:16Z
v1.2.1,2020-10-14T01:14:47Z
v1.2.0,2020-08-23T02:51:19Z
v1.2.0rc2,2020-08-12T21:39:09Z
v1.2.0rc1,2020-08-02T11:18:13Z
v1.1.1,2020-06-07T04:16:25Z
v1.1.0,2020-05-17T07:27:46Z
v1.1.0rc2,2020-05-04T20:54:22Z
v1.1.0rc1,2020-04-24T21:40:29Z
v1.0.2,2020-03-04T00:35:50Z
v1.0.1,2020-02-21T17:11:44Z
v1.0.0,2020-02-20T05:50:38Z
v1.0.0rc2,2020-02-14T11:01:37Z
v1.0.0rc1,2020-01-31T11:43:28Z
v0.90,2019-05-20T08:07:11Z
v0.82,2019-03-05T02:17:37Z
v0.81,2018-11-04T17:58:58Z
v0.80,2018-08-13T08:41:42Z
v0.72,2018-06-01T23:02:29Z
v0.71,2018-04-11T12:47:01Z
v0.7,2017-12-30T21:52:42Z
v0.60,2016-07-29T18:25:11Z
0.47,2016-01-15T00:00:42Z
v0.40,2015-05-12T06:45:05Z
v0.32,2014-09-08T01:06:01Z
v0.22,2014-08-23T02:45:12Z
v0.21,2014-05-20T22:44:48Z
v0.1,2014-03-27T00:11:18Z
