Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
xgboost,v0.1,2014-03-27,0,1,1,0,0,0,1,1,0,1
xgboost,v0.21,2014-05-20,0,1,1,1,0,0,1,1,0,1
xgboost,v0.22,2014-08-23,0,1,1,0,0,0,1,1,1,1
xgboost,v0.32,2014-09-08,0,0,1,1,1,0,0,0,1,1
xgboost,v0.40,2015-05-12,0,0,1,1,1,0,0,0,1,1
xgboost,0.47,2016-01-15,0,1,1,1,1,1,0,1,0,1
xgboost,v0.60,2016-07-29,0,0,1,0,0,1,0,0,0,1
xgboost,v0.7,2017-12-30,1,1,1,1,1,0,1,0,0,1
xgboost,v0.71,2018-04-11,0,1,1,0,0,0,1,0,0,1
xgboost,v0.72,2018-06-01,1,0,1,0,1,0,1,0,0,1
xgboost,v0.80,2018-08-13,1,0,1,1,1,0,0,0,0,1
xgboost,v0.81,2018-11-04,0,0,1,1,1,0,1,1,0,1
xgboost,v0.82,2019-03-05,1,0,1,0,1,0,0,0,0,1
xgboost,v0.90,2019-05-20,0,0,1,1,1,1,0,0,0,1
xgboost,v1.0.0rc1,2020-01-31,0,1,1,0,0,0,1,1,0,1
xgboost,v1.0.0rc2,2020-02-14,0,1,1,0,0,0,1,1,0,1
xgboost,v1.0.1,2020-02-21,0,1,1,0,0,0,1,1,0,1
xgboost,v1.0.2,2020-03-04,0,0,1,0,1,0,1,0,0,1
xgboost,v1.1.0rc1,2020-04-24,0,1,1,0,0,0,1,1,0,1
xgboost,v1.1.0rc2,2020-05-04,0,1,1,0,0,0,1,1,0,1
xgboost,v1.1.0,2020-05-17,0,1,1,0,0,0,1,1,0,1
xgboost,v1.1.1,2020-06-07,1,0,1,1,0,0,1,1,0,1
xgboost,v1.2.0rc1,2020-08-02,0,1,1,0,0,0,1,1,0,1
xgboost,v1.2.0rc2,2020-08-12,0,1,1,0,0,0,1,1,0,1
xgboost,v1.2.0,2020-08-23,1,0,1,0,1,0,1,0,0,1
xgboost,v1.2.1,2020-10-14,0,1,1,0,0,0,1,1,0,1
xgboost,v1.3.0rc1,2020-11-23,0,1,1,0,0,0,1,1,0,1
xgboost,v1.3.0,2020-12-09,0,1,1,0,0,0,1,1,0,1
xgboost,v1.3.1,2020-12-22,0,1,1,0,0,0,1,1,0,1
xgboost,v1.3.2,2021-01-13,0,1,1,0,0,0,0,1,0,1
xgboost,v1.3.3,2021-01-20,1,0,1,1,0,0,1,0,0,1
xgboost,v1.4.0,2021-04-11,0,1,1,0,0,0,1,1,0,1
xgboost,v1.4.1,2021-04-20,0,1,1,0,0,0,1,1,0,1
xgboost,v1.4.2,2021-05-13,1,0,1,1,0,0,1,0,0,1
xgboost,v1.5.0rc1,2021-09-26,0,1,1,0,0,0,1,1,0,1
xgboost,v1.5.0,2021-10-17,0,1,1,0,0,0,1,1,0,1
xgboost,v1.5.1,2021-11-23,0,1,1,0,0,0,1,1,0,1
xgboost,v1.5.2,2022-01-17,1,0,1,1,0,0,1,0,0,1
xgboost,v1.6.0rc1,2022-03-30,0,1,1,0,0,0,1,1,0,1
xgboost,v1.6.0,2022-04-16,0,1,1,0,0,0,1,1,0,1
xgboost,v1.6.1,2022-05-09,1,0,1,1,1,0,0,0,0,1
xgboost,v1.6.2,2022-08-23,0,1,1,0,0,0,1,1,0,1
xgboost,v1.7.0rc1,2022-10-20,0,1,1,0,0,0,1,1,0,1
xgboost,v1.7.0,2022-10-31,0,1,1,0,0,0,1,1,0,1
xgboost,v1.7.1,2022-11-03,0,1,1,0,0,0,1,1,0,1
xgboost,v1.7.2,2022-12-08,0,1,1,0,0,0,1,1,0,1
xgboost,v1.7.3,2023-01-06,0,1,1,0,0,0,1,1,0,1
xgboost,v1.7.4,2023-02-16,0,1,1,0,0,0,1,1,0,1
xgboost,v1.7.5,2023-03-30,1,0,1,1,0,0,0,0,0,1
xgboost,v1.7.6,2023-06-19,1,0,1,0,0,0,1,0,0,1
xgboost,v2.0.0rc1,2023-08-17,0,1,1,0,0,0,1,1,0,1
xgboost,v2.0.0,2023-09-12,0,1,1,0,0,0,1,1,0,1
xgboost,v2.0.1,2023-10-24,0,1,1,0,0,0,1,1,0,1
xgboost,v2.0.2,2023-11-09,0,1,1,0,0,0,1,1,0,1
xgboost,v2.0.3,2023-12-19,0,0,1,1,0,0,0,0,0,1
xgboost,v2.1.0rc1,2024-05-31,0,1,1,0,0,0,1,1,0,1
xgboost,v2.1.0,2024-06-20,0,1,1,0,0,0,1,1,0,1
xgboost,v2.1.1,2024-07-30,0,1,1,0,0,0,1,1,0,1
xgboost,v2.1.2,2024-10-23,0,1,1,0,0,0,1,1,0,1
xgboost,v2.1.3,2024-11-26,1,1,1,1,0,0,0,0,0,1
xgboost,v2.1.4,2025-02-06,0,1,1,0,0,0,1,1,0,1
xgboost,v3.0.0rc1,2025-02-26,0,1,1,0,0,0,1,1,0,1
