Release,Published_at
v1.5,2022-08-21T12:49:43Z
v1.4,2022-02-19T22:49:03Z
v1.3.post1,2021-02-13T20:31:18Z
v1.3,2021-02-09T15:02:39Z
v1.2.1,2021-01-15T19:35:31Z
v1.2,2020-10-09T19:34:55Z
v1.1,2020-02-26T00:11:19Z
v1.0.1,2019-10-06T14:28:17Z
v1.0,2019-08-29T01:14:29Z
v0.9.1,2019-02-06T02:52:13Z
v0.9,2018-11-14T23:22:03Z
v0.8,2018-07-12T23:52:28Z
v0.7,2018-05-18T02:29:29Z
v0.6,2018-03-19T03:52:12Z
v0.5,2017-08-09T23:29:30Z
v0.4.2,2017-05-22T20:22:49Z
v0.4.1,2017-05-22T19:16:24Z
v0.4,2017-05-04T20:02:46Z
v0.3.3,2017-02-22T22:36:35Z
v0.3.2,2017-01-20T17:16:51Z
v0.3.1a2,2016-10-13T13:02:22Z
v0.3a1,2016-10-13T12:59:55Z
v0.2,2016-09-04T17:17:54Z
v0.1,2016-05-18T19:06:19Z
