Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
yellowbrick,v0.1,2016-05-18,0,1,1,0,0,0,1,1,0,1
yellowbrick,v0.2,2016-09-04,0,1,1,0,0,0,1,1,0,1
yellowbrick,v0.3a1,2016-10-13,0,1,1,0,0,0,1,1,0,1
yellowbrick,v0.3.1a2,2016-10-13,0,1,1,0,0,0,1,1,0,1
yellowbrick,v0.3.2,2017-01-20,0,1,1,0,0,0,1,1,0,1
yellowbrick,v0.3.3,2017-02-22,0,1,1,0,0,0,1,1,0,1
yellowbrick,v0.4,2017-05-04,0,1,1,0,0,0,1,1,0,1
yellowbrick,v0.4.1,2017-05-22,1,1,1,1,0,0,1,1,0,1
yellowbrick,v0.4.2,2017-05-22,1,1,1,1,0,0,1,1,0,1
yellowbrick,v0.5,2017-08-09,1,1,1,1,0,0,1,1,0,1
yellowbrick,v0.6,2018-03-19,1,1,1,1,0,0,1,1,0,1
yellowbrick,v0.7,2018-05-18,0,1,1,0,0,0,1,1,0,1
yellowbrick,v0.8,2018-07-12,1,1,1,1,1,0,1,0,0,1
yellowbrick,v0.9,2018-11-14,1,1,1,1,0,0,1,1,0,1
yellowbrick,v0.9.1,2019-02-06,1,1,1,1,1,0,1,0,0,1
yellowbrick,v1.0,2019-08-29,0,1,1,0,0,0,1,1,0,1
yellowbrick,v1.0.1,2019-10-06,1,1,1,1,0,0,1,0,0,1
yellowbrick,v1.1,2020-02-26,1,1,1,1,0,1,1,1,0,1
yellowbrick,v1.2,2020-10-09,1,1,1,1,0,0,1,1,0,1
yellowbrick,v1.2.1,2021-01-15,0,1,1,0,0,0,1,1,0,1
yellowbrick,v1.3,2021-02-09,0,1,1,0,0,0,1,1,0,1
yellowbrick,v1.3.post1,2021-02-13,1,1,1,0,1,1,1,1,0,1
yellowbrick,v1.4,2022-02-19,1,1,1,1,0,0,1,1,0,1
