Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
yolov3,v1.0,2018-12-11,0,1,1,1,0,0,1,1,0,1
yolov3,v2.0,2019-02-11,0,1,1,0,0,0,1,1,1,1
yolov3,v3.0,2019-03-20,0,1,1,0,0,0,1,1,0,1
yolov3,v4,2019-03-31,0,1,1,0,0,0,1,1,0,1
yolov3,v5,2019-04-03,0,1,1,0,0,0,1,1,1,1
yolov3,v6,2019-04-24,0,0,1,1,0,1,0,1,1,1
yolov3,v7,2020-05-04,1,0,1,1,0,0,1,1,0,1
yolov3,v8,2020-11-18,0,1,1,0,0,0,1,1,0,1
yolov3,v9.0,2020-12-06,0,1,1,0,0,0,1,1,0,1
yolov3,v9.1,2021-01-13,0,1,1,0,0,0,1,1,0,1
yolov3,v9.5.0,2021-04-12,0,1,1,0,0,0,1,1,0,1
