Release,Published_at
v0.13.2,2025-03-05T03:52:27Z
v0.13.1,2025-01-17T14:16:13Z
v0.13.0,2024-11-17T09:57:58Z
v0.12.2,2024-09-17T13:37:21Z
v0.12.1,2024-08-24T16:01:32Z
v0.12.0,2024-08-20T15:53:34Z
v0.11.9,2024-08-13T16:25:12Z
v0.11.7,2024-08-04T15:08:55Z
v0.11.6,2024-07-20T14:04:50Z
v0.11.5,2024-07-03T15:37:21Z
v0.11.4,2024-06-26T16:23:11Z
v0.11.3,2024-06-16T15:36:41Z
v0.11.2,2024-06-13T16:02:41Z
v0.11.1,2024-06-06T15:52:28Z
v0.11.0,2024-05-26T13:46:32Z
v0.10.5,2023-01-17T10:25:49Z
v0.10.4,2022-08-10T07:57:17Z
v0.10.3,2022-06-24T10:39:51Z
v0.10.2,2022-05-17T16:05:57Z
v0.10.1,2022-05-10T16:28:19Z
v0.10.0,2022-04-19T16:12:14Z
v0.9.17,2022-03-30T16:42:44Z
v0.9.16,2022-03-01T14:40:03Z
v0.9.15,2022-02-13T14:35:10Z
v0.9.14,2021-12-27T02:41:02Z
v0.9.13,2021-12-09T16:28:14Z
v0.9.12,2021-11-25T16:24:05Z
v0.9.11,2021-10-27T15:43:05Z
v0.9.10,2021-10-22T16:07:01Z
v0.9.9,2021-10-14T10:40:04Z
v0.9.8,2021-10-06T16:00:25Z
v0.9.7,2021-09-08T09:30:29Z
v0.9.6,2021-09-06T16:32:24Z
v0.9.5,2021-09-02T10:39:51Z
0.0.7,2019-07-08T07:51:37Z
0.0.6,2019-07-04T08:51:49Z
0.0.4,2019-07-04T08:49:34Z
0.0.3,2019-06-27T03:11:46Z
0.0.2,2019-06-28T10:36:18Z
0.0.1,2019-06-27T02:42:53Z
