Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
zvt,0.0.1,2019-06-27,0,1,1,0,0,0,1,1,0,1
zvt,0.0.3,2019-06-27,0,1,1,0,0,0,1,1,0,1
zvt,0.0.4,2019-07-04,0,1,1,0,0,0,1,1,0,1
zvt,0.0.6,2019-07-04,0,1,1,0,0,0,1,1,0,1
zvt,0.0.7,2019-07-08,0,1,1,0,1,0,0,0,0,1
zvt,v0.9.5,2021-09-02,0,1,1,0,0,0,0,1,0,1
zvt,v0.9.6,2021-09-06,0,1,1,0,0,0,0,1,0,1
zvt,v0.9.7,2021-09-08,0,1,1,0,0,0,0,1,0,1
zvt,v0.9.8,2021-10-06,0,1,1,0,0,0,0,1,0,1
zvt,v0.9.9,2021-10-14,0,1,1,0,0,0,0,1,0,1
zvt,v0.9.10,2021-10-22,0,1,1,0,0,0,0,1,0,1
zvt,v0.9.11,2021-10-27,0,1,1,0,0,0,0,1,0,1
zvt,v0.9.12,2021-11-25,0,1,1,0,0,0,0,1,0,1
zvt,v0.9.13,2021-12-09,0,1,1,0,0,0,0,1,0,1
zvt,v0.9.14,2021-12-27,0,1,1,0,0,0,0,1,0,1
zvt,v0.9.15,2022-02-13,0,1,1,0,0,0,0,1,0,1
zvt,v0.9.16,2022-03-01,0,1,1,0,0,0,0,1,0,1
zvt,v0.9.17,2022-03-30,0,1,1,0,0,0,1,1,0,1
zvt,v0.10.0,2022-04-19,0,1,1,0,0,0,0,1,0,1
zvt,v0.10.1,2022-05-10,0,1,1,0,0,0,0,1,0,1
zvt,v0.10.2,2022-05-17,0,1,1,0,0,0,1,1,0,1
zvt,v0.10.3,2022-06-24,0,1,1,0,0,0,0,1,0,1
zvt,v0.10.4,2022-08-10,0,1,1,0,0,0,0,1,0,1
zvt,v0.10.5,2023-01-17,0,1,1,0,0,0,1,1,0,1
zvt,v0.11.0,2024-05-26,0,1,1,0,0,0,0,1,0,1
zvt,v0.11.1,2024-06-06,0,1,1,0,0,0,0,1,0,1
zvt,v0.11.2,2024-06-13,0,1,1,0,0,0,0,1,0,1
zvt,v0.11.3,2024-06-16,0,1,1,0,0,0,0,1,0,1
zvt,v0.11.4,2024-06-26,0,1,1,0,0,0,0,1,0,1
zvt,v0.11.5,2024-07-03,0,1,1,0,0,0,0,1,0,1
zvt,v0.11.6,2024-07-20,0,1,1,0,0,0,1,1,0,1
zvt,v0.11.7,2024-08-04,0,1,1,0,0,0,0,1,0,1
zvt,v0.11.9,2024-08-13,0,1,1,0,0,0,0,1,0,1
zvt,v0.12.0,2024-08-20,0,1,1,0,0,0,0,1,0,1
zvt,v0.12.1,2024-08-24,0,1,1,0,0,0,0,1,0,1
zvt,v0.12.2,2024-09-17,0,1,1,0,0,0,1,1,0,1
zvt,v0.13.0,2024-11-17,0,1,1,0,0,0,1,1,0,1
zvt,v0.13.1,2025-01-17,0,1,1,0,0,0,0,1,0,1
