,OpenVINO-model-server,incubator-mxnet,scanpy,tesseract,nlp.js,POT,dm_control,EconML,kornia,interpret,deepchem,mne-python,PyKEEN,ludwig,OpenNMT-py,hdbscan,bigartm,shap,pyro,compromise,coco-annotator,MMdnn
OSE,0.0[–],13.0[–],144.0[↑]*,98.0[↑]*,15.0[–],112.0[↑]**,-6.0[–],20.0[–],141.0[–],-1.0[–],0.0[–],186.0[↑]**,32.0[–],8.0[–],-14.0[–],216.0[↑]*,72.0[↑]**,208.0[↑]*,166.0[↑]**,-115.0[–],69.0[↑]**,18.0[↑]*
BCE,5.0[–],151.0[↑]**,0.0[–],165.0[↑]**,-41.0[–],-15.0[–],0.0[–],0.0[–],-28.0[–],-11.0[–],34.0[–],188.0[–],1.0[–],200.0[↑]**,48.0[–],0.0[–],-18.0[–],-160.0[–],42.0[–],62.0[–],0.0[–],8.0[–]
PDE,0.0[–],0.0[–],0.0[–],185.0[↑]***,0.0[–],0.0[–],72.0[↑]**,0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–]
SV,-3.0[–],-11.0[–],380.0[↑]***,-70.0[–],56.0[–],117.0[↑]**,-6.0[–],90.0[↑]*,-12.0[–],118.0[–],-16.0[–],-232.0[↓]*,60.0[↑]*,-172.0[↓]*,0.0[–],346.0[↑]**,90.0[↑]**,238.0[↑]*,152.0[↑]**,-207.0[–],46.0[↑]*,18.0[↑]*
OS,0.0[–],28.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],116.0[↑]**,0.0[–],10.0[–],20.0[–],0.0[–],-142.0[↓]*,-48.0[–],0.0[–],0.0[–],88.0[–],0.0[–],-63.0[–],0.0[–],0.0[–]
SD,0.0[–],0.0[–],0.0[–],-92.0[↓]**,41.0[–],50.0[–],0.0[–],0.0[–],-17.0[–],0.0[–],4.0[–],0.0[–],0.0[–],0.0[–],-4.0[–],198.0[↑]*,24.0[–],88.0[–],17.0[–],-56.0[–],44.0[↑]*,10.0[–]
RS,52.0[↑]*,73.0[–],-136.0[–],209.0[↑]***,46.0[–],137.0[↑]**,0.0[–],-10.0[–],84.0[–],121.0[–],22.0[–],358.0[↑]**,0.0[–],272.0[↑]***,4.0[–],242.0[↑]*,-18.0[–],12.0[–],49.0[–],-88.0[–],98.0[↑]*,8.0[–]
TF,23.0[–],118.0[↑]*,0.0[–],48.0[–],0.0[–],0.0[–],0.0[–],0.0[–],-43.0[–],0.0[–],4.0[–],148.0[–],0.0[–],158.0[↑]*,70.0[–],-19.0[–],-18.0[–],-152.0[↓]*,77.0[–],63.0[–],-23.0[–],8.0[–]
UI,7.0[–],-54.0[–],0.0[–],-124.0[↓]**,41.0[–],6.0[–],0.0[–],0.0[–],-35.0[–],36.0[–],-26.0[–],-292.0[↓]***,0.0[–],-38.0[–],0.0[–],0.0[–],10.0[–],26.0[–],0.0[–],-246.0[↓]*,0.0[–],-4.0[–]
TC,0.0[–],27.0[–],0.0[–],174.0[↑]***,0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–],0.0[–]
Code,86.0[↑]***,-7.0[–],-206.0[–],237.0[↑]***,0.0[–],,162.0[↑]***,391.0[↑]***,620.0[↑]***,660.0[↑]***,20.0[–],1300.0[↑]***,140.0[↑]***,1038.0[↑]***,-86.0[–],,95.0[↑]**,-58.0[–],374.0[↑]***,1624.0[↑]***,,0.0[–]
Defect,105.0[↑]***,-23.0[–],1247.0[↑]***,215.0[↑]***,,213.0[↑]***,0.0[–],316.0[↑]***,709.0[↑]***,860.0[↑]***,49.0[–],404.0[↑]**,150.0[↑]***,1069.0[↑]***,-175.0[–],,1.0[–],943.0[↑]***,445.0[↑]***,-111.0[–],169.0[↑]***,41.0[↑]***
Design,82.0[↑]**,-208.0[↓]***,2671.0[↑]***,249.0[↑]***,,191.0[↑]***,0.0[–],354.0[↑]***,678.0[↑]***,1024.0[↑]***,138.0[↑]***,926.0[↑]***,97.0[↑]**,1049.0[↑]***,-280.0[↓]***,,-18.0[–],619.0[↑]***,446.0[↑]***,-637.0[↓]***,0.0[–],39.0[↑]**
Documentation,90.0[↑]***,102.0[–],1736.0[↑]***,254.0[↑]***,,0.0[–],,319.0[↑]***,566.0[↑]***,927.0[↑]***,-18.0[–],1099.0[↑]***,154.0[↑]***,1028.0[↑]***,0.0[–],0.0[–],142.0[↑]***,237.0[↑]*,387.0[↑]***,-1588.0[↓]***,,32.0[↑]**
M&T,56.0[↑]**,225.0[↑]***,2540.0[↑]***,-13.0[–],,,0.0[–],207.0[↑]***,515.0[↑]***,952.0[↑]***,40.0[–],1031.0[↑]***,84.0[↑]**,808.0[↑]***,336.0[↑]***,,160.0[↑]***,779.0[↑]***,373.0[↑]***,-1063.0[↓]***,,30.0[↑]**
Requirement,102.0[↑]***,302.0[↑]***,2391.0[↑]***,287.0[↑]***,,263.0[↑]***,168.0[↑]***,334.0[↑]***,711.0[↑]***,996.0[↑]***,99.0[↑]***,1294.0[↑]***,177.0[↑]***,1118.0[↑]***,658.0[↑]***,468.0[↑]***,134.0[↑]**,551.0[↑]***,421.0[↑]***,-916.0[↓]***,183.0[↑]***,46.0[↑]***
