,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22
OSE,72 [↑]**,69 [↑]**,32 [–],112 [↑]**,0 [–],-6 [–],20 [–],-1 [–],166 [↑]**,8 [–],216 [↑]*,-115 [–],15 [–],144 [↑]*,18 [↑]*,0 [–],98 [↑]*,13 [–],208 [↑]*,186 [↑]**,-14 [–],141 [–]
BCE,-18 [–],0 [–],1 [–],-15 [–],5 [–],0 [–],0 [–],-11 [–],42 [–],200 [↑]**,0 [–],62 [–],-41 [–],0 [–],8 [–],34 [–],165 [↑]**,151 [↑]**,-160 [–],188 [–],48 [–],-28 [–]
PDE,0 [–],0 [–],0 [–],0 [–],0 [–],72 [↑]**,0 [–],0 [–],0 [–],0 [–],0 [–],0 [–],0 [–],0 [–],0[–],0 [–],185 [↑]***,0 [–],0 [–],0 [–],0 [–],0 [–]
SV,90 [↑]**,46 [↑]*,60 [↑]*,117 [↑]**,-3 [–],-6 [–],90 [↑]*,118 [–],152 [↑]**,-172 [↓]*,346 [↑]**,-207 [–],56 [–],380 [↑]***,18 [↑]*,-16 [–],-70 [–],-11 [–],238 [↑]*,-232 [↓]*,0 [–],-12 [–]
OS,0 [–],0 [–],0 [–],0 [–],0 [–],0 [–],0 [–],0 [–],0 [–],-142 [↓]*,0 [–],-63 [–],0 [–],0 [–],0 [–],10 [–],0 [–],28 [–],88 [–],20 [–],-48 [–],116 [↑]**
SD,24 [–],44 [↑]*,0 [–],50 [–],0 [–],0 [–],0 [–],0 [–],17 [–],0 [–],198 [↑]*,-56 [–],41 [–],0 [–],10 [–],4 [–],-92 [↓]**,0 [–],88 [–],0 [–],-4 [–],-17 [–]
RS,-18 [–],98 [↑]*,0 [–],137 [↑]**,52 [↑]*,0 [–],-10 [–],121 [–],49 [–],272 [↑]***,242 [↑]*,-88 [–],46 [–],-136 [–],8 [–],22 [–],209 [↑]***,73 [–],12 [–],358 [↑]**,4 [–],84 [–]
TF,-18 [–],-23 [–],0 [–],0 [–],23 [–],0 [–],0 [–],0 [–],77 [–],158 [↑]*,-19 [–],63 [–],0 [–],0 [–],8 [–],4 [–],48 [–],118 [↑]*,-152 [↓]*,148 [–],70 [–],-43 [–]
UI,10 [–],0 [–],0 [–],6 [–],7 [–],0 [–],0 [–],36 [–],0 [–],-38 [–],0 [–],-246 [↓]*,41 [–],0 [–],-4 [–],-26 [–],-124 [↓]**,-54 [–],26 [–],-292 [↓]***,0 [–],-35 [–]
TC,0 [–],0 [–],0 [–],0 [–],0 [–],0 [–],0 [–],0 [–],0 [–],0 [–],0 [–],0 [–],0 [–],0 [–],0 [–],0 [–],174 [↑]***,27 [–],0 [–],0 [–],0 [–],0 [–]
Code,95 [↑]**,,140 [↑]***,,86 [↑]***,162 [↑]***,391 [↑]***,660 [↑]***,374 [↑]***,1038 [↑]***,,1624 [↑]***,0 [–],-206 [–],0 [–],20 [–],237 [↑]***,-7 [–],-58 [–],1300 [↑]***,-86 [–],620 [↑]***
Defect,1 [–],169 [↑]***,150 [↑]***,213 [↑]***,105 [↑]***,0 [–],316 [↑]***,860 [↑]***,445 [↑]***,1069 [↑]***,,-111 [–],,1247 [↑]***,41 [↑]***,49 [–],215 [↑]***,-23 [–],943 [↑]***,404 [↑]**,-175 [–],709 [↑]***
Design,-18 [–],0 [–],97 [↑]**,191 [↑]***,82 [↑]**,0 [–],354 [↑]***,1024 [↑]***,446 [↑]***,1049 [↑]***,,-637 [↓]***,,2671 [↑]***,39 [↑]**,138 [↑]***,249 [↑]***,-208 [↓]***,619 [↑]***,926 [↑]***,-280 [↓]***,678 [↑]***
Documentation,142 [↑]***,,154 [↑]***,0 [–],90 [↑]***,,319 [↑]***,927 [↑]***,387 [↑]***,1028 [↑]***,0 [–],-1588 [↓]***,,1736 [↑]***,32 [↑]**,-18 [–],254 [↑]***,102 [–],237 [↑]*,1099 [↑]***,0 [–],566 [↑]***
M&T,160 [↑]***,,84 [↑]**,,56 [↑]**,0 [–],207 [↑]***,952 [↑]***,373 [↑]***,808 [↑]***,,-1063 [↓]***,,2540 [↑]***,30 [↑]**,40 [–],-13 [–],225 [↑]***,779 [↑]***,1031 [↑]***,336 [↑]***,515 [↑]***
Requirement,134 [↑]**,183 [↑]***,177 [↑]***,263 [↑]***,102 [↑]***,168 [↑]***,334 [↑]***,996 [↑]***,421 [↑]***,1118 [↑]***,468 [↑]***,-916 [↓]***,,2391 [↑]***,46 [↑]***,99 [↑]***,287 [↑]***,302 [↑]***,551 [↑]***,1294 [↑]***,658 [↑]***,711 [↑]***
