Abstract,predict
"Introducing DoWhy Guru on Gurubase.io (#1264)

Signed-off-by: Kürşat Aktaş <kursat.ce@gmail.com>",0
"Fix wrong indent in notebook overview

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"Revise GCM example notebooks

Some smaller revisions, mostly to remove flakiness when compiling.

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"Some revision in example doc site

- Fix missing grid item entry for counterfactual fairness
- Add notebooks to the grid of examples that were missing
- Move some API related notebooks to Miscellaneous
- Add sales attribution notebook

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"docs: add vivianqin214 as a contributor for code (#1282)

* docs: update CONTRIBUTING.md [skip ci]

* docs: update .all-contributorsrc [skip ci]

---------

Co-authored-by: allcontributors[bot] <46447321+allcontributors[bot]@users.noreply.github.com>",0
"Add example notebook on sale attribution (#1281)

* Add sale attribution example notebook

Signed-off-by: Vivian Qin <qnyue@amazon.com>
Co-authored-by: Patrick Bloebaum <bloebp@amazon.com>",0
"Fix missing notebooks

- Removed certain notebooks frome exclusion list
- Fixed issue where the image for the counterfactual fairness notebook was not shown

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"fix typo in docs

Signed-off-by: laurenzohnemueller <laurenz.ohnemueller@goflink.com>",0
"Change np.math for math for compatibility

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"Fix issue in KL divergence estimator with non-unique values

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"Bump abatilo/actions-poetry from 3.0.0 to 3.0.1

Bumps [abatilo/actions-poetry](https://github.com/abatilo/actions-poetry) from 3.0.0 to 3.0.1.
- [Release notes](https://github.com/abatilo/actions-poetry/releases)
- [Changelog](https://github.com/abatilo/actions-poetry/blob/master/.releaserc)
- [Commits](https://github.com/abatilo/actions-poetry/compare/v3.0.0...v3.0.1)

---
updated-dependencies:
- dependency-name: abatilo/actions-poetry
 dependency-type: direct:production
 update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",0
"Update networkx_plotting.py

Fixing the error message in self-cycle cases.

Signed-off-by: Ahmet Kapkic <ahmetkapkic@gmail.com>",0
"Change order of navigation entries in documentation

Changing from
""Getting Starte"" - ""User Guide"" - ""Examples"" - ""dowhy package"" - ""Contributing"" - ""Release notes"" - ""Citing this package""
to
""Getting Starte"" - ""User Guide"" - ""Examples"" - ""Citing this package"" - ""Contributing"" - ""Dowhy package"" ""Release notes""

Here, the last two entries are now 'hidden' under a ""more"" tab, i.e., putting the more important information to the front. Source references might be easier to find via the search function.

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"docs: add GregVS as a contributor for code (#1265)

* docs: update CONTRIBUTING.md [skip ci]

* docs: update .all-contributorsrc [skip ci]

---------

Co-authored-by: allcontributors[bot] <46447321+allcontributors[bot]@users.noreply.github.com>",0
"Fix incorrect signed noise terms for DiscreteAdditiveNoiseModel

Signed-off-by: Gregory Saldanha <gsaldanha2@gmail.com>",0
