Project_name,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,Total_Smells
sqladmin,3,40,40,4,0,0,32,40,0,40,199
compromise,3,72,74,9,1,2,52,73,8,74,368
ludwig,4,41,49,10,4,0,39,43,1,49,240
jquery-pjax,2,10,10,3,0,3,9,10,0,10,57
Robyn,0,122,122,0,0,0,100,122,0,122,588
pyro,12,32,34,14,0,1,31,29,0,34,187
hdbscan,14,54,54,18,0,10,36,53,0,54,293
api,2,37,37,4,0,1,37,36,0,37,191
ElevenClock,0,82,82,1,0,0,72,82,1,82,402
coco-annotator,3,26,26,2,0,2,14,25,0,26,124
viser,0,72,72,0,0,0,33,72,0,72,321
fastapi-crudrouter,2,7,7,2,0,1,7,7,0,7,40
photonix,0,19,19,0,0,0,17,19,0,19,93
bigartm,3,26,27,4,0,1,26,26,1,27,141
PyKEEN,4,19,20,6,0,0,20,20,0,20,109
POT,6,25,28,9,0,4,15,28,4,28,147
incubator-mxnet,3,17,30,9,2,0,11,14,4,29,119
mne-python,5,32,55,18,12,0,33,37,6,55,253
tesseract,11,22,23,19,0,6,21,27,9,25,163
oauthlib,6,11,12,4,1,4,8,12,0,12,70
shap,12,46,55,11,5,3,43,51,1,55,282
glances,11,38,49,17,1,3,38,47,6,49,259
