Version,Commit Message,SATD
v0.15.1,TODO: enable type aliases,1
v0.15.1,-- Options for todo extension ----------------------------------------------,1
v0.15.1,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v0.15.1,TODO. Deal with multi-class instrument,1
v0.15.1,TODO. Deal with multi-class instrument,1
v0.15.1,TODO. The solution below is not really a valid cross-fitting,1
v0.15.1,"HACK: DRIV doesn't expect a treatment dimension, so pretend we got a vector even if we really had a one-column array",1
v0.15.1,"Once multiple treatments are supported, we'll need to fix this",1
v0.15.1,TODO. Deal with multi-class instrument/treatment,1
v0.15.1,TODO: any way to avoid creating a copy if the array was already dense?,1
v0.15.1,TODO: might be faster to break into connected components first,1
v0.15.1,TODO: Consider investigating other performance ideas for these cases,1
v0.15.1,TODO: would using einsum's paths to optimize the order of merging help?,1
v0.15.1,HACK: We're relying on some of sklearn's non-public classes which are not completely stable.,1
v0.15.1,"HACK: it's not optimal to use a regex like this, but the base class's node_to_str doesn't expose any",1
v0.15.1,TODO. Create our own color pallete for multiple treatments. The one below is for binary treatments.,1
v0.15.1,"TODO: what if input is sparse? - there's no equivalent to einsum,",1
v0.15.1,TODO Share some logic with non-discrete version,1
v0.15.1,"TODO: This could be extended to also work with our sparse and 2SLS estimators,",1
v0.15.1,TODO: This seems hacky; is there a better abstraction to maintain these?,1
v0.15.1,HACK: sklearn 1.3 enforces that the input to plot_tree is a DecisionTreeClassifier or DecisionTreeRegressor,1
v0.15.1,This is a hack to get around that restriction by declaring that PolicyTree inherits from DecisionTreeClassifier,1
v0.15.1,TODO: support freq_weight and sample_var in debiased lasso,1
v0.15.1,TODO: support freq_weight and sample_var in debiased lasso,1
v0.15.1,"TODO: consider whether we need more care around stateful featurizers,",1
v0.15.1,"TODO: consider whether we need more care around stateful featurizers,",1
v0.15.1,TODO: Add a __dir__ implementation?,1
v0.15.1,TODO: studentized bootstrap? this would be more accurate in most cases but can we avoid,1
v0.15.1,TODO: support freq_weight and sample_var,1
v0.15.1,TODO: update docs,1
v0.15.1,Doesn't work with CNTK backend as of 2018-07-17 - see https://github.com/keras-team/keras/issues/10715,1
v0.15.1,For some reason this doesn't work at all when run against the CNTK backend...,1
v0.15.1,TODO: test that the estimated effect is usually within the bounds,1
v0.15.1,TODO: test that the estimated effect is usually within the bounds,1
v0.15.1,TODO: set up proper flag for this,1
v0.15.1,TODO: test something rather than just print...,1
v0.15.1,TODO: this tests that we can run the method; how do we test that the results are reasonable?,1
v0.15.1,TODO: serializing/deserializing for every combination -- is this necessary?,1
v0.15.1,does not work well with parallelism.,1
v0.15.1,does not work well with parallelism.,1
v0.15.1,"fourth column: 5 ones, also not enough but barely works even with forest heterogeneity",1
v0.15.1,TODO: we don't recover the correct values with enough accuracy to enable this assertion,1
v0.15.1,is there a different way to verify that we are learning the correct coefficients?,1
v0.15.1,"TODO There is a matrix dimension mismatch between multiple outcome and single outcome, should solve that",1
v0.15.1,"TODO: make sure that the public API consistently uses ""T"" instead of ""P"" for the treatment",1
v0.15.1,TODO: does the numeric stability actually make any difference?,1
v0.15.1,"CNTK backend can't randomize across batches and doesn't implement cumsum (at least as of June 2018,",1
v0.15.1,TODO: is there a more robust way to do this?,1
v0.15.1,TODO: do we need to give the user more control over other arguments to fit?,1
v0.15.1,TODO: do we need to give the user more control over other arguments to fit?,1
v0.15.1,"TODO: it seems like we need to sum over the batch because we can only apply gradient to a scalar,",1
v0.15.1,TODO: any way to get this to work on batches of arbitrary size?,1
v0.15.1,TODO: prel_model_effect could allow sample_var and freq_weight?,1
v0.15.1,TODO: support freq_weight and sample_var in debiased lasso,1
v0.15.1,TODO: do correct adjustment for sample_var,1
v0.15.1,TODO: is it right that the effective number of intruments is the,1
v0.15.1,TODO: this utility is documented but internal; reimplement?,1
v0.15.1,TODO: this utility is even less public...,1
v0.15.1,TODO: remove once older sklearn support is no longer needed,1
v0.15.1,"the transformation logic here is somewhat tricky; we always need to encode the categorical columns,",1
v0.15.1,TODO: we can't currently handle unseen values of the feature column when getting the effect;,1
v0.15.1,HACK: this is slightly ugly because we rely on the fact that DML passes [X;W] to the first stage models,1
v0.15.1,TODO: consider addding an API to DML that allows for better understanding of how the nuisance inputs are,1
v0.15.1,"TODO: Add other nuisance model options, such as {'azure_automl', 'forests', 'boosting'} that will use particular",1
v0.15.1,"TODO: Add other heterogeneity model options, such as {'automl'} for performing",1
v0.15.1,TODO: Enable multi-class classification (post-MVP),1
v0.15.1,TODO: check compatibility of X and Y lengths,1
v0.15.1,"TODO: bail out also if categorical columns, classification, random_state changed?",1
v0.15.1,TODO: should we also train a new model_y under any circumstances when warm_start is True?,1
v0.15.1,"don't train a model, but suggest workaround since there are enough instances of least",1
v0.15.1,TODO: enrich outcome logic for multi-class classification when that is supported,1
v0.15.1,TODO: Note that there's no column metadata for the sample number - should there be?,1
v0.15.1,TODO: it seems like it would be better to just return the tree itself rather than plot it;,1
v0.15.1,TODO: it seems like it would be better to just return the tree itself rather than plot it;,1
v0.15.1,TODO: conisder working around relying on sklearn implementation details,1
v0.15.1,TODO: consider working around relying on sklearn implementation details,1
v0.15.1,"TODO: Add other types of covariance estimation (e.g. Newey-West (HAC), HC2, HC3)",1
v0.15.1,TODO: consider working around relying on sklearn implementation details,1
v0.15.1,TODO: Check performance,1
v0.15.1,TODO: ideally the below private attribute logic should be in .fit but is needed in init,1
v0.15.1,should refactor later,1
v0.15.1,Need to redefine fit here for auto inference to work due to a quirk in how,1
v0.15.0,TODO: enable type aliases,1
v0.15.0,-- Options for todo extension ----------------------------------------------,1
v0.15.0,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v0.15.0,TODO. Deal with multi-class instrument,1
v0.15.0,TODO. Deal with multi-class instrument,1
v0.15.0,TODO. The solution below is not really a valid cross-fitting,1
v0.15.0,"HACK: DRIV doesn't expect a treatment dimension, so pretend we got a vector even if we really had a one-column array",1
v0.15.0,"Once multiple treatments are supported, we'll need to fix this",1
v0.15.0,TODO. Deal with multi-class instrument/treatment,1
v0.15.0,TODO: any way to avoid creating a copy if the array was already dense?,1
v0.15.0,TODO: might be faster to break into connected components first,1
v0.15.0,TODO: Consider investigating other performance ideas for these cases,1
v0.15.0,TODO: would using einsum's paths to optimize the order of merging help?,1
v0.15.0,HACK: We're relying on some of sklearn's non-public classes which are not completely stable.,1
v0.15.0,"HACK: it's not optimal to use a regex like this, but the base class's node_to_str doesn't expose any",1
v0.15.0,TODO. Create our own color pallete for multiple treatments. The one below is for binary treatments.,1
v0.15.0,"TODO: what if input is sparse? - there's no equivalent to einsum,",1
v0.15.0,TODO Share some logic with non-discrete version,1
v0.15.0,"TODO: This could be extended to also work with our sparse and 2SLS estimators,",1
v0.15.0,TODO: This seems hacky; is there a better abstraction to maintain these?,1
v0.15.0,HACK: sklearn 1.3 enforces that the input to plot_tree is a DecisionTreeClassifier or DecisionTreeRegressor,1
v0.15.0,This is a hack to get around that restriction by declaring that PolicyTree inherits from DecisionTreeClassifier,1
v0.15.0,TODO: support freq_weight and sample_var in debiased lasso,1
v0.15.0,TODO: support freq_weight and sample_var in debiased lasso,1
v0.15.0,"TODO: consider whether we need more care around stateful featurizers,",1
v0.15.0,"TODO: consider whether we need more care around stateful featurizers,",1
v0.15.0,TODO: Add a __dir__ implementation?,1
v0.15.0,TODO: studentized bootstrap? this would be more accurate in most cases but can we avoid,1
v0.15.0,TODO: support freq_weight and sample_var,1
v0.15.0,TODO: update docs,1
v0.15.0,Doesn't work with CNTK backend as of 2018-07-17 - see https://github.com/keras-team/keras/issues/10715,1
v0.15.0,For some reason this doesn't work at all when run against the CNTK backend...,1
v0.15.0,TODO: test that the estimated effect is usually within the bounds,1
v0.15.0,TODO: test that the estimated effect is usually within the bounds,1
v0.15.0,TODO: set up proper flag for this,1
v0.15.0,TODO: test something rather than just print...,1
v0.15.0,TODO: this tests that we can run the method; how do we test that the results are reasonable?,1
v0.15.0,TODO: serializing/deserializing for every combination -- is this necessary?,1
v0.15.0,does not work well with parallelism.,1
v0.15.0,does not work well with parallelism.,1
v0.15.0,"fourth column: 5 ones, also not enough but barely works even with forest heterogeneity",1
v0.15.0,TODO: we don't recover the correct values with enough accuracy to enable this assertion,1
v0.15.0,is there a different way to verify that we are learning the correct coefficients?,1
v0.15.0,"TODO There is a matrix dimension mismatch between multiple outcome and single outcome, should solve that",1
v0.15.0,"TODO: make sure that the public API consistently uses ""T"" instead of ""P"" for the treatment",1
v0.15.0,TODO: does the numeric stability actually make any difference?,1
v0.15.0,"CNTK backend can't randomize across batches and doesn't implement cumsum (at least as of June 2018,",1
v0.15.0,TODO: is there a more robust way to do this?,1
v0.15.0,TODO: do we need to give the user more control over other arguments to fit?,1
v0.15.0,TODO: do we need to give the user more control over other arguments to fit?,1
v0.15.0,"TODO: it seems like we need to sum over the batch because we can only apply gradient to a scalar,",1
v0.15.0,TODO: any way to get this to work on batches of arbitrary size?,1
v0.15.0,TODO: prel_model_effect could allow sample_var and freq_weight?,1
v0.15.0,TODO: support freq_weight and sample_var in debiased lasso,1
v0.15.0,TODO: do correct adjustment for sample_var,1
