Version,Commit Message,SATD
v3.5.1,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.5.1,hack for python2/3 compatibility,1
v3.5.1,hack for python2/3 compatibility,1
v3.5.1,quite high. TODO: We can add this (skipping examples) as an option,1
v3.5.1,TODO: fix for pytorch 0.3,1
v3.5.1,TODO: context gate should be employed,1
v3.5.1,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.5.1,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.5.1,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.5.1,TODO: Find a better way to check for sparse gradients.,1
v3.5.1,TODO: needs to be added as inference opt,1
v3.5.1,this is hack: if the special separator ｟newline｠is returned because of the,1
v3.5.1,ugly patch because in_feat and out_feat are reversed in WQLinear_GEMM,1
v3.5.1,TODO: maybe add dynamic part,1
v3.5.0,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.5.0,hack for python2/3 compatibility,1
v3.5.0,hack for python2/3 compatibility,1
v3.5.0,quite high. TODO: We can add this (skipping examples) as an option,1
v3.5.0,TODO: fix for pytorch 0.3,1
v3.5.0,TODO: context gate should be employed,1
v3.5.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.5.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.5.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.5.0,TODO: Find a better way to check for sparse gradients.,1
v3.5.0,TODO: needs to be added as inference opt,1
v3.5.0,this is hack: if the special separator ｟newline｠is returned because of the,1
v3.5.0,ugly patch because in_feat and out_feat are reversed in WQLinear_GEMM,1
v3.5.0,TODO: maybe add dynamic part,1
v3.4.3,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.4.3,hack for python2/3 compatibility,1
v3.4.3,hack for python2/3 compatibility,1
v3.4.3,quite high. TODO: We can add this (skipping examples) as an option,1
v3.4.3,TODO: fix for pytorch 0.3,1
v3.4.3,TODO: context gate should be employed,1
v3.4.3,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.4.3,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.4.3,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.4.3,TODO: Find a better way to check for sparse gradients.,1
v3.4.3,TODO: needs to be added as inference opt,1
v3.4.3,this is hack: if the special separator ｟newline｠is returned because of the,1
v3.4.3,TODO: maybe add dynamic part,1
v3.4.2,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.4.2,hack for python2/3 compatibility,1
v3.4.2,hack for python2/3 compatibility,1
v3.4.2,quite high. TODO: We can add this (skipping examples) as an option,1
v3.4.2,TODO: fix for pytorch 0.3,1
v3.4.2,TODO: context gate should be employed,1
v3.4.2,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.4.2,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.4.2,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.4.2,TODO: Find a better way to check for sparse gradients.,1
v3.4.2,TODO: needs to be added as inference opt,1
v3.4.2,this is hack: if the special separator ｟newline｠is returned because of the,1
v3.4.2,TODO: maybe add dynamic part,1
v3.4.1,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.4.1,hack for python2/3 compatibility,1
v3.4.1,hack for python2/3 compatibility,1
v3.4.1,quite high. TODO: We can add this (skipping examples) as an option,1
v3.4.1,TODO: fix for pytorch 0.3,1
v3.4.1,TODO: context gate should be employed,1
v3.4.1,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.4.1,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.4.1,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.4.1,TODO: Find a better way to check for sparse gradients.,1
v3.4.1,TODO: needs to be added as inference opt,1
v3.4.1,this is hack: if the special separator ｟newline｠is returned because of the,1
v3.4.1,TODO: maybe add dynamic part,1
v3.4.0,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.4.0,hack for python2/3 compatibility,1
v3.4.0,hack for python2/3 compatibility,1
v3.4.0,quite high. TODO: We can add this (skipping examples) as an option,1
v3.4.0,TODO: fix for pytorch 0.3,1
v3.4.0,TODO: context gate should be employed,1
v3.4.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.4.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.4.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.4.0,TODO: Find a better way to check for sparse gradients.,1
v3.4.0,TODO: needs to be added as inference opt,1
v3.4.0,this is hack: if the special separator ｟newline｠is returned because of the,1
v3.4.0,TODO: maybe add dynamic part,1
v3.3.0,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.3.0,hack for python2/3 compatibility,1
v3.3.0,hack for python2/3 compatibility,1
v3.3.0,TODO: fix for pytorch 0.3,1
v3.3.0,TODO: context gate should be employed,1
v3.3.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.3.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.3.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.3.0,TODO: Find a better way to check for sparse gradients.,1
v3.3.0,TODO: needs to be added as inference opt,1
v3.3.0,this is hack: if the special separator ｟newline｠is returned because of the,1
v3.3.0,TODO: maybe add dynamic part,1
v3.2.0,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.2.0,hack for python2/3 compatibility,1
v3.2.0,hack for python2/3 compatibility,1
v3.2.0,TODO: fix for pytorch 0.3,1
v3.2.0,TODO: context gate should be employed,1
v3.2.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.2.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.2.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.2.0,TODO: Find a better way to check for sparse gradients.,1
v3.2.0,TODO: needs to be added as inference opt,1
v3.2.0,this is hack: if the special separator ｟newline｠is returned because of the,1
v3.2.0,TODO: maybe add dynamic part,1
v3.1.3,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.1.3,hack for python2/3 compatibility,1
v3.1.3,hack for python2/3 compatibility,1
v3.1.3,TODO: fix for pytorch 0.3,1
v3.1.3,TODO: context gate should be employed,1
v3.1.3,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.3,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.3,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.3,TODO: Find a better way to check for sparse gradients.,1
v3.1.3,TODO: needs to be added as inference opt,1
v3.1.3,TODO: maybe add dynamic part,1
v3.1.2,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.1.2,hack for python2/3 compatibility,1
v3.1.2,hack for python2/3 compatibility,1
v3.1.2,TODO: fix for pytorch 0.3,1
v3.1.2,TODO: context gate should be employed,1
v3.1.2,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.2,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.2,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.2,TODO: Find a better way to check for sparse gradients.,1
v3.1.2,TODO: needs to be added as inference opt,1
v3.1.2,TODO: maybe add dynamic part,1
v3.1.1,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.1.1,hack for python2/3 compatibility,1
v3.1.1,hack for python2/3 compatibility,1
v3.1.1,TODO: fix for pytorch 0.3,1
v3.1.1,TODO: context gate should be employed,1
v3.1.1,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.1,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.1,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.1,TODO: Find a better way to check for sparse gradients.,1
v3.1.1,TODO: needs to be added as inference opt,1
v3.1.1,TODO: maybe add dynamic part,1
v3.1.0,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.1.0,hack for python2/3 compatibility,1
v3.1.0,hack for python2/3 compatibility,1
v3.1.0,TODO: fix for pytorch 0.3,1
v3.1.0,TODO: context gate should be employed,1
v3.1.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.0,TODO change the way attns is returned dict => list or tuple (onnx),1
v3.1.0,TODO: Find a better way to check for sparse gradients.,1
v3.1.0,TODO: needs to be added as inference opt,1
v3.1.0,TODO: maybe add dynamic part,1
v3.0.4,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v3.0.4,hack for python2/3 compatibility,1
