Version,Commit Message,SATD
v0.10.1,hack to make name substitution: we directly use _name,1
v0.10.1,hack to make name substitution: we directly use _name,1
v0.10.1,TODO: add docstrings,1
v0.10.1,TODO: add docstring for wrapped function,1
v0.10.1,ToDo: we're not able to compare lists directly in Python 3 because of,1
v0.10.1,ToDo: we're not able to compare lists directly in Python 3 because of,1
v0.10.1,some dirty hacks for mocking missing *_pb2.py files,1
v0.10.1,here!  cpplint_unittest.py should tell you if you forget to do this.,1
v0.10.1,Replacement macros for CHECK/DCHECK/EXPECT_TRUE/EXPECT_FALSE,1
v0.10.1,There are three ways we might decide not to print an error message:,1
v0.10.1,"TODO(unknown): if delimiter is not None here, we might want to",1
v0.10.1,get rid of /* ... */,1
v0.10.1,TODO(unknown): We always want to check end of namespace comments,1
v0.10.1,"TODO(unknown): unexpected #else, issue warning?",1
v0.10.1,"TODO(unknown): unexpected #endif, issue warning?",1
v0.10.1,"TODO(unknown): Update() is too long, but we will refactor later.",1
v0.10.1,"TODO(unknown): Could it be expanded safely to arbitrary references,",1
v0.10.1,TODO(unknown): Space after an operator function seem to be a common,1
v0.10.1,"TODO(unknown): Don't complain if line before blank line, and line after,",1
v0.10.1,TODO(unknown): clarify if 'if (1) { return 1;}' is requires one more,1
v0.10.1,TODO(unknown): currently we don't check for rvalue references,1
v0.10.1,google code and would have been easier to implement.  This is because,1
v0.10.1,"the redundant semicolon, output warning here.",1
v0.10.1,it provides a way to workaround this warning for people who use,1
v0.10.1,TODO(unknown): remove this once cpplint has better support for,1
v0.10.1,TODO(unknown): Audit cpplint.py to see what places could be profitably,1
v0.10.1,TODO(unknown): check that 1-arg constructors are explicit.,1
v0.10.1,TODO(unknown): check that classes declare or disable copy/assign,1
v0.10.1,TODO(unknown): catch out-of-line unary operator&:,1
v0.10.1,TODO(unknown): Catch the following case. Need to change the calling,1
v0.10.1,This is dangerous because the C++ language does not guarantee that,1
v0.10.1,TODO(unknown): Doesn't account for 'catch(Exception& e)' [rare].,1
v0.10.1,Try a better error message when the & is bound to something,1
v0.10.1,TODO(unknown): Do a better job of finding .h files so we are confident that,1
v0.10.1,TODO(unknown): doesn't work if there are virtual functions with,1
v0.10.1,"This is used to hack around the mixin/inheritance of MockAnything, which",1
v0.10.1,TODO(amauryfa): Fix the differences with MessageFactory.,1
v0.10.1,"TODO(amauryfa): This pool could be constructed from Python code, when we",1
v0.10.1,TODO(jieluo): Should add a way that users can register the type resolver,1
v0.10.1,TODO(haberman): refactor and optimize if this becomes an issue.,1
v0.10.1,TODO(dbarnett): Migrate violators to textformat_tokenizer.,1
v0.10.1,PY3 hack: make Ord work for str and bytes:,1
v0.10.1,"TODO(robinson): We should just make these methods all ""pure-virtual"" and move",1
v0.10.1,TODO(robinson): Document these fields and methods.,1
v0.10.1,TODO(robinson): MergeFromString() should probably return None and be,1
v0.10.1,TODO(robinson): Decide whether we like these better,1
v0.10.1,TODO(robinson): Be sure to document (and test) exactly,1
v0.10.1,TODO(falk): Add function to calculate full_name instead of having it in,1
v0.10.1,"TODO(robinson): We should have aggressive checking here,",1
v0.10.1,TODO(robinson): Find a way to eliminate this repetition.,1
v0.10.1,TODO(robinson): Find a way to eliminate this repetition.,1
v0.10.1,TODO(robinson): Find a way to eliminate this repetition.,1
v0.10.1,TODO(amauryfa): use the pool passed as argument. This will work only,1
v0.10.1,"Else type_name references a non-local type, which isn't implemented",1
v0.10.1,A previous version had a bug where this would raise an exception when,1
v0.10.1,TODO(robinson): Test all other scalar field types.,1
v0.10.1,TODO(robinson): Test all other scalar field types.,1
v0.10.1,TODO(anuraag): Implement deepcopy for repeated composite / extension dict,1
v0.10.1,TODO(xiaofeng): This test fails with cpp implemetnation in the call,1
v0.10.1,TODO(xiaofeng): Enable this test after cl/55530659 is submitted.,1
v0.10.1,TODO(rocking): enable this test after the proto descriptor change is,1
v0.10.1,"TODO(robinson): Helpers for verbose, common checks like seeing if a",1
v0.10.1,"TODO(robinson): Escape Python keywords (e.g., yield), and test this support.",1
v0.10.1,TODO(kenton):  Remove this method entirely if/when everyone agrees with my,1
v0.10.1,TODO(protobuf-team): This may be broken since there may not be,1
v0.10.1,TODO(protobuf-team): This may be broken since there may not be,1
v0.10.1,TODO(robinson): Remove duplication with similar method,1
v0.10.1,TODO(robinson): This probably needs to be thread-safe(?),1
v0.10.1,TODO(amauryfa): Don't use the factory of generated messages.,1
v0.10.1,TODO(haberman): For now we just strip the hostname.  Better logic will be,1
