Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,Code,Defect,Design,Documentation,M&T,Requirement,SATD
deepchem,0.0.1,2016-01-29,0,1,1,0,0,0,0,1,0,1,4,31,0,6,1,6,1,17,31
deepchem,0.0.2,2016-01-30,0,0,1,1,0,0,0,0,1,1,4,31,0,6,1,6,1,17,31
deepchem,0.0.3,2016-01-30,0,0,1,1,0,0,0,0,1,1,4,31,0,6,1,6,1,17,31
deepchem,0.0.4,2016-01-30,0,0,1,1,0,0,0,0,1,1,4,31,0,6,1,6,1,17,31
deepchem,1.1.0,2017-05-04,0,0,1,1,0,0,0,1,1,1,5,124,11,13,4,28,7,61,124
deepchem,1.2.0,2017-07-18,0,0,1,0,1,0,0,0,1,1,4,124,11,13,4,28,7,61,124
deepchem,1.3.0,2017-10-20,0,1,1,0,0,0,1,1,0,1,5,128,11,16,4,28,8,61,128
deepchem,1.3.1,2017-11-05,0,0,1,1,1,0,0,1,1,1,6,133,12,18,3,26,8,66,133
deepchem,2.0.0,2018-03-03,0,0,1,1,1,0,0,1,1,1,6,129,12,16,3,26,7,65,129
deepchem,2.1.0,2018-07-20,0,0,1,1,0,0,0,0,1,1,4,131,11,17,4,25,8,66,131
deepchem,2.2.0,2019-03-28,0,0,1,1,0,0,0,1,0,1,4,143,13,18,5,27,10,70,143
deepchem,2.3.0,2019-10-11,0,0,1,1,1,1,0,0,1,1,6,146,13,18,5,27,10,73,146
deepchem,2.4.0,2021-01-13,0,0,1,0,0,0,0,0,0,1,2,124,8,16,7,21,6,66,124
deepchem,2.5.0,2021-03-18,0,0,1,1,1,0,0,0,1,1,5,112,8,12,7,20,5,60,112
deepchem,2.6.0,2022-01-11,0,1,1,0,0,0,1,1,0,1,5,112,8,12,7,19,4,62,112
deepchem,2.6.1,2022-01-18,0,0,1,1,1,0,0,0,1,1,5,112,8,12,7,19,4,62,112
deepchem,2.7.0,2022-11-29,0,1,1,0,0,0,0,1,0,1,4,123,8,14,8,19,5,69,123
deepchem,2.7.1,2022-12-01,0,1,1,1,0,0,0,0,1,1,5,123,8,14,8,19,5,69,123
deepchem,2.8.0.pre,2024-04-02,0,1,1,0,0,0,1,1,0,1,5,139,8,16,11,19,14,71,139
