Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,Code,Defect,Design,M&T,Requirement,SATD
dm_control,1.0.0,2022-04-13,0,1,0,0,0,0,1,1,0,1,4,20,1,6,3,3,7,20
dm_control,1.0.1,2022-04-13,0,1,0,0,0,0,1,1,0,1,4,20,1,6,3,3,7,20
dm_control,1.0.2,2022-04-13,0,1,0,0,0,0,1,1,0,1,4,20,1,6,3,3,7,20
dm_control,1.0.3,2022-05-23,0,1,1,0,0,0,1,1,0,1,5,20,1,6,3,3,7,20
dm_control,1.0.3.post1,2022-05-23,0,1,1,0,0,0,1,1,0,1,5,20,1,6,3,3,7,20
dm_control,1.0.4,2022-07-18,0,1,1,0,0,0,1,1,0,1,5,20,1,6,3,3,7,20
dm_control,1.0.5,2022-08-04,0,1,1,0,0,0,1,1,0,1,5,20,1,6,3,3,7,20
dm_control,1.0.6,2022-09-07,0,1,1,0,0,0,1,1,0,1,5,20,1,6,3,3,7,20
dm_control,1.0.7,2022-09-07,0,1,1,0,0,0,1,1,0,1,5,20,1,6,3,3,7,20
dm_control,1.0.8,2022-10-18,0,1,1,0,0,0,1,1,0,1,5,21,2,6,3,3,7,21
dm_control,1.0.9,2022-12-09,1,1,1,1,0,0,1,1,0,1,7,21,2,6,3,3,7,21
dm_control,1.0.10,2023-02-07,0,1,1,0,0,0,1,1,0,1,5,22,2,6,3,3,8,22
dm_control,1.0.11,2023-03-22,0,1,1,0,0,0,1,1,0,1,5,22,2,6,3,3,8,22
dm_control,1.0.12,2023-04-20,0,1,1,1,0,0,1,1,0,1,6,22,2,6,3,3,8,22
dm_control,1.0.13,2023-06-20,0,1,1,0,0,0,1,1,0,1,5,22,2,6,3,3,8,22
dm_control,1.0.14,2023-07-20,0,1,1,0,0,0,1,1,0,1,5,22,2,6,3,3,8,22
dm_control,1.0.15,2023-10-18,0,1,1,0,0,0,1,1,0,1,5,22,2,6,3,3,8,22
dm_control,1.0.16,2023-12-20,0,1,1,0,0,0,1,1,0,1,5,21,2,6,3,3,7,21
dm_control,1.0.17,2024-03-29,0,1,1,0,0,0,1,1,0,1,5,22,2,6,3,3,8,22
dm_control,1.0.18,2024-04-12,0,1,1,0,0,0,1,1,0,1,5,22,2,6,3,3,8,22
dm_control,1.0.19,2024-05-08,0,1,1,0,0,0,1,1,0,1,5,22,2,6,3,3,8,22
dm_control,1.0.20,2024-06-04,0,1,1,0,0,0,1,1,0,1,5,22,2,6,3,3,8,22
dm_control,1.0.21,2024-07-29,0,1,1,0,0,0,1,1,0,1,5,22,2,6,3,3,8,22
dm_control,1.0.22,2024-08-07,0,1,1,0,0,0,1,1,0,1,5,22,2,6,3,3,8,22
dm_control,1.0.23,2024-10-04,0,1,1,0,0,0,1,1,0,1,5,22,2,6,3,3,8,22
dm_control,1.0.24,2024-10-23,0,1,1,0,0,0,1,1,0,1,5,22,2,6,3,3,8,22
dm_control,1.0.25,2024-11-05,0,1,1,0,0,0,1,1,0,1,5,22,2,6,3,3,8,22
