Version,Commit Message,SATD
v0.6.10,TODO: begin_delete can delete on server but fail,1
v0.6.10,TODO(nopdive): Review how seq_num (integrity) are done with measure outcomes.,1
v0.6.10,TODO: include support for Azure passwordless credentials:,1
v0.6.10,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
v0.6.10,TODO: Consider separation of concerns for each field.,1
v0.6.10,TODO: Needs further discussion at design-level.,1
v0.6.10,TODO: Investigate why this doesn't work in DevOps environment.,1
v0.6.10,TODO: Harden these tests later to check content from data method.,1
v0.6.10,TODO: Turn this back on after TreeSHAP works on numpy 2.0,1
v0.6.10,TODO: Turn this back on after SHAP works on numpy 2.0,1
v0.6.10,elif explainer_class == PermutationImportance:  # TODO should true labels be passed in the constructor here?,1
v0.6.10,NOTE: We know this environment is going to use Dash.,1
v0.6.10,TODO: Re-enable on skoperules working with latest scikit learn.,1
v0.6.10,Caution: can fail with extremely low probability. TODO: Harsha calculate this failure prob.,1
v0.6.10,TODO PK add a test for Regression with interactions,1
v0.6.10,TODO PK add a test with a real regression dataset,1
v0.6.10,TODO PK add a test with more than 1 multiclass interaction,1
v0.6.10,"hack the EBM into being a 2-class OVR, which is not legal, but will work",1
v0.6.10,TODO: expand this test to use the other feature types available,1
v0.6.10,TODO: whittle these down to the minimum,1
v0.6.10,"test fails as 1.0 != ""1.0"", maybe test should be fixed upstream?",1
v0.6.10,TODO: improve this test by checking the merged ebms for validity.,1
v0.6.10,TODO: write this test,1
v0.6.10,TODO: write this test,1
v0.6.10,"TODO For multiclass this is currently consistent with interpret, but might be changed",1
v0.6.10,TODO: stop this call from writing to stdout or stderr,1
v0.6.10,NOTE: Not implemented yet,1
v0.6.10,"TODO: Value 1 doesn't make sense for this bias, consider refactoring values to take None.",1
v0.6.10,"TODO: app is a global variable, but doesn't seem to be read anywhere. It",1
v0.6.10,"meant to be public. We write it in this submodule, but it looks like that",1
v0.6.10,TODO: Remove this if threshold lines are never used.,1
v0.6.10,TODO: Clean this up after validation.,1
v0.6.10,TODO: Remove this completely once performance graphs are hardened.,1
v0.6.10,TODO: Remove from code coverage until skope rules is updated upstream to work with latest scikit-learn.,1
v0.6.10,NOTE: Workaround for tables not rendering,1
v0.6.10,TODO: Check if this is needed with the new tables.,1
v0.6.10,TODO: Consider reducing complexity of this function.,1
v0.6.10,NOTE: Workaround for tables not rendering,1
v0.6.10,NOTE: Fixes concurrency bug for panes. Find better solution.,1
v0.6.10,TODO: Revisit when we support custom tabs from users.,1
v0.6.10,# TODO Can the base vis be a util?,1
v0.6.10,TODO: can we get rid of this column of X?,1
v0.6.10,TODO: we can probably extract the data in pdps_ to be less opaque,1
v0.6.10,TODO: move this to a more general location where other blackbox methods can access it,1
v0.6.10,TODO: see if we can clean up these datatypes to simpler and easier to understand,1
v0.6.10,TODO: Make kwargs explicit.,1
v0.6.10,TODO: a few ways to improve this function:,1
v0.6.10,"TODO PK: check with Harsha, but we can probably alternate the taking of nibbles from both ends",1
v0.6.10,"TODO: for now weights of zero are illegal, but in the future accept them",1
v0.6.10,TODO: should preprocessors handle 0 samples?,1
v0.6.10,TODO: check for names/indexes in the dict that are not,1
v0.6.10,TODO: do some sanity checking on the shape of privacy_bounds,1
v0.6.10,"TODO: instead of passing in ""max_bins - 1"" should we be passing in ""max_bins - 2""?",1
v0.6.10,TODO: clean up this hack that uses strings of the indexes,1
v0.6.10,"TODO: instead of passing in ""max_bins - 1"" should we be passing in ""max_bins - 2""?",1
v0.6.10,TODO: Add unit tests for internal EBM interfacing,1
v0.6.10,"TODO: for speed and efficiency, we should instead accept in the bin_indexes array",1
v0.6.10,"TODO: if the library does not exists, build it using build.sh or build.bat",1
v0.6.10,TODO: Needs test.,1
v0.6.10,BIG TODO LIST:,1
v0.6.10,FUTURE TODOS in our callers and in JSON:,1
v0.6.10,is probably better than the alternative of getting different categorical strings in different programming,1
v0.6.10,"a bar for 0 and annother bar for 1, which implies nominal, but this has a problem if the",1
v0.6.10,TODO: add special case handling if there is only 1 sample to make that faster,1
v0.6.10,TODO : should this be np.float64 with a check for big integers,1
v0.6.10,TODO: handle ints here too which need to be checked if they are larger than the safe int max value,1
v0.6.10,TODO: converting object types first to pd.CatigoricalDType is somewhat faster than our code here which converts,1
v0.6.10,TODO: does this work if there are spaces or bools?,1
v0.6.10,TODO: we need to move this re-ordering functionality to EBMPreprocessor.fit(...) and return a,1
v0.6.10,np.unicode_ array here.  There are two issues with keeping it here,1
v0.6.10,"but it's a bit more complicated.  Also, we need to think through how we handle categoricals from",1
v0.6.10,"TODO: add a callback function option here that allows the caller to sort, remove, combine",1
v0.6.10,TODO: add special case handling if there is only 1 sample to make that faster,1
v0.6.10,TODO: we could instead handle this by re-ordering the pandas pd_categories.,1
v0.6.10,"TODO: currently we are using the CategoricalDtype order as the order,",1
v0.6.10,"TODO: instead of throwing, we could match the ordinal values with the pandas pd_categories and",1
v0.6.10,TODO: we could instead capture the misbehaving,1
v0.6.10,TODO: implement pd.SparseDtype,1
v0.6.10,TODO: implement pd.StringDtype both the numpy and arrow versions,1
v0.6.10,TODO: modify our callers the EBMPreprocessor and unify_data and the ebm.fit and predict functions,1
v0.6.10,TODO: instead of returning both categories (a dictionary) and uniques (a numpy array) perhaps we can just return,1
v0.6.10,"TODO: we can probably eliminate the ""bad"" return value and maybe replace it with either nan or a bool array",1
v0.6.10,TODO: in the future special case this to make single samples faster at predict time,1
v0.6.10,TODO: I'm not sure that simply checking X.flags.c_contiguous handles all the situations that we'd want,1
v0.6.10,"TODO: create a C++ transposer that takes the stride length between items, so we can pass in 1 for bytes",1
