Project,CommunitySmell,SATD_Type,Correlation,P_Value
incubator-mxnet,BCE,Documentation,0.39,0.033
incubator-mxnet,BCE,M&T,0.382,0.0373
incubator-mxnet,BCE,Requirement,0.583,0.0007
incubator-mxnet,OS,M&T,0.374,0.0418
incubator-mxnet,OS,Requirement,0.389,0.0336
incubator-mxnet,TF,Documentation,0.461,0.0103
incubator-mxnet,TF,Requirement,0.421,0.0205
incubator-mxnet,TC,Documentation,0.408,0.0253
tesseract,OSE,Code,0.351,0.049
tesseract,OSE,Requirement,0.36,0.0428
tesseract,BCE,Code,0.62,0.0002
tesseract,BCE,Defect,0.411,0.0194
tesseract,BCE,Design,0.507,0.0031
tesseract,BCE,Documentation,0.632,0.0001
tesseract,BCE,Requirement,0.472,0.0064
tesseract,PDE,Code,0.653,0.0001
tesseract,PDE,Defect,0.498,0.0037
tesseract,PDE,Design,0.571,0.0006
tesseract,PDE,Documentation,0.482,0.0052
tesseract,PDE,Requirement,0.401,0.023
tesseract,RS,Code,0.725,0.0
tesseract,RS,Defect,0.44,0.0118
tesseract,RS,Design,0.606,0.0002
tesseract,RS,Documentation,0.652,0.0001
tesseract,RS,Requirement,0.594,0.0003
tesseract,TC,Code,0.7,0.0
tesseract,TC,Defect,0.435,0.0129
tesseract,TC,Design,0.536,0.0016
tesseract,TC,Documentation,0.695,0.0
tesseract,TC,Requirement,0.525,0.0021
kornia,OSE,Code,0.33,0.0376
kornia,OSE,Documentation,0.372,0.0179
kornia,OSE,Requirement,0.326,0.0401
kornia,OS,Code,0.437,0.0048
kornia,OS,Defect,0.444,0.0041
kornia,OS,Design,0.383,0.0148
kornia,OS,Documentation,0.437,0.0048
kornia,OS,M&T,0.421,0.0069
kornia,OS,Requirement,0.441,0.0044
mne-python,OSE,Code,0.381,0.0041
mne-python,OSE,Documentation,0.305,0.0233
mne-python,OSE,Requirement,0.355,0.0078
mne-python,BCE,Defect,0.454,0.0005
mne-python,BCE,Design,0.488,0.0002
mne-python,BCE,M&T,0.449,0.0006
mne-python,BCE,Requirement,0.271,0.0453
mne-python,RS,Code,0.376,0.0046
mne-python,RS,Defect,0.513,0.0001
mne-python,RS,Design,0.511,0.0001
mne-python,RS,Documentation,0.317,0.0185
mne-python,RS,M&T,0.534,0.0
mne-python,RS,Requirement,0.481,0.0002
mne-python,TF,Defect,0.289,0.0325
mne-python,TF,Design,0.369,0.0056
mne-python,TF,M&T,0.332,0.0134
OpenNMT-py,BCE,M&T,0.329,0.021
OpenNMT-py,OS,Design,0.304,0.0335
OpenNMT-py,TF,M&T,0.296,0.0391
shap,SV,Defect,0.317,0.0182
