Project,CommunitySmell,SATD_Type,Correlation,P_Value
POT,OSE,Defect,0.499,0.0069
POT,OSE,Design,0.559,0.002
POT,OSE,Requirement,0.637,0.0003
POT,SV,Defect,0.414,0.0285
POT,SV,Design,0.442,0.0186
POT,SV,Requirement,0.456,0.0147
POT,SD,Defect,0.39,0.0402
POT,SD,Requirement,0.393,0.0387
POT,RS,Defect,0.433,0.0212
POT,RS,Design,0.505,0.0061
POT,RS,Requirement,0.51,0.0056
dm_control,PDE,Code,0.5,0.0079
dm_control,PDE,Requirement,0.395,0.0413
EconML,SV,Code,0.571,0.0008
EconML,SV,Design,0.558,0.0011
EconML,SV,Documentation,0.523,0.0025
EconML,SV,M&T,0.431,0.0155
interpret,SV,Code,0.438,0.0015
interpret,SV,Defect,0.369,0.0083
interpret,SV,Documentation,0.354,0.0115
interpret,SV,M&T,0.281,0.0481
interpret,SV,Requirement,0.324,0.0215
PyKEEN,SV,Code,0.517,0.0197
PyKEEN,SV,Defect,0.451,0.046
PyKEEN,SV,Design,0.534,0.0153
PyKEEN,SV,Documentation,0.56,0.0102
PyKEEN,SV,Requirement,0.559,0.0104
bigartm,OSE,Code,0.876,0.0
bigartm,OSE,Defect,0.84,0.0
bigartm,OSE,Documentation,0.845,0.0
bigartm,OSE,M&T,0.845,0.0
bigartm,BCE,Design,1.0,0.0
bigartm,BCE,Requirement,0.912,0.0
bigartm,SV,Code,0.646,0.0003
bigartm,SV,Defect,0.558,0.0025
bigartm,SV,Documentation,0.682,0.0001
bigartm,SV,M&T,0.7,0.0
bigartm,SD,Code,0.598,0.001
bigartm,SD,Defect,0.466,0.0143
bigartm,SD,Documentation,0.469,0.0136
bigartm,SD,M&T,0.469,0.0137
bigartm,RS,Design,1.0,0.0
bigartm,RS,Requirement,0.912,0.0
bigartm,TF,Design,1.0,0.0
bigartm,TF,Requirement,0.912,0.0
coco-annotator,OSE,Requirement,0.477,0.0138
coco-annotator,RS,Defect,0.463,0.0172
coco-annotator,RS,Requirement,0.433,0.0273

