Version,Commit Message,SATD
v1.9.0,-- Sphinx hacks / overrides ------------------------------------------------,1
v1.9.0,HACK: Stop nosetests running setup() above,1
v1.9.0,HACK: Stop nosetests running setup() above,1
v1.9.0,HACK: Stop nosetests running setup() above,1
v1.9.0,TODO: For contributor names there are three sources of potential truth:,1
v1.9.0,"TODO: These packages are not pip-installable as of 2024/07/17, so we have to",1
v1.9.0,"TODO: mnelab forces PySide6, it can be added to `tools/circleci_dependencies.sh`",1
v1.9.0,TODO: these do not set a valid homepage or documentation page on PyPI,1
v1.9.0,because this module is imported many places (but not always used)!,1
v1.9.0,workaround: plt.close() doesn't spawn close_event on Agg backend,1
v1.9.0,XXX remove first two rows. It is unknown currently if there is a way to,1
v1.9.0,XXX someday we could choose to weight these points by their goodness,1
v1.9.0,there is probably a better algorithm for finding the bad ones...,1
v1.9.0,"XXX: without float() endianness is wrong, not sure why",1
v1.9.0,XXX It would be nice to support non oct source spaces too...,1
v1.9.0,XXX we should compute adjacency for each source space and then,1
v1.9.0,Allow reading empty epochs (ToDo: Maybe not anymore in the future),1
v1.9.0,Allow reading empty epochs (ToDo: Maybe not anymore in the future),1
v1.9.0,XXX this could be made to work on non-preloaded data...,1
v1.9.0,Allow reading empty epochs (ToDo: Maybe not anymore in the future),1
v1.9.0,Eventually this could be refactored in io/tag.py if other functions,1
v1.9.0,Allow reading empty epochs (ToDo: Maybe not anymore in the future),1
v1.9.0,XXX Eventually we could do cross-talk and fine-cal here,1
v1.9.0,XXX this should be float32 probably due to how we save and,1
v1.9.0,Passing 'float32' is a hack workaround for test_maxfilter_get_rank :(,1
v1.9.0,XXX this is too basic for movement compensated data,1
v1.9.0,XXX eventually we should unify how channel types are handled,1
v1.9.0,TODO this should be refactored with mne._freesurfer._get_head_surface,1
v1.9.0,XXX this should be refactored with mne.surface.get_head_surf ...,1
v1.9.0,XXX this function should be moved out of coreg as used elsewhere,1
v1.9.0,"Hack to fix nibabel problems, see",1
v1.9.0,This is a hack but it works because np.diag() behaves nicely,1
v1.9.0,XXX : also handle ref for sEEG and ECoG,1
v1.9.0,hack fix for windows to avoid bincount problems,1
v1.9.0,we could add some better sanity checks here,1
v1.9.0,"XXX eventually we should support filtering based on sphere radius, too,",1
v1.9.0,TODO: add multi-label support,1
v1.9.0,XXX in theory we should set inv['source_cov'] properly.,1
v1.9.0,XXX We should have this but we don't (MNE-C doesn't restrict info):,1
v1.9.0,"This one is pretty bad, and for some reason it's worse on Azure Windows",1
v1.9.0,XXX someday we should refactor this so that you don't have to pass,1
v1.9.0,"TODO someday, eliminate both levels of this nested for-loop and use",1
v1.9.0,"TODO: Deduplicate with _check_one_ch_type, should not be necessary",1
v1.9.0,"XXX: Weird that real_filter happens *before* whitening, which could",1
v1.9.0,make things complex again...?,1
v1.9.0,XXX we need this extra picking step (can't just rely on minimum norm's,1
v1.9.0,TODO: Restore this?,1
v1.9.0,"XXX it's a bug that our rank functions don't treat ""meg""",1
v1.9.0,not used,1
v1.9.0,"XXX: this means (None, None) cannot be specified through command line",1
v1.9.0,XXX this might be wrong?,1
v1.9.0,"XXX this should probably be deprecated because it returns surface Labels,",1
v1.9.0,XXX this also assumes that the first two source spaces are surf without,1
v1.9.0,XXX power normally not used as csd cannot get_data(),1
v1.9.0,"XXX: remove ""raws"" parameter and logic below with MNE version 1.9",1
v1.9.0,XXX this is a bit of a hack. Should probably do this more cleanly at,1
v1.9.0,TODO: eventually we should refactor these to be in,1
v1.9.0,TODO: Make dataframes for other eyelink events (Buttons),1
v1.9.0,"TODO: We should use 'electrodes' to fill this in, and make sure",1
v1.9.0,TODO: Support more than one controlblock and more than one datablock,1
v1.9.0,TODO: Persyst may change its internal date schemas,1
v1.9.0,TODO: utilize state and var_type in code.,1
v1.9.0,"Not sure why we special-handle the "","" character here,",1
v1.9.0,XXX: BUG we cannot parse test.hpts FastSCAN file to create a DigMontage,1
v1.9.0,"XXX this tol is way too high, but it's not clear which is correct",1
v1.9.0,"XXX just the sensor, where is ref (next 3)?",1
v1.9.0,XXX need to check/ensure this,1
v1.9.0,and a way to get the old behavior,1
v1.9.0,TODO: Refactor this reading with the PNS reading in a single function,1
v1.9.0,TODO: Remove once complete deprecation / FutureWarning about events_as_annonations,1
v1.9.0,TODO: These are not guaranteed to exist and could lead to a,1
v1.9.0,"confusing error message, should fix later",1
v1.9.0,TODO: Ignore this warning in all these tests until we deal with this properly,1
v1.9.0,XXX 2016/02/24: fixed bug with normal computation that used,1
v1.9.0,XXX: Next test would fail because c-tools assign the fiducials from,1
v1.9.0,XXX: remove in version 1.9,1
v1.9.0,XXX: remove in version 1.9,1
v1.9.0,"hack these, others (kind, type) should be correct",1
v1.9.0,TODO: Make this more efficient by only indexing above what we need.,1
v1.9.0,TODO: this should really be outsourced to a dedicated module like arrow or babel,1
v1.9.0,This is a workaround to provide support for Artinis data.,1
v1.9.0,This is a workaround to provide support for Artinis data.,1
v1.9.0,TODO: trigger some setting checkers that should maybe be in the reader (like,1
v1.9.0,missing: KIT: biggest problem here is that the channels do not have the same,1
v1.9.0,"XXX Eventually we should do some better checks about accuracy, but",1
v1.9.0,XXX possibly some OpenBLAS numerical differences make,1
v1.9.0,"XXX possibly some error in dipy or nibabel (/SciPy), or some boundary",1
