Version,Commit Message,SATD
0.3.1,TODO: coredump,1
0.3.1,"Temporarily disable 'inception_v4'  : [cntk_emit, coreml_emit, keras_emit, pytorch_emit, tensorflow_emit], # TODO mxnet_emit(Small error), caffe_emit(Crash for shape)",1
0.3.1,"Temporarily disable 'xception'      : [coreml_emit, cntk_emit, mxnet_emit, pytorch_emit, tensorflow_emit], #  TODO: Caffe(Crash) keras_emit(too slow)",1
0.3.1,TODO,1
0.3.1,TODO,1
0.3.1,TODO,1
0.3.1,self.data_format ? TODO,1
0.3.1,TODO dtype_map,1
0.3.1,TODO,1
0.3.1,TODO,1
0.3.1,Future Module TODO,1
0.3.1,!Alert! TODO,1
0.3.1,TODO - remove style transfer 1D hack,1
0.3.1,"TODO: We need to identify whether this is 4D image data, otherwise we shouldn't change the dimension order",1
0.3.1,TODO: Unbiased,1
0.3.1,TODO: The gamma parameter has to be set (in node.data?) and this should work.,1
0.3.1,TODO: raise error,1
0.3.1,TODO: raise error,1
0.3.1,TODO: Find a better solution for this.,1
0.3.1,TODO,1
0.3.1,TODO,1
0.3.1,TODO: Multiple inputs,1
0.3.1,TODO: Multiple outputs,1
0.3.1,TODO(alemi): Register intermediate endpoints,1
0.3.1,TODO(alemi): register intermediate endpoints,1
0.3.1,TODO(gpapan): Properly support output_stride for the rest of the net.,1
0.3.1,TODO(alemi): register intermediate endpoints,1
0.3.1,"TODO(sguada,arnoegw): Consider adding a parameter global_pool which",1
0.3.1,"TODO: It works with +1, don't know why.",1
0.3.1,TODO: use keras backend instead of tf.,1
0.3.1,TODO: Current it is only for slice,1
0.3.1,TODO:  only for 1D,1
0.3.1,use_bias: TODO,1
0.3.1,need the shape TODO,1
0.3.1,TODO: Handle square,1
0.3.1,"TODO: pytorch, mxnet, keras, cntk",1
0.3.1,TODO: More activation functions,1
0.3.1,Kit TODO : need to search the tf,1
0.3.1,TODO,1
0.3.1,TODO,1
0.3.1,TODO: arguments won't be saved in keras export model,1
0.3.1,Kit: TODO,1
0.3.0,TODO: coredump,1
0.3.0,"Temporarily disable 'inception_v4'  : [cntk_emit, coreml_emit, keras_emit, pytorch_emit, tensorflow_emit], # TODO mxnet_emit(Small error), caffe_emit(Crash for shape)",1
