Version,Commit Message,SATD
v1.11.0,TODO: we should move that to the labeling,1
v1.11.0,TODO: predict_target,1
v1.11.0,fixme: find reason / enforce single-thread,1
v1.11.0,FIXME definitely a type mismatch going on here,1
v1.11.0,FIXME isn't any finite number allowed now?,1
v1.11.0,TODO: look into score_r for inverse relations,1
v1.11.0,TODO: Catch HolE MKL error?,1
v1.11.0,TODO: separation message vs. entity dim?,1
v1.11.0,TODO: Re-use filtering code,1
v1.11.0,"TODO: does this suffice, or do we really need float as datatype?",1
v1.11.0,TODO: this could be shared with the model tests,1
v1.11.0,fixme: CompGCN leads to an autograd runtime error...,1
v1.11.0,TODO: we could move this part into the interaction module itself,1
v1.11.0,TODO: more tests,1
v1.11.0,TODO: check no repetitions (if possible),1
v1.11.0,TODO: Do label smoothing only once,1
v1.11.0,TODO: maybe we can make this more efficient?,1
v1.11.0,TODO: maybe we can make this more efficient?,1
v1.11.0,TODO: method is_inverse?,1
v1.11.0,TODO: inverse of inverse?,1
v1.11.0,"TODO: extend to relation, cf. https://github.com/pykeen/pykeen/pull/728",1
v1.11.0,"TODO: this only works for x ~ N(0, 1), but not for |x|",1
v1.11.0,"note: this is a hack, and should be fixed up-stream by making NodePiece",1
v1.11.0,"batch, TODO: ids?",1
v1.11.0,TODO: variable targets across batches/samples?,1
v1.11.0,TODO: Support partial dataset,1
v1.11.0,TODO: add support for (automatic) slicing,1
v1.11.0,TODO: can we change the dimension order to make this contiguous?,1
v1.11.0,TODO: verify that this is our understanding of complex!,1
v1.11.0,fixme: work-around until nn.Embedding supports complex,1
v1.11.0,fixme: work-around until nn.Embedding supports complex,1
v1.11.0,TODO: Check,1
v1.11.0,TODO: might not be true for all compositions,1
v1.11.0,TODO: This always uses all training triples for message passing,1
v1.11.0,"TODO: can be a combined representations, with appropriate tensor-train combination",1
v1.11.0,TODO: allow to pass them from outside?,1
v1.11.0,TODO: inductiveness; we need to,1
v1.11.0,TODO replace iter_matrix_power and safe_diagonal with torch_ppr functions?,1
v1.11.0,TODO: split file into multiple smaller ones?,1
v1.11.0,TODO: does not seem to be used,1
v1.11.0,"TODO: annotate modelling capabilities? cf., e.g., https://arxiv.org/abs/1902.10197, Table 2",1
v1.11.0,"TODO: annotate properties, e.g., symmetry, and use them for testing?",1
v1.11.0,TODO: annotate complexity?,1
v1.11.0,"TODO: we only allow single-tensor representations here, but could easily generalize",1
v1.11.0,"TODO: implement the unbalanced variant from the paper: f(h, r, t) = (h + r)^T t",1
v1.11.0,TODO: update class docstring,1
v1.11.0,TODO: give this a better name?,1
v1.11.0,TODO: update docstring,1
v1.11.0,TODO: give this a better name?,1
v1.11.0,"TODO: this sign is in the official code, too, but why do we need it?",1
v1.11.0,TODO: expose initialization?,1
v1.11.0,"TODO: we already had this before, as `base`",1
v1.11.0,TODO: vectorization?,1
v1.11.0,TODO: expose num_anchors?,1
v1.11.0,TODO: check if perm is used correctly,1
v1.11.0,TODO: vectorization?,1
v1.11.0,TODO: keep distances?,1
v1.11.0,"TODO: since we save a contiguous array of (num_entities, num_anchors),",1
v1.11.0,"TODO: use graph library, such as igraph, graph-tool, or networkit",1
v1.11.0,TODO: padding for unreachable?,1
v1.11.0,TODO: can we replace this loop with something vectorized?,1
v1.11.0,TODO the float() trick for GPU result stability until the torch_sparse issue is resolved,1
v1.11.0,TODO: should we return the sum of weights?,1
v1.11.0,todo: do we need numpy support?,1
v1.11.0,TODO: re-consider threshold,1
v1.11.0,TODO: can we directly include sklearn's docstring here?,1
v1.11.0,todo: it would make sense to have a separate evaluator which constructs the confusion matrix only once,1
v1.11.0,todo: https://en.wikipedia.org/wiki/Diagnostic_odds_ratio#Confidence_interval,1
v1.11.0,todo: improve doc,1
v1.11.0,todo: read from config instead,1
v1.11.0,TODO vectorize code,1
v1.11.0,TODO: Check if lazy evaluation would make sense,1
v1.11.0,"FIXME currently the implementation does not consider the non-training (i.e., second-last entries)",1
v1.11.0,TODO: Can this happen after pre-filtering?,1
v1.11.0,TODO: what is the support?,1
v1.11.0,TODO: some negative samplers require batches,1
v1.11.0,TODO: is this necessary?,1
v1.11.0,TODO should mode be passed here?,1
v1.11.0,TODO why not call torch.cuda.empty_cache()? or call self._free_graph_and_cache()?,1
v1.11.0,TODO: we may want to separate TrainingCallback from pre-step callbacks in the future,1
v1.11.0,todo: create dataset only once,1
v1.11.0,TODO: this should be num_instances rather than num_triples,1
v1.11.0,TODO: exploit sparsity,1
v1.11.0,TODO: exploit sparsity,1
v1.11.0,TODO?,1
v1.11.0,TODO: Fix this,1
v1.11.0,TODO need a test that this all re-instantiates properly,1
v1.11.0,"TODO: In sLCWA, we still want to calculate validation *metrics* in LCWA",1
v1.11.0,TODO:,1
v1.11.0,TODO: unused?,1
v1.11.0,TODO: maybe move into separate module?,1
v1.11.0,TODO: should we enforce this?,1
v1.11.0,"if inverse triples are used, we only do score_t (TODO: by default; can this be changed?)",1
v1.11.0,todo: maybe we want to have some more keys outside of kwargs for hashing / have more visibility about,1
v1.11.0,"TODO: unique, or max ID + 1?",1
v1.11.0,TODO: extend to relations?,1
v1.11.0,TODO: find a better way to handle this,1
v1.11.0,TODO: it would be better to allow separate batch sizes for entity/relation prediction,1
v1.11.0,"TODO: afaik, dense positive masks are not used on GPU -> we do not need to move the masks around",1
v1.11.0,todo: maybe we can merge this code with the AMO code of the base evaluator?,1
v1.11.0,TODO: maybe we want to collect scores on CPU / add an option?,1
v1.11.0,fixme: the annotation of ClassResolver.__iter__ seems to be broken (X instead of Type[X]),1
v1.11.0,TODO: do not require to compute all scores beforehand,1
v1.11.0,TODO: should we give num_entities in the constructor instead of inferring it every time ranks are processed?,1
v1.11.0,TODO pack/unpack dimensions as default kwargs such that they don't actually need to be used,1
v1.11.0,TODO: update to hint + kwargs,1
v1.11.0,"TODO: support ""broadcasting"" representation regularizers?",1
v1.11.0,TODO: why do we need to empty the cache?,1
v1.11.0,"TODO: this currently compute (batch_size, num_relations) instead,",1
v1.11.0,TODO: Why do we need that? The optimizer takes care of filtering the parameters.,1
v1.11.0,TODO I got lost in all the Representation Modules and shape casting and wrote this ;(,1
v1.11.0,TODO rethink after RGCN update,1
v1.11.0,TODO: other parameters?,1
v1.11.0,TODO: Decomposition kwargs,1
v1.11.0,TODO: what about using the default regularizer?,1
v1.11.0,TODO: move this warning to PseudoTypeNegativeSampler's constructor?,1
v1.11.0,TODO: rename param?,1
v1.11.0,TODO use pathlib here,1
v1.11.0,"TODO: we could have multiple results, if we get access to the raw results (e.g. in the pykeen benchmarking paper)",1
v1.11.0,FIXME this should never happen.,1
v1.11.0,TODO: checkpoint_dict not further used; later loaded again by TrainingLoop.train,1
v1.11.0,TODO: allow empty validation / testing,1
v1.11.0,TODO should training be reset?,1
v1.11.0,TODO should kwargs for loss and regularizer be checked and raised for?,1
v1.11.0,TODO consider implications of duplicates,1
v1.11.0,TODO: use a class-resolver?,1
v1.11.0,TODO what happens if already exists?,1
v1.11.0,TODO incorporate setting of random seed,1
v1.11.0,todo(@cthoyt): proper prefixing?,1
v1.11.0,TODO: Merge with _common?,1
v1.11.0,TODO: Consider merging with other analysis methods,1
v1.11.0,TODO: Consider merging with other analysis methods,1
v1.11.0,TODO: Consider merging with other analysis methods,1
v1.11.0,TODO: maybe merge into analyze / make sub-command,1
v1.11.0,TODO: Make a constant for the names,1
v1.11.0,TODO: use class-resolver normalize?,1
v1.11.0,TODO: use class-resolver normalize?,1
v1.11.0,TODO: support ID-only graphs,1
v1.11.0,TODO: restrict to only using training alignments?,1
v1.11.0,"TODO this fixes the issue for negative samplers, but does not generally address it.",1
v1.11.0,TODO: make it even easier to specify categorical strategies just as lists,1
v1.11.0,"TODO: for some reason, this field is missing in the documentation",1
v1.11.0,TODO: without label to id mapping a model might be pretty use-less,1
v1.11.0,TODO: it would be nice to get a configuration to re-construct the model,1
v1.10.2,fixme: find reason / enforce single-thread,1
