Version,Commit Message,SATD
v0.11.1,// TODO: Remove assoicated lines,1
v0.11.1,@ToDo: Is it necessary to allow equal category names among different creators?,1
v0.11.1,TODO write tests for data,1
v0.11.1,TODO: Fix why using the functions throws an error,1
v0.11.0,// TODO: Remove assoicated lines,1
v0.11.0,@ToDo: Is it necessary to allow equal category names among different creators?,1
v0.11.0,TODO write tests for data,1
v0.11.0,TODO: Fix why using the functions throws an error,1
v0.10.6,TODO: Remove assoicated lines,1
v0.10.6,@ToDo: Is it necessary to allow equal category names among different creators?,1
v0.10.6,TODO write tests for data,1
v0.10.6,TODO: Fix why using the functions throws an error,1
v0.10.5,TODO: Remove assoicated lines,1
v0.10.5,@ToDo: Is it necessary to allow equal category names among different creators?,1
v0.10.5,TODO write tests for data,1
v0.10.5,TODO: Fix why using the functions throws an error,1
v0.10.4,TODO: Remove assoicated lines,1
v0.10.4,@ToDo: Is it necessary to allow equal category names among different creators?,1
v0.10.4,TODO write tests for data,1
v0.10.4,TODO: Fix why using the functions throws an error,1
v0.10.3,TODO: Remove assoicated lines,1
v0.10.3,@ToDo: Is it necessary to allow equal category names among different creators?,1
v0.10.3,TODO write tests for data,1
v0.10.3,TODO: Fix why using the functions throws an error,1
v0.10.2,TODO: Remove assoicated lines,1
v0.10.2,@ToDo: Is it necessary to allow equal category names among different creators?,1
v0.10.2,TODO write tests for data,1
v0.10.2,TODO: Fix why using the functions throws an error,1
v0.10.1,TODO: Remove assoicated lines,1
v0.10.1,@ToDo: Is it necessary to allow equal category names among different creators?,1
v0.10.1,TODO write tests for data,1
v0.10.1,TODO: Fix why using the functions throws an error,1
v0.10.0,TODO: Remove assoicated lines,1
v0.10.0,@ToDo: Is it necessary to allow equal category names among different creators?,1
v0.10.0,TODO write tests for data,1
v0.10.0,TODO: Fix why using the functions throws an error,1
v0.9.0,TODO write tests for data,1
v0.9.0,TODO: Remove assoicated lines,1
v0.9.0,TODO: Fix why using the functions throws an error,1
v0.9.0,@ToDo: Is it necessary to allow equal category names among different creators?,1
v0.8.0,TODO write tests for data,1
v0.8.0,TODO: Remove assoicated lines,1
v0.8.0,TODO: Fix why using the functions throws an error,1
v0.7.2,TODO write tests for data,1
v0.7.2,TODO: Remove assoicated lines,1
v0.7.2,TODO: Fix why using the functions throws an error,1
v0.7.1,TODO write tests for data,1
v0.7.1,TODO: Remove assoicated lines,1
v0.7.0,TODO write tests for data,1
v0.7.0,TODO: Remove assoicated lines,1
v0.6.3,TODO write tests for data,1
v0.6.2,TODO write tests for data,1
v0.6.1,TODO write tests for data,1
v0.6.0,TODO write tests for data,1
v0.5.8,TODO write tests for data,1
v0.5.7,TODO write tests for data,1
v0.5.6,TODO write tests for data,1
v0.5.5,TODO write tests for data,1
v0.5.4,TODO write tests for data,1
v0.5.3,TODO write tests for data,1
v0.5.2,TODO write tests for data,1
v0.5.1,TODO write tests for data,1
v0.5.0,TODO write tests for data,1
