Version,Commit Message,SATD
v0.8.0,TODO: Update to ~2.3e-16 for fp64,1
v0.8.0,TODO: remove this special handling as soon as https://github.com/kornia/kornia/issues/1134 is resolved,1
v0.8.0,TODO: remove this if kornia relies on torch>=1.10,1
v0.8.0,TODO: make this more generic for modules out of kornia.augmentation,1
v0.8.0,TODO(jian): make to work with https://docs.kornia.org,1
v0.8.0,"NOTE: if this didn't work, we can remove the extension itself",1
v0.8.0,"TODO (Jian): probably update this by the latest https://buttons.github.io/, which added dark and light mode to align furo theme.",1
v0.8.0,TODO: review method since it needs `nondet_tol` in cuda sometimes.,1
v0.8.0,TODO: implement for single channel image,1
v0.8.0,TODO: review method since it needs `nondet_tol` in cuda sometimes.,1
v0.8.0,TODO: investigate if we can fix it or report the issue,1
v0.8.0,TODO: FIX order 1 spatial gradient with fp64 on dynamo,1
v0.8.0,TODO: investigate sobel for float64 with dynamo,1
v0.8.0,TODO: FIX op,1
v0.8.0,TODO: Fix the operation to works after dynamo optimize,1
v0.8.0,TODO: update the dexined to be possible to use with dynamo,1
v0.8.0,TODO (joao): explore the reason for the discrepancy between cuda/cpu,1
v0.8.0,TODO: move this to testing,1
v0.8.0,TODO: improve and implement more meaningful smoke tests e.g check for a consistent,1
v0.8.0,TODO: improve and implement more meaningful smoke tests e.g check for a consistent,1
v0.8.0,TODO: improve and implement more meaningful smoke tests e.g check for a consistent,1
v0.8.0,TODO: improve and implement more meaningful smoke tests e.g check for a consistent,1
v0.8.0,TODO: improve and implement more meaningful smoke tests e.g check for a consistent,1
v0.8.0,TODO: improve and implement more meaningful smoke tests e.g check for a consistent,1
v0.8.0,"TODO(jian): crashes with pytorch 1.10, cuda and fp64",1
v0.8.0,TODO: improve me and remove the exception.,1
v0.8.0,TODO same_on_batch tests?,1
v0.8.0,TODO Implement,1
v0.8.0,TODO: improve and implement more meaningful smoke tests e.g check for a consistent,1
v0.8.0,TODO: improve and implement more meaningful smoke tests e.g check for a consistent,1
v0.8.0,TODO: improve and implement more meaningful smoke tests e.g check for a consistent,1
v0.8.0,TODO: improve and implement more meaningful smoke tests e.g check for a consistent,1
v0.8.0,TODO: improve and implement more meaningful smoke tests e.g check for a consistent,1
v0.8.0,TODO: improve and implement more meaningful smoke tests e.g check for a consistent,1
v0.8.0,TODO: improve and implement more meaningful smoke tests e.g check for a consistent,1
v0.8.0,TODO: improve and implement more meaningful smoke tests e.g check for a consistent,1
v0.8.0,TODO: improve and implement more meaningful smoke tests e.g check for a consistent,1
v0.8.0,TODO: improve and implement more meaningful smoke tests e.g check for a consistent,1
v0.8.0,TODO: improve and implement more meaningful smoke tests e.g check for a consistent,1
v0.8.0,TODO: improve and implement more meaningful smoke tests e.g check for a consistent,1
v0.8.0,TODO: improve and implement more meaningful smoke tests e.g check for a consistent,1
v0.8.0,TODO: Gradcheck for param random gen failed. Suspect get_motion_kernel2d issue.,1
v0.8.0,TODO: improve and implement more meaningful smoke tests e.g check for a consistent,1
v0.8.0,TODO: Uncomment this block when relies on torch >= 1.10 or the issue kornia#2027 is solved,1
v0.8.0,TODO: remove xfail once we have enough gpu bandwidth in the CI,1
v0.8.0,TODO: include the warning in another way - possibly loggers.,1
v0.8.0,TODO: implement differentiability,1
v0.8.0,TODO: investigate and implement me,1
v0.8.0,TODO: improve accuracy,1
v0.8.0,TODO: investigate and implement me,1
v0.8.0,TODO: improve accuracy,1
v0.8.0,TODO: improve accuracy,1
v0.8.0,TODO: investigate and implement me,1
v0.8.0,TODO: improve accuracy,1
v0.8.0,TODO: investigate the problem with dynamo,1
v0.8.0,TODO: investigate the problem with dynamo,1
v0.8.0,checked by hand as correct interpolation. Note the ugly replication that happens for Red on the last column,1
v0.8.0,TODO: investigate and implement me,1
v0.8.0,TODO: investigate and implement me,1
v0.8.0,TODO(edgar): replace by IoU or find a more stable solution,1
v0.8.0,TODO: review this test implementation,1
v0.8.0,TODO(jian): add test for this case,1
v0.8.0,TODO(jian): add better assertions,1
v0.8.0,TODO: add better cases,1
v0.8.0,TODO(jian): precision is very bad compared to PIL,1
v0.8.0,TODO: implement me,1
v0.8.0,TODO(jian): add better assertions,1
v0.8.0,TODO(jian): add better cases,1
v0.8.0,TODO: implement me,1
v0.8.0,TODO: test with a more realistic pattern,1
v0.8.0,TODO: check hwo to prevent getting inverted angles sometimes,1
v0.8.0,TODO: implement me with batch,1
v0.8.0,TODO: implement me with batch,1
v0.8.0,TODO(edgar): we should include a test showing some kind of occlusion,1
v0.8.0,TODO: implement the rest of methods,1
v0.8.0,TODO: implement the rest of methods,1
v0.8.0,TODO: implement `Vector2`,1
v0.8.0,# TODO: improve api so that we can accept Vector too,1
v0.8.0,TODO: improve api so that we can accept Vector too,1
v0.8.0,TODO: occasionally failed with error > 0.04,1
v0.8.0,TODO: check if `undistort_image` fully support dynamo,1
v0.8.0,TODO: implement me,1
v0.8.0,TODO: implement me,1
v0.8.0,TODO: implement me,1
v0.8.0,TODO: implement me,1
v0.8.0,TODO: implement me,1
v0.8.0,TODO: implement me,1
v0.8.0,TODO: implement me,1
v0.8.0,TODO: implement me,1
v0.8.0,TODO: implement me,1
v0.8.0,TODO: implement me,1
v0.8.0,TODO: implement me,1
v0.8.0,TODO: implement me,1
v0.8.0,TODO: implement me,1
v0.8.0,TODO: implement me,1
v0.8.0,TODO: implement me,1
v0.8.0,TODO(dmytro/edgar): firgure out why gradient don't propagate for the tranaform,1
v0.8.0,TODO: add dynamo support to create_meshgrid,1
v0.8.0,TODO: Remove when #666 is implemented,1
v0.8.0,TODO: Remove when #666 is implemented,1
v0.8.0,TODO: Remove when #666 is implemented,1
v0.8.0,TODO: Remove when #666 is implemented,1
v0.8.0,TODO: get_perspective_transform3d seems to be correct since it would result in the,1
v0.8.0,TODO(joao.amorim): figure out dynamo issue with it,1
v0.8.0,"TODO: (low-priority) add INPUT3D, MASK3D, BBOX3D, LAFs etc.",1
v0.8.0,TODO: maybe another logic for versioning.,1
v0.8.0,TODO: here torchscript doesn't like KORNIA_CHECK_TYPE,1
v0.8.0,"TODO: pass pointer to function e.g. to make more custom with mse, cosine, etc.",1
v0.8.0,TODO: add this to the main module,1
v0.8.0,hack for bitcounting 2 arrays together,1
v0.8.0,"TODO: support more box types. e.g. xywh,",1
v0.8.0,TODO: Update to ~2.3e-16 for fp64,1
v0.8.0,TODO: remove this special handling as soon as https://github.com/kornia/kornia/issues/1134 is resolved,1
v0.8.0,TODO: remove this if kornia relies on torch>=1.10,1
v0.8.0,TODO: move this to a function KORNIA_CHECK_IMAGE_LAYOUT,1
v0.8.0,TODO: explore use TensorWrapper,1
v0.8.0,TODO: explore use TensorWrapper,1
v0.8.0,TODO: figure out a better way map this function,1
v0.8.0,TODO implement this,1
v0.8.0,"TODO: skip the previous computation for x == 0, instead of forcing here",1
v0.8.0,TODO: add default dtype as None when kornia relies on torch > 1.12,1
v0.8.0,TODO: add default dtype as None when kornia relies on torch > 1.12,1
v0.8.0,TODO: add default dtype as None when kornia relies on torch > 1.12,1
v0.8.0,TODO: add default dtype as None when kornia relies on torch > 1.12,1
v0.8.0,TODO: add support to kernel_size as tuple or integer,1
v0.8.0,TODO: add support to kernel_size as tuple or integer,1
v0.8.0,TODO: Handle multiple inputs and outputs models later,1
v0.8.0,TODO: Can't we just do actual size minus original size to get padding?,1
v0.8.0,TODO: probably perform histogram matching here.,1
v0.8.0,TODO(anguelos): can we avoid transposing and passing always fixed size. This will cause issues with onnx/jit,1
v0.8.0,TODO (anguelos) test multi channel and batch size > 1,1
v0.8.0,TODO(edgar): use kornia.filter2d,1
v0.8.0,TODO (anguelos) make sure diamond_regions*diamond_centers is needed,1
v0.8.0,TODO (anguelos) make sure square_centers*square_regions is needed,1
v0.8.0,FIXME: compile set image will try to compile AugmentationSequential which fails,1
v0.8.0,"FIXME: compile predict will try to compile Preproc prompts, which need to compileAugmentationSequential",1
v0.8.0,is this really necessary?,1
v0.8.0,"TODO: enable strict=False, or host our own weights",1
v0.8.0,TODO: replace using kornia BoundingBox,1
v0.8.0,TODO: rename variables because is confusing,1
v0.8.0,TODO: will be supported later,1
v0.8.0,TODO: verify this is correct,1
v0.8.0,NOTE: might be missing some layers here ?,1
v0.8.0,TODO: cache anchors and valid_mask as buffers,1
v0.8.0,TODO: might make this (or some parts of it) into a separate reusable function,1
v0.8.0,TODO: fix later kornia.utils.create_meshgrid(),1
v0.8.0,TODO: promote this to kornia,1
v0.8.0,TODO: promote to KORNIA_WRAP,1
v0.8.0,TODO: promote to KORNIA_UNWRAP,1
v0.8.0,"TODO: `def __add__(self, other) -> Self:` when mypy release >0.991",1
v0.8.0,"TODO: add somehow type check, or enforce to do it before",1
v0.8.0,TODO: this function will change after kornia/pr#1987,1
v0.8.0,TODO: fix mypy typeguard issue,1
v0.8.0,TODO: Move to use typeguard here dropping support for JIT,1
v0.8.0,TODO: Move to use typeguard here dropping support for JIT,1
v0.8.0,TODO: not use top level import,1
v0.8.0,"TODO: Hard to support. Many codes are not ONNX-friendly that contains lots of if-else blocks, etc.",1
v0.8.0,TODO: need to align 2D implementations,1
v0.8.0,TODO: refine the logic with module.to(),1
v0.8.0,TODO: This line somehow breaks the gradcheck,1
v0.8.0,TODO: check whether we need generate all the parameters at once,1
v0.8.0,TODO: this will crash if the shape is not batched,1
v0.8.0,TODO: We may allow list here.,1
v0.8.0,TODO: We may allow list here.,1
v0.8.0,TODO: We may allow list here.,1
v0.8.0,TODO: Equalize cannot update probabilities yet.,1
v0.8.0,TODO: Make this as a class property to avoid running every time.,1
v0.8.0,TODO: add an ops register module,1
v0.8.0,NOTE: shouldn't this SequenceDataType alias be equals to List[DataType]?,1
v0.8.0,"TODO: validate args batching, and its consistency",1
v0.8.0,"TODO: may add the float to integer (for masks), etc.",1
v0.8.0,TODO: Some more behaviour for AugmentationSequential needs to be revisited later,1
v0.8.0,"NOTE: we may update it later for more supports of drawing boxes, etc.",1
v0.8.0,TODO: handle 3d scenarios,1
v0.8.0,TODO: Add List[Tensor] in the future.,1
v0.8.0,TODO: Implement this for all submodules.,1
v0.8.0,TODO: Wrong params passed here when nested ImageSequential,1
v0.8.0,TODO: implement transform_matrix,1
