Version,Commit Message,SATD
v0.10.4,HACK(geoffrey): `hyperopt_resources` is a required resource for hyperopt to prevent deadlocks in Ludwig tests.,1
v0.10.4,TODO(geoffrey): remove for Ray 2.2,1
v0.10.4,"HACK(Arnav): Remove configs that have LARS, LAMB or Lion optimizers, or Paged or 8-bit optimizers.",1
v0.10.4,is there a better way to do this?,1
v0.10.4,todo the hidden output is actually a tensor. May need modification,1
v0.10.4,todo figure out the output size for parallel 1d conv,1
v0.10.4,TODO:  Need variant of assert_model_parameters_updated() to account for the two step calling sequence,1
v0.10.4,todo: remove code,1
v0.10.4,TODO(ksbrar): Circle back after discussing whether additional properties should be allowed long-term.,1
v0.10.4,TODO(ksbrar): Circle back after discussing whether additional properties should be allowed long-term.,1
v0.10.4,TODO(Arnav): Re-enable once https://github.com/ludwig-ai/ludwig/issues/3150 is resolved since the GBM,1
v0.10.4,todo: re-add 'attention' after further research in implication of torch,1
v0.10.4,TODO(#1333): Refactor this test once torch sequence generator work is complete.,1
v0.10.4,"TODO(Justin): Move these to test_sequence_generator unit tests, and reintroduce decoder attention, beam_width, and",1
v0.10.4,TODO(travis): add when we support pretrained text models for gbms,1
v0.10.4,TODO: find a smaller model for testing,1
v0.10.4,TODO: figure out how to get mocks to work with Ray backend,1
v0.10.4,TODO(travis): We may want to expand upon this in the future to include some checks on model,1
v0.10.4,TODO(travis): We may want to expand upon this in the future to include some checks on model,1
v0.10.4,TODO(travis): We may want to expand upon this in the future to include some checks on model,1
v0.10.4,TODO: Determine whether this is desired behavior. Tracked here:,1
v0.10.4,TODO: feature type not yet supported,1
v0.10.4,handled non-determinism when comparing the metrics between the local and Ray backends. We work around this by,1
v0.10.4,TODO: feature type not yet supported,1
v0.10.4,TODO(geoffrey): Fold modin tests into test_ray_image as @pytest.mark.parametrized once tests are optimized,1
v0.10.4,TODO(travis): move this to separate gpu module so we only have one ray cluster running at a time,1
v0.10.4,TODO(travis): https://github.com/ludwig-ai/ludwig/issues/1956,1
v0.10.4,TODO: Determine if we still need this if-then-else construct,1
v0.10.4,TODO(travis): once we support GBM text features,1
v0.10.4,TODO(travis): once we support GBM text features,1
v0.10.4,TODO(travis): need unit tests to test the get_embedding_layer() of every encoder to ensure it is,1
v0.10.4,TODO: fix LLM model loading,1
v0.10.4,TODO(arnav): p-tuning and prefix tuning have errors when enabled that seem to stem from DDP:,1
v0.10.4,TODO(Arnav): Re-enable once we can run tests on GPUs,1
v0.10.4,TODO: <Alex>02/21/2024: Disabling AdaptionPrompt (waiting for PEFT release to fix,1
v0.10.4,TODO: Re-enable once we can run tests on GPUs,1
v0.10.4,TODO: <Alex>02/21/2024: Disabling AdaptionPrompt (waiting for PEFT release to fix,1
v0.10.4,"For a full explanation of this 8-bit workaround, see https://github.com/ludwig-ai/ludwig/pull/3606",1
v0.10.4,"TODO: Uncomment ""filter_for_weight_format()"" method definition and enable its usage once GPU tests are set up.",1
v0.10.4,TODO(shreya): Uncomment when https://github.com/ludwig-ai/ludwig/issues/2039 is fixed.,1
v0.10.4,TODO: remove this workaround when audio preprocessing is fixed.,1
v0.10.4,TODO: these are the only outputs we provide from Torchscript for now,1
v0.10.4,TODO all shadows built in name - come up with a more descriptive name,1
v0.10.4,TODO -> Fix OOM on large models e.g. llama 3 8B,1
v0.10.4,TODO (Connor): Refactor to use self.config_obj,1
v0.10.4,TODO (ASN): add support for substitute_with_max parameter,1
v0.10.4,TODO(Justin): Decide if it's worth folding padding_side handling into llm.py's tokenizer initialization.,1
v0.10.4,TODO(travis): WIP,1
v0.10.4,"TODO(travis): there's a lot of redundancy in this approach, since we are preprocessing the same DataFrame",1
v0.10.4,"TODO(travis): can optimize the preprocessing part here, since we only need to preprocess / predict",1
v0.10.4,TODO(travis): generalize this to support any pandas output format,1
v0.10.4,TODO (Connor): Refactor to use self.config_obj,1
v0.10.4,"TODO: In the future, it may be possible to move up the model type check into the BaseModel class.",1
v0.10.4,TODO: fix for Ray where workers may be of different skus,1
v0.10.4,TODO(travis): remove in favor of on_hyperopt_end for naming consistency,1
v0.10.4,TODO: https://github.com/ludwig-ai/ludwig/issues/2633,1
v0.10.4,todo: revise docstring,1
v0.10.4,todo: assess how to specify padding for equivalent to 'same',1
v0.10.4,todo: determine how to pool_padding equivalent of 'same',1
v0.10.4,todo: fixup docstring,1
v0.10.4,todo: review docstring,1
v0.10.4,todo: fix up docstring,1
v0.10.4,todo: fix up docstring,1
v0.10.4,todo: update docstring as needed,1
v0.10.4,TODO(shreya): Make sure this is updated when FCStack is updated,1
v0.10.4,TODO(Arnav): Remove this once we have reduce_output options set for,1
v0.10.4,TODO(travis): get_hf_config_param_names should be implemented as abstract in HFEncoderConfig,1
v0.10.4,TODO(shreya): Confirm that this is it,1
v0.10.4,TODO(shreya): Confirm that this is it,1
v0.10.4,TODO(justin): This may need to be conditioned on which AutoModel gets chosen.,1
v0.10.4,TODO(Arnav): This needs be more flexible to account for RoPE Scaling,1
v0.10.4,TODO: this implementation will not work if resuming from a previous checkpoint. Need to fix this.,1
v0.10.4,TODO (ASN): Decide how we want to proceed if at least one trial has,1
v0.10.4,TODO(shreya): Should this hyperopt config param be set here?,1
v0.10.4,TODO (ASN): add image heuristics,1
v0.10.4,"TODO(travis): less hacky way to do this, we should probably allow ModelConfig to be created without output",1
v0.10.4,"todo future: this may be redundant, check",1
v0.10.4,Workaround for including additional tensors from output of input encoders for,1
v0.10.4,TODO(Justin): Think about how to make this communication work for multi-sequence,1
v0.10.4,todo: when https://github.com/ludwig-ai/ludwig/issues/810 is closed,1
v0.10.4,"todo: can we just use projector_size? # hidden_size,",1
v0.10.4,"todo future: this may be redundant, check",1
v0.10.4,"todo future: this may be redundant, check",1
v0.10.4,Workaround for including additional tensors from output of input encoders for,1
v0.10.4,TODO(Justin): Think about how to make this communication work for multi-sequence,1
v0.10.4,todo future: maybe reintroduce these attention function,1
v0.10.4,todo future: maybe reintroduce these attention function,1
v0.10.4,todo future: maybe reintroduce these attention function,1
