Version,Commit Message,SATD
3.10.2,TODO: this should replace all of the messy replacement stuff above,1
3.10.1,TODO: this should replace all of the messy replacement stuff above,1
3.10.0,TODO: this should replace all of the messy replacement stuff above,1
3.9.0,TODO: this should replace all of the messy replacement stuff above,1
3.8.0,TODO: this should replace all of the messy replacement stuff above,1
3.7.2,TODO: this should replace all of the messy replacement stuff above,1
3.7.1,TODO: this should replace all of the messy replacement stuff above,1
3.7.0,TODO: this should replace all of the messy replacement stuff above,1
3.5.2,TODO: this should replace all of the messy replacement stuff above,1
3.5.1,TODO: this should replace all of the messy replacement stuff above,1
3.5.0,TODO: this should replace all of the messy replacement stuff above,1
3.4.0,TODO: this should replace all of the messy replacement stuff above,1
3.2.1,TODO: this should replace all of the messy replacement stuff above,1
3.1.1,TODO: this should replace all of the messy replacement stuff above,1
3.1.0,TODO: this should replace all of the messy replacement stuff above,1
3.0.2,TODO: this should replace all of the messy replacement stuff above,1
3.0.1,TODO: this should replace all of the messy replacement stuff above,1
2.5.2,TODO: this should replace all of the messy replacement stuff above,1
2.5.1,TODO: this should replace all of the messy replacement stuff above,1
2.4.1,TODO: this should replace all of the messy replacement stuff above,1
2.4.0,TODO: this should replace all of the messy replacement stuff above,1
2.3.2,TODO: this should replace all of the messy replacement stuff above,1
2.3.1,TODO: this should replace all of the messy replacement stuff above,1
2.3.0,TODO: this should replace all of the messy replacement stuff above,1
2.1.2,TODO: this should replace all of the messy replacement stuff above,1
2.1.0,TODO: this should replace all of the messy replacement stuff above,1
2.0.4,TODO: this should replace all of the messy replacement stuff above,1
