Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,Code,Defect,Design,Documentation,M&T,Requirement,SATD
OpenNMT-py,v0.1,2018-06-08,0,0,1,1,1,0,0,0,0,1,4,8,0,1,3,1,0,3,8
OpenNMT-py,v0.2,2018-08-28,0,1,1,0,0,0,1,1,0,1,5,9,0,2,3,1,0,3,9
OpenNMT-py,0.2.1,2018-08-31,0,1,1,0,0,0,1,1,0,1,5,9,0,2,3,1,0,3,9
OpenNMT-py,0.3.0,2018-09-27,0,1,1,0,0,0,1,1,0,1,5,9,0,2,3,1,0,3,9
OpenNMT-py,0.4.0,2018-10-08,0,1,1,0,0,0,1,1,0,1,5,9,0,2,3,1,0,3,9
OpenNMT-py,0.4.1,2018-10-11,0,1,1,0,0,0,1,1,0,1,5,9,0,2,3,1,0,3,9
OpenNMT-py,0.5.0,2018-10-24,0,1,1,0,0,0,1,1,0,1,5,9,0,2,3,1,0,3,9
OpenNMT-py,0.6.0,2018-11-28,0,1,1,0,0,0,1,1,0,1,5,11,0,2,3,1,3,2,11
OpenNMT-py,0.7.0,2019-01-02,0,1,1,0,0,0,1,1,0,1,5,12,1,1,2,1,3,4,12
OpenNMT-py,0.7.1,2019-01-24,0,1,1,0,0,0,1,1,0,1,5,11,1,0,2,1,3,4,11
OpenNMT-py,0.7.2,2019-01-31,0,1,1,0,0,0,1,1,0,1,5,11,1,0,2,1,3,4,11
OpenNMT-py,0.8.0,2019-02-09,0,1,1,0,0,0,1,1,0,1,5,12,1,0,2,1,3,5,12
OpenNMT-py,0.8.1,2019-02-12,0,1,1,0,0,0,1,1,0,1,5,12,1,0,2,1,3,5,12
OpenNMT-py,0.8.2,2019-02-17,1,1,1,1,0,0,1,0,0,1,6,10,0,0,2,1,2,5,10
OpenNMT-py,0.9.0,2019-05-16,0,1,1,0,0,0,1,1,0,1,5,10,0,0,2,1,2,5,10
OpenNMT-py,0.9.1,2019-06-13,1,1,1,1,0,0,1,1,0,1,7,10,0,0,2,1,3,4,10
OpenNMT-py,0.9.2,2019-09-05,0,1,1,0,0,0,1,1,0,1,5,10,0,0,2,1,3,4,10
OpenNMT-py,1.0.0.rc1,2019-10-01,1,1,1,1,0,0,1,1,0,1,7,10,0,0,2,1,3,4,10
OpenNMT-py,1.0.0,2019-12-13,0,1,1,0,0,0,1,1,0,1,5,11,0,0,2,1,4,4,11
OpenNMT-py,1.0.1,2020-02-17,0,1,1,0,0,0,1,1,0,1,5,10,0,0,2,1,3,4,10
OpenNMT-py,1.0.2,2020-03-05,0,1,1,0,0,0,1,1,0,1,5,10,0,0,2,1,3,4,10
OpenNMT-py,1.1.0,2020-03-19,0,1,1,0,0,0,1,1,0,1,5,11,0,0,2,1,3,5,11
OpenNMT-py,1.1.1,2020-03-20,1,1,1,1,0,1,1,1,0,1,8,11,0,0,2,1,3,5,11
OpenNMT-py,1.2.0,2020-08-17,0,1,1,0,0,0,1,1,0,1,5,11,0,0,2,1,3,5,11
OpenNMT-py,2.0.0rc1,2020-09-25,0,1,1,0,0,0,1,1,0,1,5,12,0,0,2,1,3,6,12
OpenNMT-py,2.0.0rc2,2020-11-10,1,1,1,1,0,0,1,1,0,1,7,12,0,0,2,1,3,6,12
OpenNMT-py,2.0.0,2021-01-20,0,1,1,0,0,0,1,1,0,1,5,14,1,0,2,1,4,6,14
OpenNMT-py,2.0.1,2021-01-27,1,1,1,1,0,0,1,1,0,1,7,14,1,0,2,1,4,6,14
OpenNMT-py,2.1.0,2021-04-16,0,1,1,0,0,0,1,1,0,1,5,14,1,0,2,1,4,6,14
OpenNMT-py,2.1.1,2021-04-30,1,1,1,1,0,0,1,1,0,1,7,14,1,0,2,1,4,6,14
OpenNMT-py,2.1.2,2021-04-30,1,1,1,1,0,0,1,1,0,1,7,14,1,0,2,1,4,6,14
OpenNMT-py,2.2.0,2021-09-14,1,1,1,1,0,0,1,1,0,1,7,14,1,0,2,1,4,6,14
OpenNMT-py,2.3.0,2022-09-14,0,1,1,1,0,0,1,1,0,1,6,14,0,0,2,1,4,7,14
OpenNMT-py,v3.0.0,2022-11-03,0,1,1,0,0,0,1,1,0,1,5,12,0,0,2,1,3,6,12
OpenNMT-py,v3.0.1,2022-11-23,0,1,1,0,0,0,1,1,0,1,5,12,0,0,2,1,3,6,12
OpenNMT-py,v3.0.2,2022-12-07,0,1,1,0,0,0,1,1,0,1,5,11,0,0,2,1,3,5,11
OpenNMT-py,v3.0.3,2022-12-19,0,1,1,0,0,0,1,1,0,1,5,11,0,0,2,1,3,5,11
OpenNMT-py,v3.0.4,2023-02-06,0,1,1,0,0,0,1,1,0,1,5,11,0,0,2,1,3,5,11
OpenNMT-py,v3.1.0,2023-03-30,0,1,1,0,0,0,1,1,0,1,5,11,0,0,2,1,3,5,11
OpenNMT-py,v3.1.1,2023-03-30,0,1,1,0,0,0,1,1,0,1,5,11,0,0,2,1,3,5,11
OpenNMT-py,v3.1.2,2023-05-10,0,1,1,0,0,0,1,1,0,1,5,11,0,0,2,1,3,5,11
OpenNMT-py,v3.1.3,2023-05-24,0,1,1,0,0,0,1,1,0,1,5,11,0,0,2,1,3,5,11
OpenNMT-py,v3.2.0,2023-06-07,0,1,1,0,0,0,1,1,0,1,5,12,0,0,2,1,3,6,12
OpenNMT-py,v3.3.0,2023-06-22,0,1,1,0,0,0,1,1,0,1,5,12,0,0,2,1,3,6,12
OpenNMT-py,v3.4.0,2023-09-06,0,1,1,0,0,0,1,1,0,1,5,13,0,1,2,1,3,6,13
OpenNMT-py,v3.4.1,2023-09-26,0,1,1,0,0,0,1,1,0,1,5,13,0,1,2,1,3,6,13
OpenNMT-py,v3.4.2,2023-10-20,0,1,1,0,0,0,0,1,0,1,4,13,0,1,2,1,3,6,13
OpenNMT-py,v3.4.3,2023-11-02,0,1,1,1,0,0,1,1,0,1,6,13,0,1,2,1,3,6,13
OpenNMT-py,v3.5.0,2024-02-22,0,1,1,0,0,0,1,1,0,1,5,14,0,1,3,1,3,6,14
