Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,Code,Defect,Design,Documentation,M&T,Requirement,SATD
ludwig,v0.1.0,2019-02-11,0,0,1,1,1,0,0,1,0,1,5,3,0,0,1,1,0,1,3
ludwig,v0.1.1,2019-04-09,0,1,1,0,0,0,1,1,0,1,5,5,0,2,1,1,0,1,5
ludwig,v0.1.2,2019-04-27,1,0,1,1,1,0,0,0,0,1,5,6,0,2,1,1,0,2,6
ludwig,v0.2,2019-07-24,0,1,1,1,0,0,0,0,0,1,4,8,0,2,1,2,0,3,8
ludwig,v0.2.1,2019-10-13,0,0,1,1,0,0,0,1,0,1,4,10,0,2,1,2,0,5,10
ludwig,v0.2.2,2020-03-06,0,0,1,1,0,0,0,0,1,1,4,13,0,5,1,2,0,5,13
ludwig,v0.3,2020-10-06,0,1,1,0,0,0,1,1,0,1,5,23,1,2,1,9,0,10,23
ludwig,v0.3.1,2020-11-16,0,1,1,0,0,0,1,1,0,1,5,25,1,2,2,9,0,11,25
ludwig,v0.3.2,2020-12-29,0,1,1,0,0,0,1,1,0,1,5,31,1,4,2,8,1,15,31
ludwig,v0.3.3,2021-02-01,1,1,1,1,0,0,0,1,0,1,6,31,1,4,2,8,1,15,31
ludwig,v0.4,2021-06-15,0,0,1,1,1,0,0,0,0,1,4,42,3,4,4,11,3,17,42
ludwig,v0.4.1,2022-02-01,0,1,1,0,0,0,1,1,0,1,5,67,3,7,5,18,4,30,67
ludwig,v0.5rc1,2022-02-10,0,1,1,0,0,0,1,1,0,1,5,113,7,18,5,32,6,45,113
ludwig,v0.5rc2,2022-03-07,0,0,1,0,1,0,0,0,0,1,3,111,7,18,4,30,6,46,111
ludwig,v0.5,2022-05-10,0,1,1,0,0,0,1,1,0,1,5,125,6,21,5,32,9,52,125
ludwig,v0.5.1,2022-05-23,0,1,1,0,0,0,1,1,0,1,5,124,6,20,5,31,9,53,124
ludwig,v0.5.2,2022-06-08,0,1,1,0,0,0,1,1,0,1,5,125,6,22,5,28,9,55,125
ludwig,v0.5.3,2022-06-25,0,1,1,0,0,0,1,1,0,1,5,124,6,19,5,28,9,57,124
ludwig,v0.5.4,2022-07-12,0,1,1,0,0,0,1,1,0,1,5,124,6,19,5,28,9,57,124
ludwig,v0.5.5,2022-08-02,0,1,1,0,0,0,1,1,0,1,5,123,6,18,5,28,9,57,123
ludwig,v0.6.beta,2022-09-08,0,1,1,0,0,0,1,1,0,1,5,147,8,20,6,33,12,68,147
ludwig,v0.6rc1,2022-09-20,0,1,1,0,0,0,1,1,0,1,5,151,8,21,6,34,13,69,151
ludwig,v0.6,2022-09-27,0,1,1,0,0,0,1,1,0,1,5,151,8,21,6,34,13,69,151
ludwig,v0.6.1,2022-10-04,0,1,1,0,0,0,1,1,0,1,5,154,8,24,6,34,13,69,154
ludwig,v0.6.2,2022-10-13,0,1,1,0,0,0,1,1,0,1,5,154,8,24,6,34,13,69,154
ludwig,v0.6.3,2022-10-20,0,1,1,0,0,0,1,1,0,1,5,154,8,24,6,34,13,69,154
ludwig,v0.6.4,2022-10-28,0,0,1,0,0,0,0,1,0,1,3,154,8,24,6,34,13,69,154
ludwig,v0.7.beta,2023-01-31,0,1,1,0,0,0,1,1,0,1,5,182,13,31,8,39,10,81,182
ludwig,v0.7,2023-02-27,0,1,1,0,0,0,1,1,0,1,5,193,12,35,9,43,11,83,193
ludwig,v0.7.1,2023-03-02,0,1,1,0,0,0,1,1,0,1,5,193,12,35,9,43,11,83,193
ludwig,v0.7.2,2023-03-04,0,1,1,0,0,0,1,1,0,1,5,193,12,35,9,43,11,83,193
ludwig,v0.7.3,2023-03-17,0,1,1,0,0,0,1,1,0,1,5,195,12,35,9,43,11,85,195
ludwig,v0.7.4,2023-03-23,0,0,1,1,0,0,0,0,0,1,3,195,12,35,9,43,11,85,195
ludwig,v0.7.5,2023-08-07,0,1,1,0,0,0,1,1,0,1,5,195,12,35,9,43,11,85,195
ludwig,v0.8,2023-08-09,0,1,1,0,0,0,1,1,0,1,5,249,17,45,9,49,13,116,249
ludwig,v0.8.1,2023-08-11,0,1,1,0,0,0,1,1,0,1,5,251,17,46,10,49,13,116,251
ludwig,v0.8.1.post1,2023-08-15,0,1,1,0,0,0,1,1,0,1,5,251,17,46,10,49,13,116,251
ludwig,v0.8.2,2023-09-01,0,1,1,0,0,0,1,1,0,1,5,253,17,46,11,49,13,117,253
ludwig,v0.8.3,2023-09-12,0,1,1,0,0,0,1,1,0,1,5,257,17,46,11,49,13,121,257
ludwig,v0.8.4,2023-09-19,0,1,1,0,0,0,1,1,0,1,5,261,17,47,12,49,13,123,261
ludwig,v0.8.5,2023-10-09,0,1,1,0,0,0,1,1,0,1,5,269,18,49,12,50,13,127,269
ludwig,v0.8.6,2023-10-13,1,1,1,1,0,0,1,1,0,1,7,273,20,50,13,50,13,127,273
ludwig,v0.9.1,2023-12-20,0,1,1,0,0,0,1,1,0,1,5,278,21,50,12,49,13,133,278
ludwig,v0.9.2,2024-01-16,0,1,1,0,0,0,1,1,0,1,5,277,20,50,13,49,13,132,277
ludwig,v0.9.3,2024-01-23,0,1,1,0,0,0,1,1,0,1,5,278,20,50,13,50,13,132,278
ludwig,v0.10.0,2024-02-22,0,1,1,0,0,0,1,1,0,1,5,283,22,53,13,50,13,132,283
ludwig,v0.10.1,2024-02-28,0,1,1,0,0,0,1,1,0,1,5,283,22,53,13,50,13,132,283
ludwig,v0.10.2,2024-03-21,0,1,1,0,0,0,1,1,0,1,5,283,22,53,13,50,13,132,283
ludwig,v0.10.3,2024-04-08,1,1,1,1,0,0,1,1,0,1,7,283,22,53,13,50,13,132,283
