Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,Code,Defect,Design,Documentation,M&T,Requirement,SATD
mne-python,v0.8.3,2014-09-01,0,0,1,1,0,0,0,0,1,1,4,48,3,10,6,2,11,16,48
mne-python,v0.9,2015-05-22,0,0,1,0,0,0,0,0,1,1,3,59,3,13,7,2,17,17,59
mne-python,v0.10,2015-10-23,0,0,1,0,0,0,0,0,1,1,3,75,3,15,10,3,18,26,75
mne-python,v0.11,2015-12-24,0,0,1,1,1,0,0,1,1,1,6,77,3,15,11,4,16,28,77
mne-python,v0.12,2016-05-10,0,0,1,1,1,0,0,0,1,1,5,89,4,18,15,5,21,26,89
mne-python,v0.13,2016-09-27,0,0,1,1,1,0,0,1,0,1,5,104,5,20,20,4,26,29,104
mne-python,v0.14,2017-03-23,0,0,1,1,0,0,0,0,1,1,4,115,6,22,25,5,28,29,115
mne-python,v0.15,2017-11-08,0,1,1,0,0,0,1,1,0,1,5,124,7,25,28,4,30,30,124
mne-python,v0.15.1,2017-11-23,0,0,1,1,0,0,0,0,0,1,3,125,7,25,28,4,31,30,125
mne-python,v0.16,2018-05-01,0,0,1,1,0,0,0,0,0,1,3,127,5,25,29,5,33,30,127
mne-python,v0.17,2018-11-19,0,0,1,1,0,0,0,0,0,1,3,143,6,27,33,6,35,36,143
mne-python,v0.18rc0,2019-05-19,0,1,1,0,0,0,1,1,0,1,5,149,5,27,38,6,34,39,149
mne-python,v0.18.1,2019-05-22,0,0,1,1,0,0,0,1,0,1,4,149,5,27,38,6,34,39,149
mne-python,v0.19.0,2019-09-24,0,1,1,0,0,0,1,1,0,1,5,180,5,39,42,6,42,46,180
mne-python,v0.19.1,2019-10-25,0,0,1,1,1,0,0,0,0,1,4,179,5,39,41,6,42,46,179
mne-python,v0.20.0,2020-03-27,0,1,1,0,0,0,1,1,0,1,5,189,7,42,44,5,43,48,189
mne-python,v0.20.1,2020-04-23,0,1,1,0,0,0,1,1,0,1,5,192,7,42,45,5,43,50,192
mne-python,v0.20.2,2020-04-28,0,1,1,0,0,0,1,1,0,1,5,192,7,42,45,5,43,50,192
mne-python,v0.20.3,2020-04-29,0,1,1,0,0,0,1,1,0,1,5,192,7,42,45,5,43,50,192
mne-python,v0.20.4,2020-05-11,0,1,1,0,0,0,1,1,0,1,5,192,7,42,45,5,43,50,192
mne-python,v0.20.5,2020-05-19,0,1,1,0,0,0,1,1,0,1,5,192,7,42,45,5,43,50,192
mne-python,v0.20.6,2020-06-12,0,1,1,0,0,0,0,1,0,1,4,192,7,42,45,5,43,50,192
mne-python,v0.20.7,2020-06-13,0,0,1,1,1,0,0,0,0,1,4,192,7,42,45,5,43,50,192
mne-python,v0.20.8,2020-09-04,0,1,1,0,0,0,1,1,0,1,5,192,7,42,45,5,43,50,192
mne-python,v0.21.0,2020-09-23,0,1,1,0,0,0,1,1,0,1,5,195,8,38,45,7,45,52,195
mne-python,v0.21.1,2020-11-05,0,1,1,0,0,0,1,1,0,1,5,196,8,39,45,7,45,52,196
mne-python,v0.21.2,2020-11-30,0,1,1,0,0,0,1,1,0,1,5,196,8,39,45,7,45,52,196
mne-python,v0.22.0,2020-12-17,0,0,1,1,0,0,0,0,0,1,3,196,10,39,48,10,40,49,196
mne-python,v0.22.1,2021-04-02,0,1,1,0,0,0,1,1,0,1,5,196,10,39,48,10,40,49,196
mne-python,v0.23.0,2021-04-27,0,1,1,1,1,0,0,1,0,1,6,208,10,42,51,10,43,52,208
mne-python,v0.23.1,2021-08-24,0,1,1,0,0,0,1,1,0,1,5,208,10,42,51,10,43,52,208
mne-python,v0.23.3,2021-08-30,0,1,1,0,0,0,1,1,0,1,5,208,10,42,51,10,43,52,208
mne-python,v0.23.4,2021-09-10,1,0,1,0,0,0,0,0,0,1,3,208,10,42,51,10,43,52,208
mne-python,v0.24.0,2021-11-03,0,1,1,0,0,0,1,1,0,1,5,224,11,38,50,15,41,69,224
mne-python,v0.24.1,2021-12-01,0,0,1,1,1,0,0,0,0,1,4,224,11,38,50,15,41,69,224
mne-python,v1.0.0,2022-03-21,0,1,1,0,0,0,1,1,0,1,5,203,12,34,48,12,43,54,203
mne-python,v1.0.2,2022-04-15,0,1,1,0,0,0,1,1,0,1,5,202,12,34,48,12,43,53,202
mne-python,v1.0.3,2022-05-12,0,1,1,1,1,0,0,1,0,1,6,202,12,34,48,12,43,53,202
mne-python,v1.1.0,2022-08-03,0,1,1,0,0,0,1,1,0,1,5,207,13,35,48,14,42,55,207
mne-python,v1.1.1,2022-08-24,0,0,1,0,1,0,0,1,0,1,4,207,13,35,48,14,42,55,207
mne-python,v1.2.0,2022-10-11,0,1,1,0,0,0,1,1,0,1,5,222,13,37,51,13,44,64,222
mne-python,v1.2.1,2022-10-19,0,1,1,0,0,0,1,1,0,1,5,222,13,37,51,13,44,64,222
mne-python,v1.2.2,2022-11-11,0,1,1,0,0,0,1,1,0,1,5,220,13,36,51,13,44,63,220
mne-python,v1.2.3,2022-12-02,0,1,1,0,0,0,1,1,0,1,5,222,13,37,51,13,44,64,222
mne-python,v1.3.0,2022-12-22,1,1,1,0,0,0,1,0,0,1,5,225,13,39,51,13,46,63,225
mne-python,v1.3.1,2023-02-23,0,0,1,1,0,0,1,0,0,1,4,226,13,39,51,14,46,63,226
mne-python,v1.4.0,2023-05-10,0,1,1,0,0,0,1,1,0,1,5,229,14,35,50,13,44,73,229
mne-python,v1.4.2,2023-06-06,1,0,1,0,1,0,1,0,0,1,5,229,14,35,50,13,44,73,229
mne-python,v1.5.0,2023-08-15,0,1,1,0,0,0,1,1,0,1,5,227,14,34,48,12,46,73,227
mne-python,v1.5.1,2023-09-06,0,0,1,0,1,0,0,1,0,1,4,229,14,35,48,13,47,72,229
mne-python,v1.6.0,2023-11-20,0,1,1,0,0,0,1,1,0,1,5,243,19,38,48,15,47,76,243
mne-python,v1.6.1,2024-01-16,1,0,1,1,1,0,0,1,0,1,6,243,19,38,48,15,47,76,243
mne-python,v1.7.0,2024-04-19,0,1,1,0,0,0,1,1,0,1,5,249,19,44,46,15,49,76,249
mne-python,v1.7.1,2024-06-14,0,0,1,0,0,0,1,0,0,1,3,249,19,44,46,15,49,76,249
mne-python,v1.8.0,2024-08-19,1,0,1,1,0,0,1,0,0,1,5,260,19,48,45,14,49,85,260
