Commit Message,predict
"Update deploy_pypi.yml

Update to recommended best practices from https://packaging.python.org/en/latest/guides/publishing-package-distribution-releases-using-github-actions-ci-cd-workflows/",0
FIX deploy_pypi.yml,0
Bump version for release,0
"Merge pull request #564 from tensorly/cleanup-pf2-tolerances

Remove absolute tolerance and make relative tolerance for convergence check consistent with PARAFAC.",0
"Merge pull request #569 from cohenjer/tl_solvers

moving solvers related code to solvers/* directory, improving fista and nnls_hals (reopened)",0
correct missing double escape characters,0
Fixing documentation,0
Merge branch 'main' into tl_solvers,0
"Upgrade Python versions to 3.9–3.13 (#576)

* Upgrade python versions

* pyupgrade recommendations

* Stick with py 3.12 for now

* py 3.13 is now out",0
black linting,0
Merge branch 'main' into tl_solvers,0
Moving proximal operators back to tenalg,0
"Merge pull request #575 from characat0/patch-2

Add dummy keyword arguments to Backend svd to throw a more informative error",0
Update Gtihub action badge to point to main branch,0
"Merge pull request #574 from characat0/patch-1

Fix f-string In backend error message",0
Take absolute value of error difference,0
"[Paddle] Update index.html and pyramid png (#573)

* update Paddle backend in index.html

* update pyramid png

* remove redundant whitespaces

* simplify  paddle url to be consistent with other tools",0
Update core.py,0
Update __init__.py,0
Update __init__.py,0
Update __init__.py,0
adding __init__.py to solvers,0
"Virtually all tests working across backends (#572)

It turns out that we weren't fully using the experimental NumPy interface within Tensorflow. With that enabled, and a couple other minor changes, virtually all the tests can be enabled across backends. As far as I can tell, the JAX and CuPy tests that were skipped already worked.

test_tensor_train_cross_3() still doesn't work, but I believe it is a problem with the method. A tensor is being indexed with an empty mask.

active_set_nnls() also still doesn't work. I think this is an issue with our approach for enabling item assignment. It looks like the X.assign() approach is deprecated, and we should be doing something with ""gather"" methods.",1
Merge branch 'main' into cleanup-pf2-tolerances,0
"Merge pull request #565 from HydrogenSulfate/add_paddle_backend

[Paddle] Add paddle backend",0
Fix typing for older Python,0
Add typing to parafac2(),0
remove extra preprocessing of 'sum' and remove 'max' to registering code,0
use stable release version instead of develop version,0
simplify paddle backend code,0
manually install setuptools after paddle installation,0
remove 'python -m' for tidy code,0
add paddle test config in test.yml,0
merge backend test code into original function and remove useless regression paddle test,0
remove redundant printing code,0
remove redundant printing code,0
fix lstsq behavior and remove the last skip_paddle,0
delete doc/sphinx_ext,0
"set default place to cpu and fix index_update code

Signed-off-by: HydrogenSulfate <490868991@qq.com>",0
Merge branch 'main' into add_paddle_backend,0
"Merge pull request #567 from meyer-lab/always-build-docs

Fix the documentation building and remove the last reference to mxnet.",0
reverting revert of #566,0
spelling correction from @aarmey,0
Merge branch 'main' into tl_solvers,0
removing tenalg/proximal.py,0
Merge branch 'tl_solvers' of github.com:cohenjer/tensorly into tl_solvers,0
"Removing proximal.py file, moved to solvers/*",0
"Merge pull request #568 from tensorly/revert-550-tl_solvers

Revert ""moving solvers related code to solvers/* directory, improving fista and nnls_hals""",0
"Revert ""moving solvers related code to solvers/* directory, improving fista and nnls_hals""",0
update skip_paddle,0
Merge branch 'main' into add_paddle_backend,0
assure assign value is contiguous tensor in index_update,0
"Remove mxnet, linting",0
Remove numpydoc code,0
Remove code included of sphinx-gallery,0
Resolve invalid escape sequence warning,0
Upgrade matplotlib,0
Pin NumPy version to before 2.0,0
"Switch docs building to always, upgrade Python",0
