Commit Message,predict
Copyright (c) Microsoft Corporation. All rights reserved.,0
Licensed under the MIT License.,0
read settings and override defaults,0
allow json overrides on a per-vehicle basis.,0
start server in async mode,0
check messages,0
plot red arrows for 30 seconds,0
plot magenta arrows for 15 seconds,0
plot red arrows for 10 seconds,0
plot 2 white arrows which are persistent,0
plot points,0
"plot line strip. 0-1, 1-2, 2-3",0
"plot line list. 0-1, 2-3, 4-5. Must be even.",0
plot transforms,0
"client.simPlotTransforms(poses = [Pose(position_val=Vector3r(x,y,0), orientation_val=to_quaternion(pitch=0.0, roll=0.0, yaw=yaw)) for x, y, yaw in zip(np.linspace(0,10,10), np.linspace(0,0,10), np.linspace(0,np.pi,10))],",0
"scale = 35, thickness = 5, duration = 1200.0, is_persistent = False)",0
"client.simPlotTransforms(poses = [Pose(position_val=Vector3r(x,y,0), orientation_val=to_quaternion(pitch=0.0, roll=roll, yaw=0.0)) for x, y, roll in zip(np.linspace(0,10,10), np.linspace(1,1,10), np.linspace(0,np.pi,10))],",0
"scale = 35, thickness = 5, duration = 1200.0, is_persistent = False)",0
Access an existing light in the world,0
Destroy the light,0
Create a new light at the same pose,0
Change the light's intensity,0
asset_name = random.choice(assets),0
Import this module to automatically setup path to local airsim module,0
This module first tries to see if airsim module is installed via pip,0
If it does then we don't do anything else,0
Else we look up grand-parent folder to see if it has airsim folder,0
and if it does then we add that in sys.path,0
this class simply tries to see if airsim,0
if airsim module is installed then don't do anything else,0
import pkgutil,0
airsim_loader = pkgutil.find_loader('airsim'),0
if airsim_loader is not None:,0
return,0
In settings.json first activate computer vision mode:,0
https://github.com/Microsoft/AirSim/blob/main/docs/image_apis.md#computer-vision-mode,0
monitor car state while you drive it manually.,0
(2.99792458 * 10^14 [micron/s])^2 * 10^12 to convert,0
denominator from microns^3 to microns * m^2),0
First set everything to 0.,0
Next set all objects of interest provided to corresponding object IDs,0
segIdDict values MUST match tempEmissivityNew labels.,0
"Connect to AirSim, UAV mode.",0
Choose temperature values for winter or summer.,0
"""""""",0
winter,0
"""""""",0
summer,0
Read camera response.,0
Calculate radiance.,0
Set IDs in AirSim environment.,0
"airsim.write_pfm(os.path.normpath(filename + '.pfm'), airsim.get_pfm_array(response))",0
save pic,0
Change the below dimensions appropriately for the camera settings,0
In settings.json first activate computer vision mode:,0
https://github.com/Microsoft/AirSim/blob/main/docs/image_apis.md#computer-vision-mode,0
"define abstract class to return next vector in the format (x,y,yaw)",0
"compute vector, distance and angle to goal",0
compute box of interest,0
scale by weight matrix (optional),0
"img2d_box = np.multiply(img2d_box,w_mtx)",0
detect collision,0
compute box of interest,0
detect collision,0
Same as above but decide to go left or right based on average or some metric like that,0
"compute resultant normalized vector, distance and angle",0
compute bounding box size,0
convert horizonal fov to vertical fov,0
matrix with all ones,0
matrix with max weight in center and decreasing linearly with distance from center,0
matrix with max weight in center and decreasing quadratically with distance from center,0
"print (""Saving images to %s"" % tmp_dir)",0
airsim.wait_key('Press any key to start'),0
"Define start position, goal and size of UAV",0
Define parameters and thresholds,0
initial position,0
"predictControl = AvoidLeftIgonreGoal(hfov, coll_thres, yaw, limit_yaw, step)",0
time.sleep(1),0
get response,0
get numpy array,0
reshape array to 2D array H X W,0
write to png,0
"imsave(os.path.normpath(os.path.join(tmp_dir, ""depth_"" + str(z) + '.png')), generate_depth_viz(img2d,5))",0
pose = client.simGetPose(),0
pp.pprint(pose),0
time.sleep(5),0
currently reset() doesn't work in CV mode. Below is the workaround,1
################### OLD CODE,0
timer = 0,0
time_obs = 50,0
bObstacle = False,0
if (bObstacle):,0
timer = timer + 1,0
if timer > time_obs:,0
bObstacle = False,0
timer = 0,0
else:,0
yaw = target_angle,0
"print (target_angle,target_vec,target_dist,x,y,goal[0],goal[1])",0
if (np.average(img2d_box) < coll_thres):,0
"img2d_box_l = img2d_box = img2d[int((h-roi_h)/2):int((h+roi_h)/2),int((w-roi_w)/2)-50:int((w+roi_w)/2)-50]",0
"img2d_box_r = img2d_box = img2d[int((h-roi_h)/2):int((h+roi_h)/2),int((w-roi_w)/2)+50:int((w+roi_w)/2)+50]",0
"img2d_box_l_avg = np.average(np.multiply(img2d_box_l,w_mtx))",0
"img2d_box_r_avg = np.average(np.multiply(img2d_box_r,w_mtx))",0
"print('left: ', img2d_box_l_avg)",0
"print('right: ', img2d_box_r_avg)",0
if img2d_box_l_avg > img2d_box_r_avg:,0
##Go LEFT,0
#y_offset = y_offset-1,0
yaw = yaw - radians(10),0
bObstacle = True,0
else:,0
##Go RIGHT,0
#y_offset = y_offset+1,0
yaw = yaw + radians(10),0
bObstacle = true,0
"print('yaw: ', yaw)",0
In settings.json first activate computer vision mode:,0
https://github.com/Microsoft/AirSim/blob/main/docs/image_apis.md#computer-vision-mode,0
currently reset() doesn't work in CV mode. Below is the workaround,1
requires Python 3.5.3 :: Anaconda 4.4.0,0
pip install opencv-python,0
Just change the below to test different cameras easily!,0
Test Camera info,0
Test Image APIs,0
Test FoV API,0
Test Pose APIs,0
Test Distortion params APIs,0
In settings.json first activate computer vision mode:,0
https://github.com/Microsoft/AirSim/blob/main/docs/image_apis.md#computer-vision-mode,0
In settings.json first activate computer vision mode:,0
https://github.com/Microsoft/AirSim/blob/main/docs/image_apis.md#computer-vision-mode,0
for block environment,0
regex are case insensitive,0
#for neighborhood environment,0
set object ID for sky,0
below doesn't work yet. You must set CustomDepthStencilValue in Unreal Editor for now,0
get segmentation image in various formats,0
save segmentation images in various formats,0
"airsim.write_pfm(os.path.normpath(filename + '.pfm'), airsim.get_pfm_array(response))",0
"airsim.write_file(os.path.normpath(filename + '.png'), response.image_data_uint8)",0
"cv2.imwrite(os.path.normpath(filename + '.png'), img_rgb) # write to png",0
find unique colors,0
In settings.json first activate computer vision mode:,0
https://github.com/Microsoft/AirSim/blob/main/docs/image_apis.md#computer-vision-mode,0
objects can be named in two ways:,0
"1. In UE Editor, select and object and change its name to something else. Note that you must *change* its name because",0
default name is auto-generated and varies from run-to-run.,0
