Version,Commit Message
v0.12,-*- coding: utf-8 -*-
v0.12,
v0.12,Configuration file for the Sphinx documentation builder.
v0.12,
v0.12,This file does only contain a selection of the most common options. For a
v0.12,full list see the documentation:
v0.12,http://www.sphinx-doc.org/en/stable/config
v0.12,-- Path setup --------------------------------------------------------------
v0.12,"If extensions (or modules to document with autodoc) are in another directory,"
v0.12,add these directories to sys.path here. If the directory is relative to the
v0.12,"documentation root, use os.path.abspath to make it absolute, like shown here."
v0.12,
v0.12,-- Project information -----------------------------------------------------
v0.12,Version Information (for version-switcher)
v0.12,-- General configuration ---------------------------------------------------
v0.12,"If your documentation needs a minimal Sphinx version, state it here."
v0.12,
v0.12,needs_sphinx = '1.0'
v0.12,"Add any Sphinx extension module names here, as strings. They can be"
v0.12,extensions coming with Sphinx (named 'sphinx.ext.*') or your custom
v0.12,ones.
v0.12,sphinx-panels shouldn't add bootstrap css since the pydata-sphinx-theme
v0.12,already loads it
v0.12,"Add any paths that contain templates here, relative to this directory."
v0.12,The suffix(es) of source filenames.
v0.12,You can specify multiple suffix as a list of string:
v0.12,
v0.12,"source_suffix = ['.rst', '.md']"
v0.12,The master toctree document.
v0.12,The language for content autogenerated by Sphinx. Refer to documentation
v0.12,for a list of supported languages.
v0.12,
v0.12,This is also used if you do content translation via gettext catalogs.
v0.12,"Usually you set ""language"" from the command line for these cases."
v0.12,"List of patterns, relative to source directory, that match files and"
v0.12,directories to ignore when looking for source files.
v0.12,This pattern also affects html_static_path and html_extra_path .
v0.12,The name of the Pygments (syntax highlighting) style to use.
v0.12,-- Options for HTML output -------------------------------------------------
v0.12,The theme to use for HTML and HTML Help pages.  See the documentation for
v0.12,a list of builtin themes.
v0.12,
v0.12,Theme options are theme-specific and customize the look and feel of a theme
v0.12,"further.  For a list of options available for each theme, see the"
v0.12,documentation.
v0.12,
v0.12,"Add any paths that contain custom static files (such as style sheets) here,"
v0.12,"relative to this directory. They are copied after the builtin static files,"
v0.12,"so a file named ""default.css"" will overwrite the builtin ""default.css""."
v0.12,"Custom sidebar templates, must be a dictionary that maps document names"
v0.12,to template names.
v0.12,
v0.12,The default sidebars (for documents that don't match any pattern) are
v0.12,defined by theme itself.  Builtin themes are using these templates by
v0.12,"default: ``['localtoc.html', 'relations.html', 'sourcelink.html',"
v0.12,'searchbox.html']``.
v0.12,
v0.12,html_sidebars = {}
v0.12,-- Options for HTMLHelp output ---------------------------------------------
v0.12,Output file base name for HTML help builder.
v0.12,-- Options for LaTeX output ------------------------------------------------
v0.12,The paper size ('letterpaper' or 'a4paper').
v0.12,
v0.12,"'papersize': 'letterpaper',"
v0.12,"The font size ('10pt', '11pt' or '12pt')."
v0.12,
v0.12,"'pointsize': '10pt',"
v0.12,Additional stuff for the LaTeX preamble.
v0.12,
v0.12,"'preamble': '',"
v0.12,Latex figure (float) alignment
v0.12,
v0.12,"'figure_align': 'htbp',"
v0.12,Grouping the document tree into LaTeX files. List of tuples
v0.12,"(source start file, target name, title,"
v0.12,"author, documentclass [howto, manual, or own class])."
v0.12,-- Options for manual page output ------------------------------------------
v0.12,One entry per manual page. List of tuples
v0.12,"(source start file, name, description, authors, manual section)."
v0.12,-- Options for Texinfo output ----------------------------------------------
v0.12,Grouping the document tree into Texinfo files. List of tuples
v0.12,"(source start file, target name, title, author,"
v0.12,"dir menu entry, description, category)"
v0.12,-- Options for Epub output -------------------------------------------------
v0.12,Bibliographic Dublin Core info.
v0.12,The unique identifier of the text. This can be a ISBN number
v0.12,or the project homepage.
v0.12,
v0.12,epub_identifier = ''
v0.12,A unique identification for the text.
v0.12,
v0.12,epub_uid = ''
v0.12,A list of files that should not be packed into the epub file.
v0.12,-- Extension configuration -------------------------------------------------
v0.12,-- Options for todo extension ----------------------------------------------
v0.12,"If true, `todo` and `todoList` produce output, else they produce nothing."
v0.12,init docstrings should also be included in class
v0.12,Only uncomment for faster testing/building docs without compiling notebooks
v0.12,"nbsphinx_execute = ""never"""
v0.12,Patch all of the published versions
v0.12,check old RST version (<= v0.8)
v0.12,Remove old version links
v0.12,Append updated version links
v0.12,requires stdin input for identify in weighting sampler
v0.12,will be removed
v0.12,"applied notebook, not necessary to test each time"
v0.12,needs xgboost too
v0.12,Slow Notebooks
v0.12,"TODO: should probably move more notebooks here to ignore, because"
v0.12,most get tested by the documentation generation.
v0.12,Adding the dowhy root folder to the python path so that jupyter notebooks
v0.12,can import dowhy
