Commit Message,predict
"sys.path.insert(0, os.path.abspath('..'))",0
-- Mockup PyTorch to exclude it while compiling the docs--------------------,0
"autodoc_mock_imports = ['torch', 'torchvision']",0
from unittest.mock import Mock,0
sys.modules['numpy'] = Mock(),0
sys.modules['numpy.linalg'] = Mock(),0
sys.modules['scipy'] = Mock(),0
sys.modules['scipy.optimize'] = Mock(),0
sys.modules['scipy.interpolate'] = Mock(),0
sys.modules['scipy.sparse'] = Mock(),0
sys.modules['scipy.ndimage'] = Mock(),0
sys.modules['scipy.ndimage.filters'] = Mock(),0
sys.modules['tensorflow'] = Mock(),0
sys.modules['theano'] = Mock(),0
sys.modules['theano.tensor'] = Mock(),0
sys.modules['torch'] = Mock(),0
sys.modules['torch.optim'] = Mock(),0
sys.modules['torch.nn'] = Mock(),0
sys.modules['torch.nn.init'] = Mock(),0
sys.modules['torch.autograd'] = Mock(),0
sys.modules['sklearn'] = Mock(),0
sys.modules['sklearn.model_selection'] = Mock(),0
sys.modules['sklearn.utils'] = Mock(),0
-- Project information -----------------------------------------------------,0
"The full version, including alpha/beta/rc tags.",0
The short X.Y version.,0
-- General configuration ---------------------------------------------------,0
"If your documentation needs a minimal Sphinx version, state it here.",0
,0
needs_sphinx = '1.0',0
"If true, the current module name will be prepended to all description",0
unit titles (such as .. function::).,0
A list of prefixes that are ignored when creating the module index. (new in Sphinx 0.6),0
"Add any Sphinx extension module names here, as strings. They can be",0
extensions coming with Sphinx (named 'sphinx.ext.*') or your custom,0
ones.,0
show todo's,0
generate autosummary pages,0
"Add any paths that contain templates here, relative to this directory.",0
The suffix(es) of source filenames.,0
The master toctree document.,0
The language for content autogenerated by Sphinx. Refer to documentation,0
for a list of supported languages.,0
,0
This is also used if you do content translation via gettext catalogs.,0
"Usually you set ""language"" from the command line for these cases.",0
"List of patterns, relative to source directory, that match files and",0
directories to ignore when looking for source files.,0
This pattern also affects html_static_path and html_extra_path.,0
The name of the Pygments (syntax highlighting) style to use.,0
-- Options for HTML output -------------------------------------------------,0
The theme to use for HTML and HTML Help pages.  See the documentation for,0
a list of builtin themes.,0
,0
Theme options are theme-specific and customize the look and feel of a theme,0
"further.  For a list of options available for each theme, see the",0
documentation.,0
,0
html_theme_options = {},0
"Add any paths that contain custom static files (such as style sheets) here,",0
"relative to this directory. They are copied after the builtin static files,",0
"so a file named ""default.css"" will overwrite the builtin ""default.css"".",0
html_static_path = ['_static'],0
"Custom sidebar templates, must be a dictionary that maps document names",0
to template names.,0
,0
The default sidebars (for documents that don't match any pattern) are,0
defined by theme itself.  Builtin themes are using these templates by,0
"default: ``['localtoc.html', 'relations.html', 'sourcelink.html',",0
'searchbox.html']``.,0
,0
html_sidebars = {},0
The name of an image file (relative to this directory) to place at the top,0
of the sidebar.,0
,0
-- Options for HTMLHelp output ---------------------------------------------,0
Output file base name for HTML help builder.,0
-- Options for LaTeX output ------------------------------------------------,0
latex_elements = {,0
The paper size ('letterpaper' or 'a4paper').,0
,0
"'papersize': 'letterpaper',",0
,0
"The font size ('10pt', '11pt' or '12pt').",0
,0
"'pointsize': '10pt',",0
,0
Additional stuff for the LaTeX preamble.,0
,0
"'preamble': '',",0
,0
Latex figure (float) alignment,0
,0
"'figure_align': 'htbp',",0
},0
Grouping the document tree into LaTeX files. List of tuples,0
"(source start file, target name, title,",0
"author, documentclass [howto, manual, or own class]).",0
latex_documents = [,0
(,0
"master_doc,",0
"'pykeen.tex',",0
"'PyKEEN Documentation',",0
"author,",0
