Version,Commit Message
v0.11.1,"import Home from ""@/views/Home"";"
v0.11.1,"mode: ""history"","
v0.11.1,"setKeypointIndex(keypoint, newIndex) {"
v0.11.1,let oldIndex = keypoint.indexLabel;
v0.11.1,if (newIndex == oldIndex) return;
v0.11.1,keypoint.indexLabel = parseInt(newIndex);
v0.11.1,if (oldIndex >= 0) {
v0.11.1,delete this._labelled[oldIndex];
v0.11.1,let otherIndices = this._edges[oldIndex];
v0.11.1,if (otherIndices) {
v0.11.1,"otherIndices.forEach(i => this.removeLine([i, oldIndex]));"
v0.11.1,}
v0.11.1,// TODO: Remove assoicated lines
v0.11.1,}
v0.11.1,if (newIndex >= 0) {
v0.11.1,this._labelled[newIndex] = keypoint;
v0.11.1,this._drawLines(keypoint);
v0.11.1,}
v0.11.1,}
v0.11.1,keypoint.color = this.strokeColor;
v0.11.1,We need to move the line aswell
v0.11.1,If labels convert to indexs
v0.11.1,Draw line if points exist
v0.11.1,Order doesn't matter so can sort first
v0.11.1,Cantor pairing function
v0.11.1,convert 3-digit hex to 6-digits.
v0.11.1,invert color components
v0.11.1,pad each with zeros and return
v0.11.1,"e: { test: true, data: ""info"" }"
v0.11.1,Magic Wand (Fuzzy Selection Tool) for Javascript
v0.11.1,
v0.11.1,The MIT License (MIT)
v0.11.1,
v0.11.1,"Copyright (c) 2014, Ryasnoy Paul (ryasnoypaul@gmail.com)"
v0.11.1,
v0.11.1,"Permission is hereby granted, free of charge, to any person obtaining a copy"
v0.11.1,"of this software and associated documentation files (the ""Software""), to deal"
v0.11.1,"in the Software without restriction, including without limitation the rights"
v0.11.1,"to use, copy, modify, merge, publish, distribute, sublicense, and/or sell"
v0.11.1,"copies of the Software, and to permit persons to whom the Software is"
v0.11.1,"furnished to do so, subject to the following conditions:"
v0.11.1,
v0.11.1,The above copyright notice and this permission notice shall be included in
v0.11.1,all copies or substantial portions of the Software.
v0.11.1,
v0.11.1,"THE SOFTWARE IS PROVIDED ""AS IS"", WITHOUT WARRANTY OF ANY KIND, EXPRESS OR"
v0.11.1,"IMPLIED, INCLUDING BUT NOT LIMITED TO THE WARRANTIES OF MERCHANTABILITY,"
v0.11.1,FITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT. IN NO EVENT SHALL THE
v0.11.1,"AUTHORS OR COPYRIGHT HOLDERS BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER"
v0.11.1,"LIABILITY, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING FROM,"
v0.11.1,OUT OF OR IN CONNECTION WITH THE SOFTWARE OR THE USE OR OTHER DEALINGS IN
v0.11.1,THE SOFTWARE.
v0.11.1,compare the color of the sample
v0.11.1,walk to left side starting with the left neighbor
v0.11.1,compare the color of the sample
v0.11.1,walk to right side starting with the right neighbor
v0.11.1,compare the color of the sample
v0.11.1,check minmax for X
v0.11.1,add two scanning lines in the opposite direction (y - dir) if necessary
v0.11.1,add the scanning line in the direction (y + dir) if necessary
v0.11.1,check minmax for Y if necessary
v0.11.1,calc gauss weights
v0.11.1,normalization weights
v0.11.1,walk through all source points for blur
v0.11.1,walk through x-neighbors
v0.11.1,walk through y-neighbors
v0.11.1,"copy visited points (only ""black"")"
v0.11.1,walk through inner values except points on the boundary of the image
v0.11.1,"check if any neighbor with a ""white"" color"
v0.11.1,if (visitedData[k + 1] + visitedData[k - 1] +
v0.11.1,visitedData[k1] + visitedData[k1 + 1] + visitedData[k1 - 1] +
v0.11.1,visitedData[k2] + visitedData[k2 + 1] + visitedData[k2 - 1] == 8) continue;
v0.11.1,walk through points on the boundary of the image if necessary
v0.11.1,"if the ""black"" point is adjacent to the boundary of the image, it is a border point"
v0.11.1,walk through radius-neighbors of border points and add them to the result array
v0.11.1,walk through x-neighbors
v0.11.1,check the uniqueness
v0.11.1,walk through y-neighbors
v0.11.1,check the uniqueness
v0.11.1,calc gauss weights
v0.11.1,normalization weights
v0.11.1,walk through all border points for blur
v0.11.1,walk through x-neighbors
v0.11.1,check minmax
v0.11.1,walk through y-neighbors
v0.11.1,check minmax
v0.11.1,walk through inner values except points on the boundary of the image
v0.11.1,"check if any neighbor with a ""white"" color"
v0.11.1,if (data[k + 1] + data[k - 1] +
v0.11.1,data[k1] + data[k1 + 1] + data[k1 - 1] +
v0.11.1,data[k2] + data[k2 + 1] + data[k2 - 1] == 8) continue;
v0.11.1,walk through points on the boundary of the image if necessary
v0.11.1,"if the ""black"" point is adjacent to the boundary of the image, it is a border point"
v0.11.1,walk through inner values except points on the boundary of the image
v0.11.1,"check if any neighbor with a ""white"" color"
v0.11.1,if (data[k + 1] + data[k - 1] +
v0.11.1,data[k1] + data[k1 + 1] + data[k1 - 1] +
v0.11.1,data[k2] + data[k2 + 1] + data[k2 - 1] == 8) continue;
v0.11.1,walk through points on the boundary of the image if necessary
v0.11.1,"if the ""black"" point is adjacent to the boundary of the image, it is a border point"
v0.11.1,"walk through inner values and copy only ""black"" points to the result mask"
v0.11.1,"all [dx,dy] pairs (array index is the direction)"
v0.11.1,5 6 7
v0.11.1,4 X 0
v0.11.1,3 2 1
v0.11.1,"k - w: outer tracing (y - 1), k + w: inner tracing (y + 1)"
v0.11.1,need contour tracing
v0.11.1,bypass all the neighbors around the current point in a clockwise
v0.11.1,get the next point by new direction
v0.11.1,black boundary pixel
v0.11.1,walk through all contours
v0.11.1,contour isn't simplified
v0.11.1,no intermediate points
v0.11.1,calc the distance from current point to edge
v0.11.1,"if the max ""deviation"" is larger than allowed then..."
v0.11.1,## File Watcher
v0.11.1,Flask/Gunicorn
v0.11.1,
v0.11.1,LOG_LEVEL - The granularity of log output
v0.11.1,
v0.11.1,"A string of ""debug"", ""info"", ""warning"", ""error"", ""critical"""
v0.11.1,
v0.11.1,WORKER_CONNECTIONS - limits the maximum number of simultaneous
v0.11.1,clients that a single process can handle.
v0.11.1,
v0.11.1,A positive integer generally set to around 1000.
v0.11.1,
v0.11.1,WORKER_TIMEOUT - If a worker does not notify the master process
v0.11.1,in this number of seconds it is killed and a new worker is
v0.11.1,spawned to replace it.
v0.11.1,
v0.11.1,## Workers
v0.11.1,## Dataset Options
v0.11.1,## User Options
v0.11.1,## Models
v0.11.1,Remove all poeple who were annotating when
v0.11.1,the server shutdown
v0.11.1,invalid image ID
v0.11.1,Remove user from pervious room
v0.11.1,Remove user from room
v0.11.1,Listen to directory events as some file systems don't generate
v0.11.1,per-file `deleted` events when moving/deleting directories
v0.11.1,check if its a hidden file
v0.11.1,Compute segmentation
v0.11.1,"paperjs points are relative to the center, so we must shift them relative to the top left."
v0.11.1,Cruve
v0.11.1,Point
v0.11.1,Make sure shape is not all outside the image
v0.11.1,len 4 means this is a line with no width; it contributes
v0.11.1,"no area to the mask, and if we include it, coco will treat"
v0.11.1,it instead as a bbox (and throw an error)
v0.11.1,Compute segmentation
v0.11.1,"paperjs points are relative to the center, so we must shift them relative to the top left."
v0.11.1,find a point that's inside the canvas
v0.11.1,"print('point:', point, flush=True)"
v0.11.1,Cruve
v0.11.1,Point
v0.11.1,prev_point_outside = prev_point[0] > image_width or prev_point[0] < 0 or prev_point[1] > image_height or prev_point[1] < 0
v0.11.1,Make sure shape is not all outside the image
v0.11.1,len 4 means this is a line with no width; it contributes
v0.11.1,"no area to the mask, and if we include it, coco will treat"
v0.11.1,it instead as a bbox (and throw an error)
v0.11.1,Convert into rle
v0.11.1,@api.route('/<int:annotation_id>/mask')
v0.11.1,class AnnotationMask(Resource):
v0.11.1,"def get(self, annotation_id):"
v0.11.1,""""""" Returns the binary mask of an annotation """""""
v0.11.1,return query_util.fix_ids(AnnotationModel.objects(id=annotation_id).first())
v0.11.1,padding = args.get('padding')
v0.11.1,threshold = args.get('threshold')
v0.11.1,Calculate annotation counts by category in this dataset
v0.11.1,Calculate the annotation count in the current category in this dataset
v0.11.1,Calculate the annotated images count in the current category in this dataset
v0.11.1,Check if dataset exists
v0.11.1,Make sure folder starts with is in proper format
v0.11.1,Get directory
v0.11.1,Remove parsed arguments
v0.11.1,Generate query from remaining arugments
v0.11.1,Change category_ids__in to list
v0.11.1,Initialize mongo query with required elements:
v0.11.1,Define query names that should use complex logic:
v0.11.1,Add additional 'and' arguments to mongo query that do not require complex_query logic
v0.11.1,Add additional arguments to mongo query that require more complex logic to construct
v0.11.1,Only show annotated images with selected category_ids
v0.11.1,Only show non-annotated images
