Version,Commit Message
v1.11.0,"sys.path.insert(0, os.path.abspath('..'))"
v1.11.0,-- Mockup PyTorch to exclude it while compiling the docs--------------------
v1.11.0,"autodoc_mock_imports = ['torch', 'torchvision']"
v1.11.0,from unittest.mock import Mock
v1.11.0,sys.modules['numpy'] = Mock()
v1.11.0,sys.modules['numpy.linalg'] = Mock()
v1.11.0,sys.modules['scipy'] = Mock()
v1.11.0,sys.modules['scipy.optimize'] = Mock()
v1.11.0,sys.modules['scipy.interpolate'] = Mock()
v1.11.0,sys.modules['scipy.sparse'] = Mock()
v1.11.0,sys.modules['scipy.ndimage'] = Mock()
v1.11.0,sys.modules['scipy.ndimage.filters'] = Mock()
v1.11.0,sys.modules['tensorflow'] = Mock()
v1.11.0,sys.modules['theano'] = Mock()
v1.11.0,sys.modules['theano.tensor'] = Mock()
v1.11.0,sys.modules['torch'] = Mock()
v1.11.0,sys.modules['torch.optim'] = Mock()
v1.11.0,sys.modules['torch.nn'] = Mock()
v1.11.0,sys.modules['torch.nn.init'] = Mock()
v1.11.0,sys.modules['torch.autograd'] = Mock()
v1.11.0,sys.modules['sklearn'] = Mock()
v1.11.0,sys.modules['sklearn.model_selection'] = Mock()
v1.11.0,sys.modules['sklearn.utils'] = Mock()
v1.11.0,-- Project information -----------------------------------------------------
v1.11.0,"The full version, including alpha/beta/rc tags."
v1.11.0,The short X.Y version.
v1.11.0,-- General configuration ---------------------------------------------------
v1.11.0,"If your documentation needs a minimal Sphinx version, state it here."
v1.11.0,
v1.11.0,needs_sphinx = '1.0'
v1.11.0,"If true, the current module name will be prepended to all description"
v1.11.0,unit titles (such as .. function::).
v1.11.0,A list of prefixes that are ignored when creating the module index. (new in Sphinx 0.6)
v1.11.0,"Add any Sphinx extension module names here, as strings. They can be"
v1.11.0,extensions coming with Sphinx (named 'sphinx.ext.*') or your custom
v1.11.0,ones.
v1.11.0,show todo's
v1.11.0,generate autosummary pages
v1.11.0,"Add any paths that contain templates here, relative to this directory."
v1.11.0,The suffix(es) of source filenames.
v1.11.0,The master toctree document.
v1.11.0,The language for content autogenerated by Sphinx. Refer to documentation
v1.11.0,for a list of supported languages.
v1.11.0,
v1.11.0,This is also used if you do content translation via gettext catalogs.
v1.11.0,"Usually you set ""language"" from the command line for these cases."
v1.11.0,"List of patterns, relative to source directory, that match files and"
v1.11.0,directories to ignore when looking for source files.
v1.11.0,This pattern also affects html_static_path and html_extra_path.
v1.11.0,The name of the Pygments (syntax highlighting) style to use.
v1.11.0,-- Options for HTML output -------------------------------------------------
v1.11.0,The theme to use for HTML and HTML Help pages.  See the documentation for
v1.11.0,a list of builtin themes.
v1.11.0,
v1.11.0,Theme options are theme-specific and customize the look and feel of a theme
v1.11.0,"further.  For a list of options available for each theme, see the"
v1.11.0,documentation.
v1.11.0,
