Commit Message,predict
Get the long description from the README file,0
Versions should comply with PEP440.  For a discussion on single-sourcing,0
"the version across setup.py and the project code, see",0
https://packaging.python.org/en/latest/single_source_version.html,0
The project's main homepage.,0
Author details,0
Choose your license,0
See https://pypi.python.org/pypi?%3Aaction=list_classifiers,0
How mature is this project? Common values are,0
3 - Alpha,0
4 - Beta,0
5 - Production/Stable,0
Indicate who your project is intended for,0
"Pick your license as you wish (should match ""license"" above)",0
"Specify the Python versions you support here. In particular, ensure",0
"that you indicate whether you support Python 2, Python 3 or both.",0
What does your project relate to?,0
You can just specify the packages manually here if your project is,0
simple. Or you can use find_packages().,0
"Alternatively, if you want to distribute just a my_module.py, uncomment",0
this:,0
"py_modules=[""my_module""],",0
List run-time dependencies here.  These will be installed by pip when,0
"your project is installed. For an analysis of ""install_requires"" vs pip's",0
requirements files see:,0
https://packaging.python.org/en/latest/requirements.html,0
"To provide executable scripts, use entry points in preference to the",0
"""scripts"" keyword. Entry points provide cross-platform support and allow",0
pip to create the appropriate form of executable for the target platform.,0
Communication to TensorFlow server via gRPC,0
TensorFlow serving stuff to send messages,0
Command line arguments,0
Send request,0
request.inputs['input'].CopyFrom(),0
"TestModels.onnx_emit,",0
"TestModels.caffe_emit,",0
"TestModels.cntk_emit,",0
"TestModels.coreml_emit,",0
"TestModels.mxnet_emit,",0
"TestModels.pytorch_emit,",0
TestModels.tensorflow_emit,0
"TestModels.caffe_emit,",0
"TestModels.coreml_emit,",0
"TestModels.keras_emit,",0
"TestModels.mxnet_emit,",0
Run too slow on Travis.,0
cntk_emit OOM on Travis,0
"TestModels.cntk_emit,",0
"TestModels.cntk_emit,",0
Cannot run on Travis since it seems to consume too much memory.,0
"TestModels.onnx_emit,",0
"TestModels.caffe_emit,",0
"TestModels.cntk_emit,",0
"TestModels.coreml_emit,",0
"TestModels.keras_emit,",0
"TestModels.keras_emit,",0
"TestModels.caffe_emit,",0
"TestModels.cntk_emit,",0
"TestModels.pytorch_emit,",0
"TestModels.caffe_emit,",0
"TestModels.cntk_emit,",0
"TestModels.pytorch_emit,",0
"TestModels.caffe_emit,",0
"TestModels.cntk_emit,",0
"TestModels.pytorch_emit,",0
"TestModels.caffe_emit,",0
"TestModels.cntk_emit,",0
"TestModels.onnx_emit,",0
"TestModels.caffe_emit,",0
"TestModels.cntk_emit,",0
"TestModels.caffe_emit,",0
"TestModels.cntk_emit,",0
"TestModels.coreml_emit,",0
"TestModels.keras_emit,",0
"TestModels.mxnet_emit,",0
"TestModels.pytorch_emit,",0
TestModels.tensorflow_emit,0
omit tensorflow lead to crash,0
"TestModels.cntk_emit,",0
"TestModels.cntk_emit,",0
"TestModels.caffe_emit,",0
"TestModels.cntk_emit,",0
"TestModels.keras_emit,",0
"TestModels.mxnet_emit,",0
"TestModels.pytorch_emit,",0
TestModels.tensorflow_emit,0
"TestModels.cntk_emit,",0
"Function self.assertEquals has deprecated, change to assertEqual",0
"self.assertEqual(original_predict.shape, converted_predict.shape)",0
"TestModels.caffe_emit,",0
"TestModels.cntk_emit,",0
"TestModels.mxnet_emit,",0
"TestModels.pytorch_emit,",0
"TestModels.onnx_emit,",0
"TestModels.caffe_emit,",0
"TestModels.cntk_emit,",0
"TestModels.mxnet_emit,",0
"TestModels.pytorch_emit,",0
"TestModels.onnx_emit,",0
"TestModels.cntk_emit,",0
"TestModels.mxnet_emit,",0
"TestModels.onnx_emit,",0
"TestModels.cntk_emit,",0
get original model prediction result,0
original to IR,0
get original model prediction result,0
original to IR,0
download model,0
get original model prediction result,0
print(original_predict),0
original to IR,0
download model,0
get original model prediction result,0
original to IR,0
download model,0
get original model prediction result,0
original to IR,0
download model,0
get original model prediction result,0
original to IR,0
download model,0
get original model prediction result,0
original to IR,0
download model,0
get original model prediction result,0
original to IR,0
download model,0
get original model prediction result,0
get shape,0
original to IR,0
download model,0
get original model prediction result,0
original to IR,0
IR to code,0
IR to code,0
import converted model,0
IR to code,0
import converted model,0
IR to code,0
import converted model,0
IR to code,0
import converted model,0
IR to code,0
import converted model,0
The list is in RGB oder,0
IR to Model,0
"converted_file = original_framework + '_coreml_' + architecture_name + ""_converted""",0
"converted_file = converted_file.replace('.', '_')",0
load model,0
save model,0
"coremltools.utils.save_spec(model.get_spec(), converted_file)",0
inference,0
IR to code,0
import converted model,0
"In case of odd number add the extra padding at the end for SAME_UPPER(eg. pads:[0, 2, 2, 0, 0, 3, 3, 0]) and at the beginning for SAME_LOWER(eg. pads:[0, 3, 3, 0, 0, 2, 2, 0])",0
"'xception'     : [onnx_emit],",0
"'nasnet'       : [onnx_emit],",0
"Temporarily disable 'yolo2'        : [onnx_emit],",0
"Temporarily disable 'inception_v4'  : [onnx_emit],",0
"'voc-fcn8s'     : [onnx_emit], # TODO: ConvTranspose, Crop",0
"'voc-fcn16s'    : [onnx_emit], # TODO: ConvTranspose, Crop",0
"'voc-fcn32s'    : [onnx_emit], # TODO: ConvTranspose, Crop",0
"Temporarily disable 'xception'      : [onnx_emit],",0
"Temporarily disable 'facenet'               : [onnx_emit],",0
"'resnet_v1_50'          : [onnx_emit], # POOL: strides > window_shape not supported due to inconsistency between CPU and GPU implementations",0
"'resnet_v1_152'         : [onnx_emit], # POOL: strides > window_shape not supported due to inconsistency between CPU and GPU implementations",0
"'resnet_v2_50'          : [onnx_emit], # POOL: strides > window_shape not supported due to inconsistency between CPU and GPU implementations",0
"'resnet_v2_152'         : [onnx_emit], # POOL: strides > window_shape not supported due to inconsistency between CPU and GPU implementations",0
"'nasnet-a_large'        : [onnx_emit], # POOL: strides > window_shape not supported due to inconsistency between CPU and GPU implementations",0
"Temporarily disable 'facenet'           : [onnx_emit],",0
TODO: coredump,1
"'alexnet'       : [cntk_emit, keras_emit, tensorflow_emit],",0
"'nasnet'       : [tensorflow_emit, keras_emit, coreml_emit],",0
"Temporarily disable 'yolo2'        : [keras_emit],",0
"'facenet'      : [tensorflow_emit, coreml_emit,mxnet_emit,keras_emit]  # TODO",0
"Temporarily disable 'inception_v4'  : [cntk_emit, coreml_emit, keras_emit, pytorch_emit, tensorflow_emit], # TODO mxnet_emit(Small error), caffe_emit(Crash for shape)",1
"Temporarily disable 'xception'      : [coreml_emit, cntk_emit, mxnet_emit, pytorch_emit, tensorflow_emit], #  TODO: Caffe(Crash) keras_emit(too slow)",1
"Temporarily disable 'facenet'               : [mxnet_emit, tensorflow_emit, keras_emit, pytorch_emit, caffe_emit], # TODO: coreml_emit",0
"Temporarily disable 'rnn_lstm_gru_stacked'  : [tensorflow_emit, keras_emit, pytorch_emit, mxnet_emit] #TODO cntk_emit",0
"Temporarily disable 'facenet'           : [mxnet_emit, tensorflow_emit, keras_emit, caffe_emit] # TODO: coreml_emit",0
"'tinyyolo'     : [coreml_emit, keras_emit, mxnet_emit, pytorch_emit, tensorflow_emit],",0
"'vgg16': [tensorflow_emit],",0
'alexnet': [tensorflow_emit],0
get test input path,0
get original model prediction result,0
def test_caffe(self):,0
try:,0
import caffe,0
"self._test_function('caffe', self.caffe_parse)",0
except ImportError:,0
