Version,Commit Message
0.3.1,Get the long description from the README file
0.3.1,Versions should comply with PEP440.  For a discussion on single-sourcing
0.3.1,"the version across setup.py and the project code, see"
0.3.1,https://packaging.python.org/en/latest/single_source_version.html
0.3.1,The project's main homepage.
0.3.1,Author details
0.3.1,Choose your license
0.3.1,See https://pypi.python.org/pypi?%3Aaction=list_classifiers
0.3.1,How mature is this project? Common values are
0.3.1,3 - Alpha
0.3.1,4 - Beta
0.3.1,5 - Production/Stable
0.3.1,Indicate who your project is intended for
0.3.1,"Pick your license as you wish (should match ""license"" above)"
0.3.1,"Specify the Python versions you support here. In particular, ensure"
0.3.1,"that you indicate whether you support Python 2, Python 3 or both."
0.3.1,What does your project relate to?
0.3.1,You can just specify the packages manually here if your project is
0.3.1,simple. Or you can use find_packages().
0.3.1,"Alternatively, if you want to distribute just a my_module.py, uncomment"
0.3.1,this:
0.3.1,"py_modules=[""my_module""],"
0.3.1,List run-time dependencies here.  These will be installed by pip when
0.3.1,"your project is installed. For an analysis of ""install_requires"" vs pip's"
0.3.1,requirements files see:
0.3.1,https://packaging.python.org/en/latest/requirements.html
0.3.1,"To provide executable scripts, use entry points in preference to the"
0.3.1,"""scripts"" keyword. Entry points provide cross-platform support and allow"
0.3.1,pip to create the appropriate form of executable for the target platform.
0.3.1,Communication to TensorFlow server via gRPC
0.3.1,TensorFlow serving stuff to send messages
0.3.1,Command line arguments
0.3.1,Send request
0.3.1,request.inputs['input'].CopyFrom()
0.3.1,"TestModels.onnx_emit,"
0.3.1,"TestModels.caffe_emit,"
0.3.1,"TestModels.cntk_emit,"
0.3.1,"TestModels.coreml_emit,"
0.3.1,"TestModels.mxnet_emit,"
0.3.1,"TestModels.pytorch_emit,"
0.3.1,TestModels.tensorflow_emit
0.3.1,"TestModels.caffe_emit,"
0.3.1,"TestModels.coreml_emit,"
0.3.1,"TestModels.keras_emit,"
0.3.1,"TestModels.mxnet_emit,"
0.3.1,Run too slow on Travis.
0.3.1,cntk_emit OOM on Travis
0.3.1,"TestModels.cntk_emit,"
0.3.1,"TestModels.cntk_emit,"
0.3.1,Cannot run on Travis since it seems to consume too much memory.
0.3.1,"TestModels.onnx_emit,"
0.3.1,"TestModels.caffe_emit,"
0.3.1,"TestModels.cntk_emit,"
0.3.1,"TestModels.coreml_emit,"
0.3.1,"TestModels.keras_emit,"
0.3.1,"TestModels.keras_emit,"
0.3.1,"TestModels.caffe_emit,"
0.3.1,"TestModels.cntk_emit,"
0.3.1,"TestModels.pytorch_emit,"
0.3.1,"TestModels.caffe_emit,"
0.3.1,"TestModels.cntk_emit,"
0.3.1,"TestModels.pytorch_emit,"
0.3.1,"TestModels.caffe_emit,"
0.3.1,"TestModels.cntk_emit,"
0.3.1,"TestModels.pytorch_emit,"
0.3.1,"TestModels.caffe_emit,"
0.3.1,"TestModels.cntk_emit,"
0.3.1,"TestModels.onnx_emit,"
0.3.1,"TestModels.caffe_emit,"
0.3.1,"TestModels.cntk_emit,"
0.3.1,"TestModels.caffe_emit,"
0.3.1,"TestModels.cntk_emit,"
0.3.1,"TestModels.coreml_emit,"
0.3.1,"TestModels.keras_emit,"
0.3.1,"TestModels.mxnet_emit,"
0.3.1,"TestModels.pytorch_emit,"
0.3.1,TestModels.tensorflow_emit
0.3.1,omit tensorflow lead to crash
0.3.1,"TestModels.cntk_emit,"
0.3.1,"TestModels.cntk_emit,"
0.3.1,"TestModels.caffe_emit,"
0.3.1,"TestModels.cntk_emit,"
0.3.1,"TestModels.keras_emit,"
0.3.1,"TestModels.mxnet_emit,"
0.3.1,"TestModels.pytorch_emit,"
0.3.1,TestModels.tensorflow_emit
0.3.1,"TestModels.cntk_emit,"
0.3.1,"Function self.assertEquals has deprecated, change to assertEqual"
0.3.1,"self.assertEqual(original_predict.shape, converted_predict.shape)"
0.3.1,"TestModels.caffe_emit,"
0.3.1,"TestModels.cntk_emit,"
0.3.1,"TestModels.mxnet_emit,"
0.3.1,"TestModels.pytorch_emit,"
0.3.1,"TestModels.onnx_emit,"
0.3.1,"TestModels.caffe_emit,"
0.3.1,"TestModels.cntk_emit,"
0.3.1,"TestModels.mxnet_emit,"
0.3.1,"TestModels.pytorch_emit,"
0.3.1,"TestModels.onnx_emit,"
0.3.1,"TestModels.cntk_emit,"
0.3.1,"TestModels.mxnet_emit,"
0.3.1,"TestModels.onnx_emit,"
0.3.1,"TestModels.cntk_emit,"
0.3.1,get original model prediction result
0.3.1,original to IR
0.3.1,get original model prediction result
0.3.1,original to IR
0.3.1,download model
0.3.1,get original model prediction result
0.3.1,print(original_predict)
0.3.1,original to IR
0.3.1,download model
0.3.1,get original model prediction result
0.3.1,original to IR
0.3.1,download model
0.3.1,get original model prediction result
0.3.1,original to IR
0.3.1,download model
0.3.1,get original model prediction result
0.3.1,original to IR
0.3.1,download model
0.3.1,get original model prediction result
0.3.1,original to IR
0.3.1,download model
0.3.1,get original model prediction result
0.3.1,original to IR
0.3.1,download model
0.3.1,get original model prediction result
0.3.1,get shape
0.3.1,original to IR
0.3.1,download model
0.3.1,get original model prediction result
0.3.1,original to IR
0.3.1,IR to code
0.3.1,IR to code
0.3.1,import converted model
0.3.1,IR to code
0.3.1,import converted model
0.3.1,IR to code
0.3.1,import converted model
0.3.1,IR to code
0.3.1,import converted model
0.3.1,IR to code
0.3.1,import converted model
0.3.1,The list is in RGB oder
0.3.1,IR to Model
0.3.1,"converted_file = original_framework + '_coreml_' + architecture_name + ""_converted"""
0.3.1,"converted_file = converted_file.replace('.', '_')"
0.3.1,load model
0.3.1,save model
0.3.1,"coremltools.utils.save_spec(model.get_spec(), converted_file)"
0.3.1,inference
0.3.1,IR to code
0.3.1,import converted model
0.3.1,"In case of odd number add the extra padding at the end for SAME_UPPER(eg. pads:[0, 2, 2, 0, 0, 3, 3, 0]) and at the beginning for SAME_LOWER(eg. pads:[0, 3, 3, 0, 0, 2, 2, 0])"
0.3.1,"'xception'     : [onnx_emit],"
0.3.1,"'nasnet'       : [onnx_emit],"
0.3.1,"Temporarily disable 'yolo2'        : [onnx_emit],"
0.3.1,"Temporarily disable 'inception_v4'  : [onnx_emit],"
0.3.1,"'voc-fcn8s'     : [onnx_emit], # TODO: ConvTranspose, Crop"
0.3.1,"'voc-fcn16s'    : [onnx_emit], # TODO: ConvTranspose, Crop"
0.3.1,"'voc-fcn32s'    : [onnx_emit], # TODO: ConvTranspose, Crop"
0.3.1,"Temporarily disable 'xception'      : [onnx_emit],"
0.3.1,"Temporarily disable 'facenet'               : [onnx_emit],"
0.3.1,"'resnet_v1_50'          : [onnx_emit], # POOL: strides > window_shape not supported due to inconsistency between CPU and GPU implementations"
0.3.1,"'resnet_v1_152'         : [onnx_emit], # POOL: strides > window_shape not supported due to inconsistency between CPU and GPU implementations"
0.3.1,"'resnet_v2_50'          : [onnx_emit], # POOL: strides > window_shape not supported due to inconsistency between CPU and GPU implementations"
0.3.1,"'resnet_v2_152'         : [onnx_emit], # POOL: strides > window_shape not supported due to inconsistency between CPU and GPU implementations"
0.3.1,"'nasnet-a_large'        : [onnx_emit], # POOL: strides > window_shape not supported due to inconsistency between CPU and GPU implementations"
0.3.1,"Temporarily disable 'facenet'           : [onnx_emit],"
0.3.1,TODO: coredump
0.3.1,"'alexnet'       : [cntk_emit, keras_emit, tensorflow_emit],"
0.3.1,"'nasnet'       : [tensorflow_emit, keras_emit, coreml_emit],"
0.3.1,"Temporarily disable 'yolo2'        : [keras_emit],"
0.3.1,"'facenet'      : [tensorflow_emit, coreml_emit,mxnet_emit,keras_emit]  # TODO"
0.3.1,"Temporarily disable 'inception_v4'  : [cntk_emit, coreml_emit, keras_emit, pytorch_emit, tensorflow_emit], # TODO mxnet_emit(Small error), caffe_emit(Crash for shape)"
0.3.1,"Temporarily disable 'xception'      : [coreml_emit, cntk_emit, mxnet_emit, pytorch_emit, tensorflow_emit], #  TODO: Caffe(Crash) keras_emit(too slow)"
0.3.1,"Temporarily disable 'facenet'               : [mxnet_emit, tensorflow_emit, keras_emit, pytorch_emit, caffe_emit], # TODO: coreml_emit"
0.3.1,"Temporarily disable 'rnn_lstm_gru_stacked'  : [tensorflow_emit, keras_emit, pytorch_emit, mxnet_emit] #TODO cntk_emit"
0.3.1,"Temporarily disable 'facenet'           : [mxnet_emit, tensorflow_emit, keras_emit, caffe_emit] # TODO: coreml_emit"
0.3.1,"'tinyyolo'     : [coreml_emit, keras_emit, mxnet_emit, pytorch_emit, tensorflow_emit],"
0.3.1,"'vgg16': [tensorflow_emit],"
0.3.1,'alexnet': [tensorflow_emit]
0.3.1,get test input path
0.3.1,get original model prediction result
0.3.1,def test_caffe(self):
0.3.1,try:
0.3.1,import caffe
0.3.1,"self._test_function('caffe', self.caffe_parse)"
0.3.1,except ImportError:
0.3.1,"print('Please install caffe! Or caffe is not supported in your platform.', file=sys.stderr)"
0.3.1,def test_cntk(self):
0.3.1,try:
0.3.1,import cntk
0.3.1,"self._test_function('cntk', self.cntk_parse)"
0.3.1,except ImportError:
0.3.1,"print('Please install cntk! Or cntk is not supported in your platform.', file=sys.stderr)"
0.3.1,def test_coreml(self):
0.3.1,from coremltools.models.utils import macos_version
0.3.1,"if macos_version() < (10, 13):"
0.3.1,"print('Coreml is not supported in your platform.', file=sys.stderr)"
0.3.1,else:
0.3.1,"self._test_function('coreml', self.coreml_parse)"
0.3.1,def test_keras(self):
0.3.1,"self._test_function('keras', self.keras_parse)"
0.3.1,def test_mxnet(self):
0.3.1,"self._test_function('mxnet', self.mxnet_parse)"
0.3.1,def test_darknet(self):
0.3.1,"self._test_function('darknet', self.darknet_parse)"
0.3.1,def test_paddle(self):
0.3.1,# omit tensorflow lead to crash
0.3.1,import tensorflow as tf
0.3.1,try:
0.3.1,import paddle.v2 as paddle
0.3.1,"self._test_function('paddle', self.paddle_parse)"
0.3.1,except ImportError:
0.3.1,"print('Please install Paddlepaddle! Or Paddlepaddle is not supported in your platform.', file=sys.stderr)"
0.3.1,def test_pytorch(self):
0.3.1,"self._test_function('pytorch', self.pytorch_parse)"
0.3.1,def test_tensorflow(self):
0.3.1,"self._test_function('tensorflow', self.tensorflow_parse)"
0.3.1,def test_tensorflow_frozen(self):
0.3.1,"self._test_function('tensorflow_frozen', self.tensorflow_frozen_parse)"
0.3.1,"TestModels.onnx_emit,"
0.3.1,"TestModels.cntk_emit,"
0.3.1,"TestModels.onnx_emit,"
0.3.1,"TestModels.cntk_emit,"
0.3.1,"TestModels.coreml_emit,"
0.3.1,"TestModels.onnx_emit,"
0.3.1,"TestModels.cntk_emit,"
0.3.1,"Temporarily disable 'xception'      : [TestModels.coreml_emit, TestModels.cntk_emit, TestModels.tensorflow_emit],"
0.3.1,"TestModels.onnx_emit,"
