Version,Commit Message
v2.9.10,prepf for 2.3.10 (#2602)
v2.9.10,"Update README.md (#2601)

* Update README.md

- link change

* Update README.md"
v2.9.10,Auto check for updates when the GUI opens (#2600)
v2.9.10,Fix 2d line data setter (#2599)
v2.9.10,"minor spelling fixes (#2594)

* Update CODE_OF_CONDUCT.md

spelling

* Update COLAB_maDLC_TrainNetwork_VideoAnalysis.ipynb

spelling

* Update COLAB_maDLC_TrainNetwork_VideoAnalysis.ipynb

* Update test_auxfun_models.py

* Update CONTRIBUTING.md

* Update .codespellrc"
v2.9.10,"Correct DEEPLABCUT.yaml and DEEPLABCUT_M1.yaml reference. (#2573)

* Correct DEEPLABCUT.yaml and DEEPLABCUT_M1.yaml reference.

* Update installation.md

---------

Co-authored-by: Mackenzie Mathis <mackenzie.mathis@epfl.ch>"
v2.9.10,"pin matplotlib version (#2583)

* pin matplotlib version

* fix typo"
v2.9.10,"Update label and warn users of the absence of videos (#2586)

* Update label and warn users of the absence of videos

* Update wording"
v2.9.10,Update email
v2.9.10,bug fix: missing images during evaluation (#2570)
v2.9.10,"Update setup.py (#2526)

* Update setup.py

---------

Co-authored-by: n-poulsen <45132115+n-poulsen@users.noreply.github.com>
Co-authored-by: Jessy Lauer <30733203+jeylau@users.noreply.github.com>"
v2.9.10,"niels/check_for_duplicate_videos (#2558)

* ensure no duplicate entries are added to the training dataset dataframe

* added extra test with 3 videos

* fix typing"
v2.9.10,attempt fix for FFmpeg install: ignore error (#2559)
v2.9.10,Video analysis on cropped videos: bug fixes for `extract_outlier_frames` and `create_video_with_all_detections` (#2538)
v2.9.10,"Update installTips.md (#2536)

- restructure a bit, and add tips of pip installing from repo with tags"
v2.9.10,"quick file fix (#2534)


* correct location of a file"
v2.9.10,"Adding a Quick Guide (from the wiki to the docs!) (#2532)

* Create single_animal_quick_guide.md

* Update _toc.yml

* Rename docs/tutorial.md to tutorial_maDLC.md"
v2.9.10,"Update COLAB_DLC_ModelZoo.ipynb (#2533)

* Update COLAB_DLC_ModelZoo.ipynb

* Update COLAB_DLC_ModelZoo.ipynb

fixed link"
v2.9.10,fix manual frame extraction with symlinks (#2527)
v2.9.10,Avoid infinite loop when there are no overlapping tracklets (#2525)
v2.9.10,"Use video crop coordinates appropriately in create_video_with_all_detections (#2524)

* Use video crop coordinates if defined

* Pass in a list of coordinates rather than a boolean"
