Version,Commit Message
2.8.0,Build a nightly package by default.
2.8.0,Environment-specific dependencies.
2.8.0,get the version from deepchem/__init__.py
2.8.0,nightly version : .devYearMonthDayHourMinute
2.8.0,Force to add `.dev` if `--release` option isn't passed when building
2.8.0,!/usr/bin/env python3
2.8.0,-*- coding: utf-8 -*-
2.8.0,Datasets and models used in the benchmark test
2.8.0,"irv, rf, rf_regression should be assigned manually"
2.8.0,Evaluate performances with different training set fraction
2.8.0,Datasets and models used in the benchmark test
2.8.0,Uncomment the two lines below if hyper_parameters are provided
2.8.0,"with open(os.path.join(out_path, dataset + model + '.pkl'), 'r') as f:"
2.8.0,hyper_parameters = pickle.load(f)
2.8.0,!/usr/bin/env python3
2.8.0,-*- coding: utf-8 -*-
2.8.0,Datasets and models used in the benchmark test
2.8.0,Load Delaney dataset
2.8.0,Get Metric
2.8.0,Fit trained model
2.8.0,Fit trained model
2.8.0,Set numpy seed
2.8.0,##Load data###
2.8.0,Use R2 classification metric
2.8.0,##Load data###
2.8.0,##Create model###
2.8.0,Featurize Kinase dataset
2.8.0,##Load data###
2.8.0,num_trials = 5
2.8.0,##Create model###
2.8.0,Use R2 classification metric
2.8.0,Force matplotlib to not use any Xwindows backend.
2.8.0,##Load data###
2.8.0,the histogram of the data
2.8.0,Set numpy seed
2.8.0,##Load data###
2.8.0,##Create model###
2.8.0,Use R2 classification metric
2.8.0,##Load data###
2.8.0,num_trials = 5
2.8.0,Set some global variables up top
2.8.0,Fit trained model
2.8.0,Featurize PCBA dataset
2.8.0,Initialize transformers
2.8.0,Fit trained model
2.8.0,Load sider models now
2.8.0,Load sweetlead dataset now. Pass in dataset object and appropriate
2.8.0,transformers to predict functions
2.8.0,##Load data###
2.8.0,##Create model###
2.8.0,Use R2 classification metric
2.8.0,##Load data###
2.8.0,Use R2 classification metric
2.8.0,##Load data###
2.8.0,##Create model###
2.8.0,##Load data###
2.8.0,"n_estimators=100, max_features=int(num_features/3),"
2.8.0,##Load data###
2.8.0,##Create model###
2.8.0,Use R2 classification metric
2.8.0,Fit trained model
2.8.0,Load Tox21 dataset
2.8.0,Fit models
2.8.0,Batch size of models
2.8.0,Fit trained model
2.8.0,Load Tox21 dataset
2.8.0,Fit models
2.8.0,Batch size of models
2.8.0,Only for debug!
2.8.0,Load Tox21 dataset
2.8.0,Fit models
2.8.0,Fit trained model
2.8.0,Load Tox21 dataset
2.8.0,Fit models
2.8.0,Batch size of models
2.8.0,Only for debug!
2.8.0,Load Tox21 dataset
2.8.0,Fit models
