Version,Commit Message
v0.15.1,mmap seems to be much more memory efficient
v0.15.1,Remove quotes from etag
v0.15.1,"If there is an etag, it's everything after the first period"
v0.15.1,"Otherwise, use None"
v0.15.1,"URL, so get it from the cache (downloading if necessary)"
v0.15.1,"File, and it exists."
v0.15.1,"File, but it doesn't exist."
v0.15.1,Something unknown
v0.15.1,Extract all the contents of zip file in current directory
v0.15.1,use model name as subfolder
v0.15.1,Lazy import
v0.15.1,output information
v0.15.1,Extract all the contents of zip file in current directory
v0.15.1,TODO(joelgrus): do we want to do checksums or anything like that?
v0.15.1,get cache path to put the file
v0.15.1,make HEAD request to check ETag
v0.15.1,add ETag to filename if it exists
v0.15.1,"etag = response.headers.get(""ETag"")"
v0.15.1,"Download to temporary file, then copy to cache dir once finished."
v0.15.1,Otherwise you get corrupt cache entries if the download gets interrupted.
v0.15.1,GET file object
v0.15.1,These defaults are the same as the argument defaults in tqdm.
v0.15.1,load_big_file is a workaround byhttps://github.com/highway11git
v0.15.1,to load models on some Mac/Windows setups
v0.15.1,see https://github.com/zalandoresearch/flair/issues/351
v0.15.1,first determine the distribution of classes in the dataset
v0.15.1,weight for each sample
v0.15.1,Create blocks
v0.15.1,shuffle the blocks
v0.15.1,concatenate the shuffled blocks
v0.15.1,Create blocks
v0.15.1,shuffle the blocks
v0.15.1,concatenate the shuffled blocks
v0.15.1,Build the regular expression pattern dynamically based on the provided symbols
v0.15.1,This will match any character from the symbols list that doesn't have spaces around it
v0.15.1,"Add space before and after symbols, where necessary"
v0.15.1,Ensure that we are adding a space only if there isn't one already
v0.15.1,increment for last token in sentence if not followed by whitespace
v0.15.1,this is the default init size of a lmdb database for embeddings
v0.15.1,get db filename from embedding name
v0.15.1,"In case initialization of cached version failed, just fallback to the original WordEmbeddings"
v0.15.1,SequenceTagger
v0.15.1,TextClassifier
v0.15.1,get db filename from embedding name
v0.15.1,if embedding database already exists
v0.15.1,"otherwise, push embedding to database"
v0.15.1,if embedding database already exists
v0.15.1,open the database in read mode
v0.15.1,we need to set self.k
v0.15.1,create and load the database in write mode
v0.15.1,"no idea why, but we need to close and reopen the environment to avoid"
v0.15.1,mdb_txn_begin: MDB_BAD_RSLOT: Invalid reuse of reader locktable slot
v0.15.1,when opening new transaction !
v0.15.1,init dictionaries
v0.15.1,"in order to deal with unknown tokens, add <unk>"
v0.15.1,set 'add_unk' if the dictionary was created with a version of Flair older than 0.9
v0.15.1,set 'add_unk' depending on whether <unk> is a key
v0.15.1,"if one embedding name, directly return it"
v0.15.1,"if multiple embedding names, concatenate them"
v0.15.1,First we remove any existing labels for this PartOfSentence in self.sentence
v0.15.1,labels also need to be deleted at Sentence object
v0.15.1,delete labels at object itself
v0.15.1,The Token is a special _PartOfSentence in that it may be initialized without a Sentence.
v0.15.1,"therefore, labels get added only to the Sentence if it exists"
