Commit Message,predict
Build a nightly package by default.,0
Environment-specific dependencies.,0
get the version from deepchem/__init__.py,0
nightly version : .devYearMonthDayHourMinute,0
Force to add `.dev` if `--release` option isn't passed when building,0
!/usr/bin/env python3,0
-*- coding: utf-8 -*-,0
Datasets and models used in the benchmark test,0
"irv, rf, rf_regression should be assigned manually",0
Evaluate performances with different training set fraction,0
Datasets and models used in the benchmark test,0
Uncomment the two lines below if hyper_parameters are provided,0
"with open(os.path.join(out_path, dataset + model + '.pkl'), 'r') as f:",0
hyper_parameters = pickle.load(f),0
!/usr/bin/env python3,0
-*- coding: utf-8 -*-,0
Datasets and models used in the benchmark test,0
Load Delaney dataset,0
Get Metric,0
Fit trained model,0
Fit trained model,0
Set numpy seed,0
##Load data###,0
Use R2 classification metric,0
##Load data###,0
##Create model###,0
Featurize Kinase dataset,0
##Load data###,0
num_trials = 5,0
##Create model###,0
Use R2 classification metric,0
Force matplotlib to not use any Xwindows backend.,0
##Load data###,0
the histogram of the data,0
Set numpy seed,0
##Load data###,0
##Create model###,0
Use R2 classification metric,0
##Load data###,0
num_trials = 5,0
Set some global variables up top,0
Fit trained model,0
Featurize PCBA dataset,0
Initialize transformers,0
Fit trained model,0
Load sider models now,0
Load sweetlead dataset now. Pass in dataset object and appropriate,0
transformers to predict functions,0
##Load data###,0
##Create model###,0
Use R2 classification metric,0
##Load data###,0
Use R2 classification metric,0
##Load data###,0
##Create model###,0
##Load data###,0
"n_estimators=100, max_features=int(num_features/3),",0
##Load data###,0
##Create model###,0
Use R2 classification metric,0
Fit trained model,0
Load Tox21 dataset,0
Fit models,0
Batch size of models,0
Fit trained model,0
Load Tox21 dataset,0
Fit models,0
Batch size of models,0
Only for debug!,0
Load Tox21 dataset,0
Fit models,0
Fit trained model,0
Load Tox21 dataset,0
Fit models,0
Batch size of models,0
Only for debug!,0
Load Tox21 dataset,0
Fit models,0
Fit trained model,0
Only for debug!,0
Load Tox21 dataset,0
Fit models,0
Fit trained model,0
Load Tox21 dataset,0
Fit models,0
Batch size of models,0
Load tox21 dataset,0
Fit models,0
Fit trained model,0
Only for debug!,0
Load Tox21 dataset,0
Fit models,0
Fit trained model,0
Only for debug!,0
Load Tox21 dataset,0
Fit models,0
Fit trained model,0
Only for debug!,0
Load Tox21 dataset,0
Fit models,0
Fit trained model,0
!/usr/bin/env python2,0
-*- coding: utf-8 -*-,0
Only for debug!,0
Load Tox21 dataset,0
Fit models,0
Fit trained model,0
Load tox21 dataset,0
Fit models,0
Batch size of models,0
Fit trained model,0
Only for debug!,0
Load Tox21 dataset,0
Fit models,0
Fit trained model,0
This example shows how to use Pandas to load data directly,0
without using a CSVLoader object. This may be useful if you,0
want the flexibility of processing your data with Pandas,0
directly.,0
Now let's convert from a dataset back to a pandas dataframe,0
"This example shows how to load data from a SDF file into DeepChem. The data in this SDF file is stored in field ""LogP(RRCK)""",0
Featurize FACTORS dataset,0
##Load data###,0
##Create model###,0
Use R2 classification metric,0
##Load data###,0
Use R2 classification metric,0
##Load data###,0
##Create model###,0
Use R2 classification metric,0
##Load data###,0
Force matplotlib to not use any Xwindows backend.,0
##Load data###,0
the histogram of the data,0
##Load data###,0
##Create model###,0
Load QM7 dataset,0
Fit models,0
Batch size of models,0
Fit trained model,0
Load Tox21 dataset,0
Fit models,0
Batch size of models,0
Fit trained model,0
Fit trained model,0
Fit trained model,0
Load Tox21 dataset,0
Fit models,0
Batch size of models,0
Fit trained model,0
Fit trained model,0
Load QM8 dataset,0
Fit models,0
Batch size of models,0
Fit trained model,0
Load Tox21 dataset,0
Fit models,0
Batch size of models,0
Fit trained model,0
Fit trained model,0
Set numpy seed,0
##Load data###,0
##Create model###,0
Use R2 classification metric,0
Load ChEMBL dataset,0
Fit models,0
Do setup required for tf/keras models,0
Number of features on conv-mols,0
Batch size of models,0
Fit trained model,0
DeepCrystal Technologies 2017 - Patrick Hop,0
MIT License - have fun!!,0
Set to higher values to get better numbers,0
======================================================================,0
"Run Benchmarks {GC-DNN, SVR, RF}",0
!/usr/bin/env python2,0
-*- coding: utf-8 -*-,0
Only for debug!,0
Load Delaney dataset,0
Load Delaney dataset,0
Fit models,0
Fit trained model,0
Load Delaney dataset,0
Fit models,0
Batch size of models,0
Fit trained model,0
Load Delaney dataset,0
Fit models,0
Batch size of models,0
Fit trained model,0
Only for debug!,0
Load Delaney dataset,0
Fit models,0
Fit trained model,0
!/usr/bin/env python2,0
-*- coding: utf-8 -*-,0
Load Delaney dataset,0
Fit models,0
Batch size of models,0
Fit trained model,0
Load Delaney dataset,0
Fit models,0
Do setup required for tf/keras models,0
Number of features on conv-mols,0
Batch size of models,0
Fit trained model,0
Only for debug!,0
Load Delaney dataset,0
Fit models,0
Fit trained model,0
Load Delaney dataset,0
Get Metric,0
Fit trained model,0
Only for debug!,0
Load Delaney dataset,0
Fit models,0
Fit trained model,0
Load MUV dataset,0
Fit models,0
Fit trained model,0
Evaluate train/test scores,0
Load MUV data,0
Build model,0
Fit trained model,0
Evaluate train/test scores,0
Extract active site,0
Featurize ligand,0
Default for CircularFingerprint,0
Featurize pocket,0
Note broadcast operation,0
Compute labels for pockets,0
Some complexes have labels but no PDB files. Filter these manually,0
Some of the ligand-names are of form (FMN ox). Use regex,0
to merge into form (FMN-ox),0
Filter if missing PDB files,0
Load PDBBind dataset,0
Define featurizers,0
Featurize Dataset,0
########################################################## DEBUG,0
########################################################## DEBUG,0
For stable runs,0
Fit trained model,0
4-fold splits,0
num positive/negative ligands,0
10 trials on test-set,0
Define metric,0
Get supports on test-set,0
Compute accuracies,0
Number of features on conv-mols,0
Batch size of models,0
graph_model = dc.nn.SequentialGraph(n_feat),0
Fit trained model,0
Test model,0
Join information for all tasks.,0
4-fold splits,0
num positive/negative ligands,0
Define metric,0
