Version,Commit Message
v1.8.1-windows,Copyright (c) Microsoft Corporation. All rights reserved.
v1.8.1-windows,Licensed under the MIT License.
v1.8.1-windows,read settings and override defaults
v1.8.1-windows,allow json overrides on a per-vehicle basis.
v1.8.1-windows,start server in async mode
v1.8.1-windows,check messages
v1.8.1-windows,plot red arrows for 30 seconds
v1.8.1-windows,plot magenta arrows for 15 seconds
v1.8.1-windows,plot red arrows for 10 seconds
v1.8.1-windows,plot 2 white arrows which are persistent
v1.8.1-windows,plot points
v1.8.1-windows,"plot line strip. 0-1, 1-2, 2-3"
v1.8.1-windows,"plot line list. 0-1, 2-3, 4-5. Must be even."
v1.8.1-windows,plot transforms
v1.8.1-windows,"client.simPlotTransforms(poses = [Pose(position_val=Vector3r(x,y,0), orientation_val=to_quaternion(pitch=0.0, roll=0.0, yaw=yaw)) for x, y, yaw in zip(np.linspace(0,10,10), np.linspace(0,0,10), np.linspace(0,np.pi,10))],"
v1.8.1-windows,"scale = 35, thickness = 5, duration = 1200.0, is_persistent = False)"
v1.8.1-windows,"client.simPlotTransforms(poses = [Pose(position_val=Vector3r(x,y,0), orientation_val=to_quaternion(pitch=0.0, roll=roll, yaw=0.0)) for x, y, roll in zip(np.linspace(0,10,10), np.linspace(1,1,10), np.linspace(0,np.pi,10))],"
v1.8.1-windows,"scale = 35, thickness = 5, duration = 1200.0, is_persistent = False)"
v1.8.1-windows,Access an existing light in the world
v1.8.1-windows,Destroy the light
v1.8.1-windows,Create a new light at the same pose
v1.8.1-windows,Change the light's intensity
v1.8.1-windows,asset_name = random.choice(assets)
v1.8.1-windows,Import this module to automatically setup path to local airsim module
v1.8.1-windows,This module first tries to see if airsim module is installed via pip
v1.8.1-windows,If it does then we don't do anything else
v1.8.1-windows,Else we look up grand-parent folder to see if it has airsim folder
v1.8.1-windows,and if it does then we add that in sys.path
v1.8.1-windows,this class simply tries to see if airsim
v1.8.1-windows,if airsim module is installed then don't do anything else
v1.8.1-windows,import pkgutil
v1.8.1-windows,airsim_loader = pkgutil.find_loader('airsim')
v1.8.1-windows,if airsim_loader is not None:
v1.8.1-windows,return
v1.8.1-windows,In settings.json first activate computer vision mode:
v1.8.1-windows,https://github.com/Microsoft/AirSim/blob/main/docs/image_apis.md#computer-vision-mode
v1.8.1-windows,monitor car state while you drive it manually.
v1.8.1-windows,(2.99792458 * 10^14 [micron/s])^2 * 10^12 to convert
v1.8.1-windows,denominator from microns^3 to microns * m^2)
v1.8.1-windows,First set everything to 0.
v1.8.1-windows,Next set all objects of interest provided to corresponding object IDs
v1.8.1-windows,segIdDict values MUST match tempEmissivityNew labels.
v1.8.1-windows,"Connect to AirSim, UAV mode."
v1.8.1-windows,Choose temperature values for winter or summer.
v1.8.1-windows,""""""""
v1.8.1-windows,winter
v1.8.1-windows,""""""""
v1.8.1-windows,summer
v1.8.1-windows,Read camera response.
v1.8.1-windows,Calculate radiance.
v1.8.1-windows,Set IDs in AirSim environment.
v1.8.1-windows,"airsim.write_pfm(os.path.normpath(filename + '.pfm'), airsim.get_pfm_array(response))"
v1.8.1-windows,save pic
v1.8.1-windows,Change the below dimensions appropriately for the camera settings
v1.8.1-windows,In settings.json first activate computer vision mode:
v1.8.1-windows,https://github.com/Microsoft/AirSim/blob/main/docs/image_apis.md#computer-vision-mode
v1.8.1-windows,"define abstract class to return next vector in the format (x,y,yaw)"
v1.8.1-windows,"compute vector, distance and angle to goal"
v1.8.1-windows,compute box of interest
v1.8.1-windows,scale by weight matrix (optional)
v1.8.1-windows,"img2d_box = np.multiply(img2d_box,w_mtx)"
v1.8.1-windows,detect collision
v1.8.1-windows,compute box of interest
v1.8.1-windows,detect collision
v1.8.1-windows,Same as above but decide to go left or right based on average or some metric like that
v1.8.1-windows,"compute resultant normalized vector, distance and angle"
v1.8.1-windows,compute bounding box size
v1.8.1-windows,convert horizonal fov to vertical fov
v1.8.1-windows,matrix with all ones
v1.8.1-windows,matrix with max weight in center and decreasing linearly with distance from center
v1.8.1-windows,matrix with max weight in center and decreasing quadratically with distance from center
v1.8.1-windows,"print (""Saving images to %s"" % tmp_dir)"
v1.8.1-windows,airsim.wait_key('Press any key to start')
v1.8.1-windows,"Define start position, goal and size of UAV"
v1.8.1-windows,Define parameters and thresholds
v1.8.1-windows,initial position
v1.8.1-windows,"predictControl = AvoidLeftIgonreGoal(hfov, coll_thres, yaw, limit_yaw, step)"
v1.8.1-windows,time.sleep(1)
v1.8.1-windows,get response
v1.8.1-windows,get numpy array
v1.8.1-windows,reshape array to 2D array H X W
v1.8.1-windows,write to png
v1.8.1-windows,"imsave(os.path.normpath(os.path.join(tmp_dir, ""depth_"" + str(z) + '.png')), generate_depth_viz(img2d,5))"
v1.8.1-windows,pose = client.simGetPose()
v1.8.1-windows,pp.pprint(pose)
v1.8.1-windows,time.sleep(5)
v1.8.1-windows,currently reset() doesn't work in CV mode. Below is the workaround
v1.8.1-windows,################### OLD CODE
v1.8.1-windows,timer = 0
v1.8.1-windows,time_obs = 50
v1.8.1-windows,bObstacle = False
v1.8.1-windows,if (bObstacle):
v1.8.1-windows,timer = timer + 1
v1.8.1-windows,if timer > time_obs:
v1.8.1-windows,bObstacle = False
v1.8.1-windows,timer = 0
v1.8.1-windows,else:
v1.8.1-windows,yaw = target_angle
v1.8.1-windows,"print (target_angle,target_vec,target_dist,x,y,goal[0],goal[1])"
v1.8.1-windows,if (np.average(img2d_box) < coll_thres):
v1.8.1-windows,"img2d_box_l = img2d_box = img2d[int((h-roi_h)/2):int((h+roi_h)/2),int((w-roi_w)/2)-50:int((w+roi_w)/2)-50]"
v1.8.1-windows,"img2d_box_r = img2d_box = img2d[int((h-roi_h)/2):int((h+roi_h)/2),int((w-roi_w)/2)+50:int((w+roi_w)/2)+50]"
v1.8.1-windows,"img2d_box_l_avg = np.average(np.multiply(img2d_box_l,w_mtx))"
v1.8.1-windows,"img2d_box_r_avg = np.average(np.multiply(img2d_box_r,w_mtx))"
v1.8.1-windows,"print('left: ', img2d_box_l_avg)"
v1.8.1-windows,"print('right: ', img2d_box_r_avg)"
v1.8.1-windows,if img2d_box_l_avg > img2d_box_r_avg:
v1.8.1-windows,##Go LEFT
