Version,Commit Message
Release-3.2.0,Long type node id
Release-3.2.0,"TODO: support String, Int, and Any type node id"
Release-3.2.0,@maxIndex: this variable contains the max index of node/word
Release-3.2.0,some params
Release-3.2.0,max index for node/word
Release-3.2.0,compute number of nodes for one row
Release-3.2.0,check the length of dot values
Release-3.2.0,merge dot values from all partitions
Release-3.2.0,Skip-Gram model
Release-3.2.0,Negative sampling
Release-3.2.0,used to accumulate the updates for input vectors
Release-3.2.0,Negative sampling
Release-3.2.0,accumulate for the hidden layer
Release-3.2.0,update output layer
Release-3.2.0,update the hidden layer
Release-3.2.0,update input
Release-3.2.0,Skip-Gram model
Release-3.2.0,Negative sampling
Release-3.2.0,used to accumulate the updates for input vectors
Release-3.2.0,Negative sampling
Release-3.2.0,accumulate for the hidden layer
Release-3.2.0,update output layer
Release-3.2.0,update the hidden layer
Release-3.2.0,update input
Release-3.2.0,update output
Release-3.2.0,Some params
Release-3.2.0,compute number of nodes for one row
Release-3.2.0,get nodeId
Release-3.2.0,get  data the nodeId mapped 1.neighbors 2.tags 3.attrs
Release-3.2.0,write out edges
Release-3.2.0,write out tags
Release-3.2.0,write out attrs
Release-3.2.0,Get node neighbor number
Release-3.2.0,start sampling by alias table for count times
Release-3.2.0,Long type node id
Release-3.2.0,Get node neighbor number
Release-3.2.0,start sampling by alias table for count times
Release-3.2.0,int index = Math.abs(r.nextInt()) % nodeNeighbors.length;
Release-3.2.0,float ac = Math.abs(r.nextFloat());
Release-3.2.0,Get matrix meta
Release-3.2.0,Split
Release-3.2.0,Generate Part psf get param
Release-3.2.0,Get nodes and features
Release-3.2.0,return null;
Release-3.2.0,compress the neighbor IDs
Release-3.2.0,write out edges
Release-3.2.0,write out tags
Release-3.2.0,Get node neighbors
Release-3.2.0,Get nodes and features
Release-3.2.0,Get nodes and features
Release-3.2.0,Get nodes and features
Release-3.2.0,Get matrix meta
Release-3.2.0,Split
Release-3.2.0,Generate Part psf get param
Release-3.2.0,Get nodes and features
Release-3.2.0,Long type node id
Release-3.2.0,Get data
Release-3.2.0,Get matrix meta
Release-3.2.0,Split
Release-3.2.0,Generate Part psf get param
Release-3.2.0,Get matrix meta
Release-3.2.0,Split
Release-3.2.0,Generate Part psf get param
Release-3.2.0,Just return original features
Release-3.2.0,Use by line with weight
Release-3.2.0,get nodeId
Release-3.2.0,get  data the nodeId mapped 1.neighbors 2.tags 3.attrs
Release-3.2.0,write out edges
Release-3.2.0,write out tags
Release-3.2.0,write out attrs
Release-3.2.0,clear();
Release-3.2.0,evict entry with the smallest degree
Release-3.2.0,// calculate bias
Release-3.2.0,if (param.getPartKey().getStartCol() <= 0 && param.getPartKey().getEndCol() > 0) {
Release-3.2.0,"double zVal = VectorUtils.getDouble(z, 0);"
Release-3.2.0,"double nVal = VectorUtils.getDouble(n, 0);"
Release-3.2.0,"VectorUtils.setFloat(w, 0, (float) (-1.0 * alpha * zVal / (beta + Math.sqrt(nVal))));"
Release-3.2.0,}
