Commit Message,predict
-*- coding: utf-8 -*-,0
,0
Configuration file for the Sphinx documentation builder.,0
,0
This file does only contain a selection of the most common options. For a,0
full list see the documentation:,0
http://www.sphinx-doc.org/en/stable/config,0
-- Path setup --------------------------------------------------------------,0
"If extensions (or modules to document with autodoc) are in another directory,",0
add these directories to sys.path here. If the directory is relative to the,0
"documentation root, use os.path.abspath to make it absolute, like shown here.",0
,0
-- Project information -----------------------------------------------------,0
Version Information (for version-switcher),0
-- General configuration ---------------------------------------------------,0
"If your documentation needs a minimal Sphinx version, state it here.",0
,0
needs_sphinx = '1.0',0
"Add any Sphinx extension module names here, as strings. They can be",0
extensions coming with Sphinx (named 'sphinx.ext.*') or your custom,0
ones.,0
sphinx-panels shouldn't add bootstrap css since the pydata-sphinx-theme,0
already loads it,0
"Add any paths that contain templates here, relative to this directory.",0
The suffix(es) of source filenames.,0
You can specify multiple suffix as a list of string:,0
,0
"source_suffix = ['.rst', '.md']",0
The master toctree document.,0
The language for content autogenerated by Sphinx. Refer to documentation,0
for a list of supported languages.,0
,0
This is also used if you do content translation via gettext catalogs.,0
"Usually you set ""language"" from the command line for these cases.",0
"List of patterns, relative to source directory, that match files and",0
directories to ignore when looking for source files.,0
This pattern also affects html_static_path and html_extra_path .,0
The name of the Pygments (syntax highlighting) style to use.,0
-- Options for HTML output -------------------------------------------------,0
The theme to use for HTML and HTML Help pages.  See the documentation for,0
a list of builtin themes.,0
,0
Theme options are theme-specific and customize the look and feel of a theme,0
"further.  For a list of options available for each theme, see the",0
documentation.,0
,0
"Add any paths that contain custom static files (such as style sheets) here,",0
"relative to this directory. They are copied after the builtin static files,",0
"so a file named ""default.css"" will overwrite the builtin ""default.css"".",0
"Custom sidebar templates, must be a dictionary that maps document names",0
to template names.,0
,0
The default sidebars (for documents that don't match any pattern) are,0
defined by theme itself.  Builtin themes are using these templates by,0
"default: ``['localtoc.html', 'relations.html', 'sourcelink.html',",0
'searchbox.html']``.,0
,0
html_sidebars = {},0
-- Options for HTMLHelp output ---------------------------------------------,0
Output file base name for HTML help builder.,0
-- Options for LaTeX output ------------------------------------------------,0
The paper size ('letterpaper' or 'a4paper').,0
,0
"'papersize': 'letterpaper',",0
"The font size ('10pt', '11pt' or '12pt').",0
,0
"'pointsize': '10pt',",0
Additional stuff for the LaTeX preamble.,0
,0
"'preamble': '',",0
Latex figure (float) alignment,0
,0
"'figure_align': 'htbp',",0
Grouping the document tree into LaTeX files. List of tuples,0
"(source start file, target name, title,",0
"author, documentclass [howto, manual, or own class]).",0
-- Options for manual page output ------------------------------------------,0
One entry per manual page. List of tuples,0
"(source start file, name, description, authors, manual section).",0
-- Options for Texinfo output ----------------------------------------------,0
Grouping the document tree into Texinfo files. List of tuples,0
"(source start file, target name, title, author,",0
"dir menu entry, description, category)",0
-- Options for Epub output -------------------------------------------------,0
Bibliographic Dublin Core info.,0
The unique identifier of the text. This can be a ISBN number,0
or the project homepage.,0
,0
epub_identifier = '',0
A unique identification for the text.,0
,0
epub_uid = '',0
A list of files that should not be packed into the epub file.,0
-- Extension configuration -------------------------------------------------,0
-- Options for todo extension ----------------------------------------------,1
"If true, `todo` and `todoList` produce output, else they produce nothing.",1
init docstrings should also be included in class,0
Only uncomment for faster testing/building docs without compiling notebooks,0
"nbsphinx_execute = ""never""",0
Patch all of the published versions,0
check old RST version (<= v0.8),0
Remove old version links,0
Append updated version links,0
requires stdin input for identify in weighting sampler,0
will be removed,0
"applied notebook, not necessary to test each time",0
needs xgboost too,0
Slow Notebooks,0
"TODO: should probably move more notebooks here to ignore, because",1
most get tested by the documentation generation.,0
Adding the dowhy root folder to the python path so that jupyter notebooks,0
can import dowhy,0
"""--ExecutePreprocessor.timeout=600"",",0
"self.df = pd.read_csv(os.path.join(DATA_PATH,'dgp_1/acic_1_1_data.csv'))",0
self.ate = np.mean(self.df['y1'] - self.df['y0']),0
treated = self.df[self.df['z']==1],0
self.att = np.mean(treated['y1'] - treated['y0']),0
def test_average_treatment_effect(self):,0
est_ate = 1,0
bias = est_ate - self.ate,0
print(bias),0
"self.assertAlmostEqual(self.ate, est_ate)",0
def test_average_treatment_effect_on_treated(self):,0
est_att = 1,0
self.att=1,0
bias = est_att - self.att,0
print(bias),0
"self.assertAlmostEqual(self.att, est_att)",0
removing two common causes,0
removing two common causes,0
removing two common causes,0
removing two common causes,0
removing two common causes,0
"Remove graph variable with name ""W0"" from observed data.",0
Ensure that a log record exists that provides a more detailed view,0
of observed and unobserved graph variables (counts and variable names.),0
"Default == operator tests if same object. If same object, don't need to check type.",0
"num_frontdoor_variables=1,",0
creating nx graph instance,0
to be used later for a test. Does not include the replace operation,0
check if all partial R^2 values are between 0 and 1,0
We calculate adjusted estimates for two sets of partial R^2 values.,0
Test if hypothetical confounding by unobserved confounder u1 leads to an adjusted effect that is farther from the original estimate as compared to u2,0
Creating a model with no unobserved confounders,0
check if all partial R^2 values are between 0 and 1,0
"for a dataset with no confounders, the robustness value should be higher than a given threshold (0.95 in our case)",0
Non Parametric estimator,0
We calculate adjusted estimates for two sets of partial R^2 values.,0
adjusted lower ate bound for confounder u1 where r2tu_w = 0.7 and r2yu_tw = 0.9,0
adjusted lower ate bound for confounder u2 where r2tu_w = 0.2 and r2yu_tw = 0.3,0
adjusted upper ate bound for confounder u1 where r2tu_w = 0.7 and r2yu_tw = 0.9,0
adjusted upper ate bound for confounder u2 where r2tu_w = 0.2 and r2yu_tw = 0.3,0
