Commit Message,predict
update branch name,0
rebuilt site.,0
4.0.2 check passing,0
update description,0
passing on 3.6.2,0
working through tests.,0
"Merge pull request #1288 from HealthCatalyst/cran_release

Cran release for 2.4",0
removed forcats,0
Passing again.,0
Rebuilt site :),0
fix test for cran,0
updated date,0
"Merge pull request #1287 from HealthCatalyst/3.6-fix

Fixed all tests, passing locally.",0
changed a test var.,0
added data to explore test.,0
yml update,0
new unnest format,0
Warnings not errors.,0
small yml,0
removed addons,0
github...,0
moving to binary,0
stringi,0
added stringr,0
add knitr to env build,0
Merge branch '3.6-fix' of https://github.com/HealthCatalyst/healthcareai-r into 3.6-fix,0
Fixed lintr issue with paths.,0
Merge branch 'master' into 3.6-fix,0
"Fixed all tests, passing locally.",0
"Merge pull request #1286 from HealthCatalyst/3.6-fix

3.6 fix",0
changed ratio to fix one test.,0
fixed hopefully.,0
all passing 3.5.3 locally,0
another test.,0
local cran working.,0
"tests working, cran failing",0
"Merge pull request #1284 from HealthCatalyst/trav_app

Trav app",0
tests working local.,0
Removed appveyor status,0
removed appveyor,0
no one line,0
added secure PAT,0
updated error message from recipes,0
"Merge pull request #1283 from HealthCatalyst/app_build

2 tests",0
2 tests,0
"Merge pull request #1282 from HealthCatalyst/fix_build

broken multiclass tests are fixed",0
broken multiclass tests are fixed,0
Bug fixes for 2.3 CRAN,0
Fixed a bug with R-dev,0
changed maintainer,0
add rex,0
"Merge pull request #1281 from HealthCatalyst/rex_1280_storecorrectversion

changed packageVersion",0
updated NEWS.md,0
changed packageVersion,0
"Merge pull request #1279 from HealthCatalyst/max_changes

Max changes",0
updated NEWS.md,0
Updated package version and wrote step_dummy,0
added tests for coverage,0
removed broom dependency in testing,0
"refactoring, correcting tests, and linting",0
"Merge pull request #1277 from topepo/master

Recipes and tidy changes",0
documentation update,0
new_data change plus id field,0
new_data change,0
step_pca arg name change plus move to update_role,0
added id arg,0
"get tidy from generics, export specific methods, setup remotes",0
"Merge pull request #1272 from HealthCatalyst/rex_694_locfimputation

Rex 694 locfimputation",0
added commas,0
Merge branch 'rex_694_locfimputation' of github.com:HealthCatalyst/healthcareai-r into rex_694_locfimputation,0
little bug in testing,0
little bug in testing,0
documentation and linting,0
merge master,0
add test for prep_data for locfimpute,0
link up new step to hcai_impute,0
new locf step and tests,0
extra period,0
"Merge pull request #1271 from HealthCatalyst/rex_1254_bugnumericknnimpute

Rex 1254 bugnumericknnimpute",0
adjusted warning message,0
Merge branch 'rex_1254_bugnumericknnimpute' of github.com:HealthCatalyst/healthcareai-r into rex_1254_bugnumericknnimpute,0
fixed warning message?,0
Merge branch 'master' into rex_1254_bugnumericknnimpute,0
Merge branch 'master' into rex_1254_bugnumericknnimpute,0
"Merge pull request #1270 from HealthCatalyst/rex_795_updatehcaiimputewarning

Rex 795 updatehcaiimputewarning",0
fixed hcai-impute bug,0
changing warning to message so that it is visible,0
linting,0
throw new warnings if there is a problem with recipes,0
fix bug that was introduced in renaming variable,0
consistent spelling,0
clarified warning messages and suppressed other confusing warning messages,0
adjust warning messages and documentation,0
refactored warning message,0
"Merge pull request #1269 from HealthCatalyst/mike_1263-4_multibus

Mike 1263 multiclass plot bug",0
Merge branch 'master' into mike_1263-4_multibus,0
fixing indents,0
"Merge pull request #1268 from HealthCatalyst/mike_1250_performance

Revised text and updated article",0
wording,0
fixed lints.,0
bugs in multiclass plotting fixed,0
text size and angle addressed.,0
Revised text and updated article,0
"Merge pull request #1261 from HealthCatalyst/rex_1257_predictreleveloutcome

`Predict()` does not relevel outcome",0
merged master,0
"Merge pull request #1259 from HealthCatalyst/rex_1130_sanitizephi

sanitize models of phi",0
merged master,0
merged master,0
Merge branch 'rex_1257_predictreleveloutcome' of github.com:HealthCatalyst/healthcareai-r into rex_1257_predictreleveloutcome,0
Merge branch 'master' into rex_1257_predictreleveloutcome,0
"Merge pull request #1262 from HealthCatalyst/rex_1252_quoteloadmodelssuggestion

added quotes to filename in load_models",0
Merge branch 'master' into rex_1252_quoteloadmodelssuggestion,0
"Merge pull request #1240 from HealthCatalyst/rex_1142_travisreflevelhandling

1142 fixing travis on ref level handling",0
merged master,0
Merge branch 'master' into rex_1257_predictreleveloutcome,0
Merge branch 'master' into rex_1130_sanitizephi,0
Merge branch 'master' into rex_1252_quoteloadmodelssuggestion,0
"Merge pull request #1221 from NateGarrettHC/master

Issue #701 PCA attempt",0
testing with a mock,0
documentation,0
space after column,0
added quotes to filename in load_models,0
Merge branch 'master' into rex_1257_predictreleveloutcome,0
using forcats::fct_relevel() only when oucomes are present,0
added forcats dependency,0
documentation,0
merged upstream,0
replace ref_levels with make_dummies,0
merged master,0
adjusted message in print.predicted_df,0
fixed various messages and comments,0
simplify messages,0
change explore message,0
Merge branch 'master' into rex_1130_sanitizephi,0
Merge branch 'master' into master,0
Removing lint,0
"Added warning for users saying center and scaled get set to TRUE if PCA is set to TRUE or some integer.
Suppressed those warnings in the test after it is already checked to work to avoid excessive warnings during test.",0
"Merge pull request #1260 from HealthCatalyst/rex_1255_preppedmachinelearn

Write error message and test",0
relevel target column,0
"Added tests, changed description wording, changed default of center and scale to change to PCA under the hood",0
fixed old test that fed prepped object to machine_learn,0
Write error message and test,0
remove whitespace,0
documentation,0
print.predictions_df message when no data,0
mi has_training_data distributed in predict,0
added has_training_data to model info list,0
add explore error when no data,0
removed phi in save_load,0
add sanitize_phi to save_load,0
linting,0
"testing print.interpret, wrote get_recipe_step",0
fixing print.step_dummy_hcai,0
documented,0
Changed from isFALSE for old releases of R.,0
fixed typo in test file,0
"Finalized PCA functionality in prep_data.
Added test file for PCA functionality.",0
taking latest data_prep,0
Updating prep_data.R for PCA parameter,0
removed one_hot option,0
extra lines are superfluous,0
"merged master and changed seed in explore

Merge branch 'master' into rex_1142_travisreflevelhandling

# Conflicts:
#	R/prep_data.R
#	man/prep_data.Rd
#	tests/testthat/test-prep_data.R",0
"Merge pull request #1251 from HealthCatalyst/levy1149site

Update docs site for v2.2",0
site cleanup,0
update getting started vignette,0
update news,0
update _pkgdown and regenerate site,0
"CRAN v2.2.0

Levy1229cran",0
performance vignette builds,0
update version and date,0
speed up examples,0
"Merge pull request #1247 from HealthCatalyst/levy1245

Keep pre-prep data and require prep before training",0
Merge branch 'master' into levy1245,0
"Merge pull request #1227 from HealthCatalyst/rex_804_improveddatetime

Make datetime features more useful and less wide",0
Merge branch 'master' into rex_804_improveddatetime,0
"Merge pull request #1230 from HealthCatalyst/rex_1219_machinelearnmetricarg

Add metric argument to machine_learn",0
merge conflicts,0
merge upstream,0
merged master,0
allow convert_dates to be logical,0
merge master again,0
Reupdated all the metric parameters,0
merged master,0
merge master and resolve conflicts,0
Outcomes from predict are always in post-prep form,0
"Merge pull request #1248 from HealthCatalyst/rex_1137_trainingrememberoutcome

outcome should be optional in training function if provided to prep_data",0
consistent documentation of metric,0
merge multiclass from master and resolve conflicts,0
added to description of outcome parameter and removed examples,0
merged master,0
document,0
Throw informative error when no outcome and no recipe is given,0
linting,0
documented,0
allowed multiclass metrics,0
merge master,0
allowed selection of outcome in training_setup,0
merged master,0
merged master,0
"Merge pull request #1233 from HealthCatalyst/mikem_727_multiclasstraining

Multiclass BonanzaR",0
rex feedback,0
linting,0
testing set_default_metric,0
wrote additional tests for check_metric,0
adding global,0
Throw warning for unacceptable metric and write tests,0
documentation,0
fix docs,0
Merge branch 'master' into rex_1219_machinelearnmetricarg,0
revert to original version of Roxygen2,0
revert to original version of Roxygen2,0
update Roxygen,0
linting,0
added encoding and description,0
update docs to say that prep_data is required,0
remove code from as.model_list for wrapping caret-trained models. add training data dims as model_list attr,0
devtools::document(),0
explore doesn't warn for glm if numerics were scaled,0
devtools::document(),0
test scaled variables work with explore,0
tests added for convert_to_circular and ord2fac,0
no warning for unique DTS character columns,0
clarified documentation,0
DTS will never be unique columns,0
"Revert ""manually revert 2a1bbe5 logicals fix in explore, leaving test""

This reverts commit 56cf84db2386ca0c7a57cffd13d1b264bdc04e91.",0
explore mostly back up,0
"manually revert 2a1bbe5 logicals fix in explore, leaving test",0
Merge branch 'master' into rex_804_improveddatetime,0
lots of cleanup after changing training data storage,0
remove stale code that no longer using,0
removed examples that can't run on CI,0
last couple minor errors,0
"added no_prep option to prep_data, keep ID cols with training data, add convert-logicals arg",0
Merge branch 'master' into mikem_727_multiclasstraining,0
errors to non-supported functions.,0
switch from keeping prepped to unprepped nearly done,0
linting,0
refactor interpret and prep_data to use new step,0
write new version of step_dummy,0
PR changes except for non-supported functions.,0
another test.,0
tests and check passing,0
Merge branch 'master' into rex_1142_travisreflevelhandling,0
add print.interpret and ref levels to interpret,0
"Merge pull request #1242 from HealthCatalyst/levy1235aupr

Levy1235aupr",0
reverted implementing set-refs,0
Merge branch 'master' into levy1235aupr,0
prep data in all circumstances,0
add prep data testing,0
Make positive class the outcome reference level. Fixes #1235,0
"Merge pull request #1241 from HealthCatalyst/mikem_709_plot

plot multi MVP + tests",0
plot multi MVP + tests,0
added refs to prep_data,0
"Revert ""Fix AUPR wrongness in print.predicted_df""

This reverts commit bf58a0f6a3dd4c9b549d3e2535c3b1b10c8645fb.",0
removed global and added independent function,0
added globals,0
Merge branch 'master' into mikem_727_multiclasstraining,0
predict + tests,0
"Merge pull request #1237 from HealthCatalyst/levy1236explore

In explore make once-logicals into numerics. Fixes #1236",0
Fix AUPR wrongness in print.predicted_df,0
prep_data in deployment can succeed with warning if NZV columns are omitted,0
In explore make once-logicals into numerics. Fixes #1236,0
comment clarifying how and why we calculate performance metrics on training data the way we do,0
"Merge pull request #1224 from HealthCatalyst/levy881cf

Counterfactual predictions",0
revised explore and plot.explore,0
merge master,0
"Merge pull request #1231 from HealthCatalyst/levy858classes

Predict groups",0
rename predict_counterfactuals to explore,0
lints and stuff,0
docs for metrics.,0
tests passing.,0
lots of predict examples,0
get_cutoffs,0
many tests added,0
Merge branch 'levy881cf' of https://github.com/HealthCatalyst/healthcareai-r into levy881cf,0
Merge remote-tracking branch 'refs/remotes/origin/master' into levy881cf,0
tests and lints,0
added predict with outcome_groups eg to get_thresholds,0
Add groups to classification-predictions plots. Update predict egs,0
"Training runs, needs tests",0
outcome_groups done,0
risk groups done,0
risk groups implemented,0
Changes made based on Mike's suggestions.,0
tests,0
arguments for class predictions and risk groups,0
document,0
"Mhttps://github.com/HealthCatalyst/healthcareai-r.giterge remote-tracking branch 'upstream/master'

Updating local master",0
"Emphasize that data will be wider, but more readable",0
"use mutate, limit line length",0
more tests,0
suppress warnings on predict in counterfactuals,0
linting,0
documented,0
more descriptive titles for tests,0
"added documentation example, and reformatted",0
setup mock testing,0
adding metric to machine_learn and fix documentation,0
"Cleanup, docs, examples, checks",0
linting,0
functionality and tests in place,0
export Mode,0
added additional tests,0
Merge branch 'master' into rex_804_improveddatetime,0
removed unnecessary double comment,0
clarify documentation for new code,0
Fixing illustrative examples,0
plot counterfactuals refactored,0
refactored tests for coverage,0
changed feature to feature_type,0
refactor convert_dates to get hours,0
plot.sim working; about to refactor to bring more info from simulate,0
Made PCA integer or logical. Changed default of center and stage to PCA. Added checks for PCA parameter. Changed to step_kpca instead of step_pca. Made PCA feed step_kpca so user can define number of principle components.,0
removed stale code,0
refactored testing before eliminated stale code,0
plot.simulated_df basically done,0
Updated documentation,0
refactor and simplify,0
refactor convert_dates,0
Merge branch 'master' into levy881cf,0
"Merge pull request #1223 from HealthCatalyst/rex_1201_prepdatalogpredictors

prep_data doesn't handle logical predictors",0
started plot.simulated_df,0
Closes #1225 by avoiding predicted_df class,0
"found step_date_hcai tests, deleted unneeded file",0
exploring circular variables,0
"examples, mostly",0
functional and tested,0
added comment for help,0
restore original spacing,0
linting,0
simplified and tested,0
done with varying variables,0
Mode can take frequency table,0
get_factor_levels as table to assist simulate,0
minor updates,0
minimal example test error,0
Merge branch 'master' into levy881cf,0
some tests,0
Merge branch 'master' into rex_1201_prepdatalogpredictors,0
