Version,Commit Message
v0.15.1,"If both a .pyx and a .c file exist, we assume the .c file is up to date and don't force a recompile"
v0.15.1,configuration is all pulled from setup.cfg
v0.15.1,-*- coding: utf-8 -*-
v0.15.1,
v0.15.1,Configuration file for the Sphinx documentation builder.
v0.15.1,
v0.15.1,This file does only contain a selection of the most common options. For a
v0.15.1,full list see the documentation:
v0.15.1,http://www.sphinx-doc.org/en/main/config
v0.15.1,-- Path setup --------------------------------------------------------------
v0.15.1,"If extensions (or modules to document with autodoc) are in another directory,"
v0.15.1,add these directories to sys.path here. If the directory is relative to the
v0.15.1,"documentation root, use os.path.abspath to make it absolute, like shown here."
v0.15.1,
v0.15.1,-- Project information -----------------------------------------------------
v0.15.1,-- General configuration ---------------------------------------------------
v0.15.1,"If your documentation needs a minimal Sphinx version, state it here."
v0.15.1,
v0.15.1,needs_sphinx = '1.0'
v0.15.1,"Add any Sphinx extension module names here, as strings. They can be"
v0.15.1,extensions coming with Sphinx (named 'sphinx.ext.*') or your custom
v0.15.1,ones.
v0.15.1,TODO: enable type aliases
v0.15.1,napoleon_preprocess_types = True  # needed for type aliases to work
v0.15.1,napoleon_type_aliases = {
v0.15.1,"""array_like"": "":term:`array_like`"","
v0.15.1,"""ndarray"": ""~numpy.ndarray"","
v0.15.1,"""RandomState"": "":class:`~numpy.random.RandomState`"","
v0.15.1,"""DataFrame"": "":class:`~pandas.DataFrame`"","
v0.15.1,"""Series"": "":class:`~pandas.Series`"","
v0.15.1,}
v0.15.1,"Add any paths that contain templates here, relative to this directory."
v0.15.1,The suffix(es) of source filenames.
v0.15.1,You can specify multiple suffix as a list of strings:
v0.15.1,
v0.15.1,"source_suffix = ['.rst', '.md']"
v0.15.1,The root toctree document.
v0.15.1,The language for content autogenerated by Sphinx. Refer to documentation
v0.15.1,for a list of supported languages.
v0.15.1,
v0.15.1,This is also used if you do content translation via gettext catalogs.
v0.15.1,"Usually you set ""language"" from the command line for these cases."
v0.15.1,"List of patterns, relative to source directory, that match files and"
v0.15.1,directories to ignore when looking for source files.
v0.15.1,This pattern also affects html_static_path and html_extra_path.
v0.15.1,The name of the Pygments (syntax highlighting) style to use.
v0.15.1,-- Options for HTML output -------------------------------------------------
v0.15.1,The theme to use for HTML and HTML Help pages.  See the documentation for
v0.15.1,a list of builtin themes.
v0.15.1,
v0.15.1,Theme options are theme-specific and customize the look and feel of a theme
v0.15.1,"further.  For a list of options available for each theme, see the"
v0.15.1,documentation.
v0.15.1,
v0.15.1,"Add any paths that contain custom static files (such as style sheets) here,"
v0.15.1,"relative to this directory. They are copied after the builtin static files,"
v0.15.1,"so a file named ""default.css"" will overwrite the builtin ""default.css""."
v0.15.1,html_static_path = ['_static']
v0.15.1,"Custom sidebar templates, must be a dictionary that maps document names"
v0.15.1,to template names.
v0.15.1,
v0.15.1,The default sidebars (for documents that don't match any pattern) are
v0.15.1,defined by theme itself.  Builtin themes are using these templates by
v0.15.1,"default: ``['localtoc.html', 'relations.html', 'sourcelink.html',"
v0.15.1,'searchbox.html']``.
v0.15.1,
v0.15.1,html_sidebars = {}
v0.15.1,-- Options for HTMLHelp output ---------------------------------------------
v0.15.1,Output file base name for HTML help builder.
v0.15.1,-- Options for LaTeX output ------------------------------------------------
v0.15.1,The paper size ('letterpaper' or 'a4paper').
v0.15.1,
v0.15.1,"'papersize': 'letterpaper',"
v0.15.1,"The font size ('10pt', '11pt' or '12pt')."
v0.15.1,
v0.15.1,"'pointsize': '10pt',"
v0.15.1,Additional stuff for the LaTeX preamble.
v0.15.1,
v0.15.1,"'preamble': '',"
v0.15.1,Latex figure (float) alignment
v0.15.1,
v0.15.1,"'figure_align': 'htbp',"
v0.15.1,Grouping the document tree into LaTeX files. List of tuples
v0.15.1,"(source start file, target name, title,"
v0.15.1,"author, documentclass [howto, manual, or own class])."
v0.15.1,-- Options for manual page output ------------------------------------------
v0.15.1,One entry per manual page. List of tuples
v0.15.1,"(source start file, name, description, authors, manual section)."
v0.15.1,-- Options for Texinfo output ----------------------------------------------
v0.15.1,Grouping the document tree into Texinfo files. List of tuples
v0.15.1,"(source start file, target name, title, author,"
v0.15.1,"dir menu entry, description, category)"
v0.15.1,-- Options for Epub output -------------------------------------------------
v0.15.1,Bibliographic Dublin Core info.
v0.15.1,The unique identifier of the text. This can be a ISBN number
v0.15.1,or the project homepage.
v0.15.1,
v0.15.1,epub_identifier = ''
v0.15.1,A unique identification for the text.
v0.15.1,
v0.15.1,epub_uid = ''
v0.15.1,A list of files that should not be packed into the epub file.
v0.15.1,-- Extension configuration -------------------------------------------------
v0.15.1,-- Options for intersphinx extension ---------------------------------------
v0.15.1,Example configuration for intersphinx: refer to the Python standard library.
v0.15.1,-- Options for todo extension ----------------------------------------------
v0.15.1,"If true, `todo` and `todoList` produce output, else they produce nothing."
v0.15.1,-- Options for doctest extension -------------------------------------------
v0.15.1,we can document otherwise excluded entities here by returning False
v0.15.1,or skip otherwise included entities by returning True
v0.15.1,Copyright (c) PyWhy contributors. All rights reserved.
v0.15.1,Licensed under the MIT License.
v0.15.1,Calculate residuals
v0.15.1,Estimate E[T_res | Z_res]
v0.15.1,TODO. Deal with multi-class instrument
v0.15.1,Calculate nuisances
v0.15.1,Estimate E[T_res | Z_res]
v0.15.1,Copyright (c) PyWhy contributors. All rights reserved.
v0.15.1,Licensed under the MIT License.
v0.15.1,"We do a three way split, as typically a preliminary theta estimator would require"
v0.15.1,many samples. So having 2/3 of the sample to train model_theta seems appropriate.
v0.15.1,TODO. Deal with multi-class instrument
v0.15.1,Estimate final model of theta(X) by minimizing the square loss:
v0.15.1,"(prel_theta(X) + (Y_res - prel_theta(X) * T_res) * Z_res / cov[T,Z | X] - theta(X))^2"
v0.15.1,"We clip the covariance so that it is bounded away from zero, so as to reduce variance"
v0.15.1,at the expense of some small bias. For points with very small covariance we revert
v0.15.1,to the model-based preliminary estimate and do not add the correction term.
v0.15.1,Estimate preliminary theta in cross fitting manner
v0.15.1,Estimate p(X) = E[T | X] in cross fitting manner
v0.15.1,Estimate r(Z) = E[Z | X] in cross fitting manner
v0.15.1,Calculate residual T_res = T - p(X) and Z_res = Z - r(X)
v0.15.1,Estimate residual Y_res = Y - q(X) = Y - E[Y | X] in cross fitting manner
