Version,Commit Message
0.13.0,This file is here so that when running from the root folder
0.13.0,./imblearn is added to sys.path by pytest.
0.13.0,See https://docs.pytest.org/en/latest/pythonpath.html for more details.
0.13.0,"For example, this allows to build extensions in place and run pytest"
0.13.0,doc/modules/clustering.rst and use imblearn from the local folder
0.13.0,rather than the one from site-packages.
0.13.0,use legacy numpy print options to avoid failures due to NumPy 2.+ scalar
0.13.0,representation
0.13.0,-*- coding: utf-8 -*-
0.13.0,
0.13.0,"imbalanced-learn documentation build configuration file, created by"
0.13.0,sphinx-quickstart on Mon Jan 18 14:44:12 2016.
0.13.0,
0.13.0,This file is execfile()d with the current directory set to its
0.13.0,containing dir.
0.13.0,
0.13.0,Note that not all possible configuration values are present in this
0.13.0,autogenerated file.
0.13.0,
0.13.0,All configuration values have a default; values that are commented out
0.13.0,serve to show the default.
0.13.0,"If extensions (or modules to document with autodoc) are in another directory,"
0.13.0,add these directories to sys.path here. If the directory is relative to the
0.13.0,"documentation root, use os.path.abspath to make it absolute, like shown here."
0.13.0,-- General configuration ------------------------------------------------
0.13.0,"If your documentation needs a minimal Sphinx version, state it here."
0.13.0,needs_sphinx = '1.0'
0.13.0,"Add any Sphinx extension module names here, as strings. They can be"
0.13.0,extensions coming with Sphinx (named 'sphinx.ext.*') or your custom
0.13.0,ones.
0.13.0,Specify how to identify the prompt when copying code snippets
0.13.0,"Add any paths that contain templates here, relative to this directory."
0.13.0,The suffix of source filenames.
0.13.0,The master toctree document.
0.13.0,General information about the project.
0.13.0,"The version info for the project you're documenting, acts as replacement for"
0.13.0,"|version| and |release|, also used in various other places throughout the"
0.13.0,built documents.
0.13.0,
0.13.0,The short X.Y version.
0.13.0,"The full version, including alpha/beta/rc tags."
0.13.0,"List of patterns, relative to source directory, that match files and"
0.13.0,directories to ignore when looking for source files.
0.13.0,The reST default role (used for this markup: `text`) to use for all
0.13.0,documents.
0.13.0,"If true, '()' will be appended to :func: etc. cross-reference text."
0.13.0,The name of the Pygments (syntax highlighting) style to use.
0.13.0,-- Options for HTML output ----------------------------------------------
0.13.0,The theme to use for HTML and HTML Help pages.  See the documentation for
0.13.0,a list of builtin themes.
0.13.0,"""navbar_align"": ""right"",  # For testing that the navbar items align properly"
0.13.0,"Add any paths that contain custom static files (such as style sheets) here,"
