Commit Message,predict
"If both a .pyx and a .c file exist, we assume the .c file is up to date and don't force a recompile",0
configuration is all pulled from setup.cfg,0
-*- coding: utf-8 -*-,0
,0
Configuration file for the Sphinx documentation builder.,0
,0
This file does only contain a selection of the most common options. For a,0
full list see the documentation:,0
http://www.sphinx-doc.org/en/main/config,0
-- Path setup --------------------------------------------------------------,0
"If extensions (or modules to document with autodoc) are in another directory,",0
add these directories to sys.path here. If the directory is relative to the,0
"documentation root, use os.path.abspath to make it absolute, like shown here.",0
,0
-- Project information -----------------------------------------------------,0
-- General configuration ---------------------------------------------------,0
"If your documentation needs a minimal Sphinx version, state it here.",0
,0
needs_sphinx = '1.0',0
"Add any Sphinx extension module names here, as strings. They can be",0
extensions coming with Sphinx (named 'sphinx.ext.*') or your custom,0
ones.,0
TODO: enable type aliases,1
napoleon_preprocess_types = True  # needed for type aliases to work,0
napoleon_type_aliases = {,0
"""array_like"": "":term:`array_like`"",",0
"""ndarray"": ""~numpy.ndarray"",",0
"""RandomState"": "":class:`~numpy.random.RandomState`"",",0
"""DataFrame"": "":class:`~pandas.DataFrame`"",",0
"""Series"": "":class:`~pandas.Series`"",",0
},0
"Add any paths that contain templates here, relative to this directory.",0
The suffix(es) of source filenames.,0
You can specify multiple suffix as a list of strings:,0
,0
"source_suffix = ['.rst', '.md']",0
The root toctree document.,0
The language for content autogenerated by Sphinx. Refer to documentation,0
for a list of supported languages.,0
,0
This is also used if you do content translation via gettext catalogs.,0
"Usually you set ""language"" from the command line for these cases.",0
"List of patterns, relative to source directory, that match files and",0
directories to ignore when looking for source files.,0
This pattern also affects html_static_path and html_extra_path.,0
The name of the Pygments (syntax highlighting) style to use.,0
-- Options for HTML output -------------------------------------------------,0
The theme to use for HTML and HTML Help pages.  See the documentation for,0
a list of builtin themes.,0
,0
Theme options are theme-specific and customize the look and feel of a theme,0
"further.  For a list of options available for each theme, see the",0
documentation.,0
,0
"Add any paths that contain custom static files (such as style sheets) here,",0
"relative to this directory. They are copied after the builtin static files,",0
"so a file named ""default.css"" will overwrite the builtin ""default.css"".",0
html_static_path = ['_static'],0
"Custom sidebar templates, must be a dictionary that maps document names",0
to template names.,0
,0
The default sidebars (for documents that don't match any pattern) are,0
defined by theme itself.  Builtin themes are using these templates by,0
"default: ``['localtoc.html', 'relations.html', 'sourcelink.html',",0
'searchbox.html']``.,0
,0
html_sidebars = {},0
-- Options for HTMLHelp output ---------------------------------------------,0
Output file base name for HTML help builder.,0
-- Options for LaTeX output ------------------------------------------------,0
The paper size ('letterpaper' or 'a4paper').,0
,0
"'papersize': 'letterpaper',",0
"The font size ('10pt', '11pt' or '12pt').",0
,0
"'pointsize': '10pt',",0
Additional stuff for the LaTeX preamble.,0
,0
"'preamble': '',",0
Latex figure (float) alignment,0
,0
"'figure_align': 'htbp',",0
Grouping the document tree into LaTeX files. List of tuples,0
"(source start file, target name, title,",0
"author, documentclass [howto, manual, or own class]).",0
-- Options for manual page output ------------------------------------------,0
One entry per manual page. List of tuples,0
"(source start file, name, description, authors, manual section).",0
-- Options for Texinfo output ----------------------------------------------,0
Grouping the document tree into Texinfo files. List of tuples,0
"(source start file, target name, title, author,",0
"dir menu entry, description, category)",0
-- Options for Epub output -------------------------------------------------,0
Bibliographic Dublin Core info.,0
The unique identifier of the text. This can be a ISBN number,0
or the project homepage.,0
,0
epub_identifier = '',0
A unique identification for the text.,0
,0
epub_uid = '',0
A list of files that should not be packed into the epub file.,0
-- Extension configuration -------------------------------------------------,0
-- Options for intersphinx extension ---------------------------------------,0
Example configuration for intersphinx: refer to the Python standard library.,0
-- Options for todo extension ----------------------------------------------,1
"If true, `todo` and `todoList` produce output, else they produce nothing.",1
-- Options for doctest extension -------------------------------------------,0
we can document otherwise excluded entities here by returning False,0
or skip otherwise included entities by returning True,0
Copyright (c) PyWhy contributors. All rights reserved.,0
Licensed under the MIT License.,0
Calculate residuals,0
Estimate E[T_res | Z_res],0
TODO. Deal with multi-class instrument,1
Calculate nuisances,0
Estimate E[T_res | Z_res],0
Copyright (c) PyWhy contributors. All rights reserved.,0
Licensed under the MIT License.,0
"We do a three way split, as typically a preliminary theta estimator would require",0
many samples. So having 2/3 of the sample to train model_theta seems appropriate.,0
TODO. Deal with multi-class instrument,1
Estimate final model of theta(X) by minimizing the square loss:,0
"(prel_theta(X) + (Y_res - prel_theta(X) * T_res) * Z_res / cov[T,Z | X] - theta(X))^2",0
"We clip the covariance so that it is bounded away from zero, so as to reduce variance",0
at the expense of some small bias. For points with very small covariance we revert,0
to the model-based preliminary estimate and do not add the correction term.,0
Estimate preliminary theta in cross fitting manner,0
Estimate p(X) = E[T | X] in cross fitting manner,0
Estimate r(Z) = E[Z | X] in cross fitting manner,0
Calculate residual T_res = T - p(X) and Z_res = Z - r(X),0
Estimate residual Y_res = Y - q(X) = Y - E[Y | X] in cross fitting manner,0
"Estimate cov[T, Z | X] = E[(T-p(X))*(Z-r(X)) | X] = E[T*Z | X] - E[T |X]*E[Z | X]",0
TODO. The solution below is not really a valid cross-fitting,1
as the test data are used to create the proj_t on the train,0
which in the second train-test loop is used to create the nuisance,0
cov on the test data. Hence the T variable of some sample,0
"is implicitly correlated with its cov nuisance, through this flow",0
"of information. However, this seems a rather weak correlation.",0
The more kosher would be to do an internal nested cv loop for the T_XZ,0
model.,0
"Estimate h(X, Z) = E[T | X, Z] in cross fitting manner",0
Estimate preliminary theta in cross fitting manner,0
Estimate p(X) = E[T | X] in cross fitting manner,0
"Calculate residual T_res = T - p(X) and Z_res = h(Z, X) - p(X)",0
Estimate residual Y_res = Y - q(X) = Y - E[Y | X] in cross fitting manner,0
"Estimate cov[T, E[T|X,Z] | X] = E[T * E[T|X,Z]] - E[T|X]^2",0
#############################################################################,0
Classes for the DRIV implementation for the special case of intent-to-treat,0
A/B test,0
#############################################################################,0
Estimate preliminary theta in cross fitting manner,0
Estimate p(X) = E[T | X] in cross fitting manner,0
Estimate residual Y_res = Y - q(X) = Y - E[Y | X] in cross fitting manner,0
"A wrapper of statsmodel linear regression, wrapped in a sklearn interface.",0
We can use statsmodel for all hypothesis testing capabilities,0
"For DMLIV we also need a model for E[T | X, Z]. We use a classifier since T is binary",0
